date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,可能重分類至損益之其他項目,國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,重估增值,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-10,1,2013,,,349812,166088,48522,683212,,,160028,0.22,,97105,,,243325.0,-241181,,111636,2013年01月01日至2013年03月31日,285148,968360,,284152,960903,455068,-72815,10752950,11604562,851612,851612,396544,142088,,,0.22,142820,285148,382253,,69953.0,,46244,,996,7457
2013-08-12,2,2013,,,-942446,139803,203581,-1027088,,,84077,0.16,,379457,,,-190158.0,-232898,,113354,2013年04月01日至2013年06月30日,224349,-802739,,215835,-815879,539429,64377,12043385,12987466,944081,944081,404652,138917,,,0.16,152381,224349,603806,,-21439.0,,46109,,8514,13140
2013-11-13,3,2013,,,844158,-5021828,52325,890097,,,-57279,-3.61,,-315912,,,114359.0,-158370,,143875,2013年07月01日至2013年09月30日,-4730005,-3839908,,-4743334,-3850913,130821,-5176738,8536346,9130993,594647,594647,463826,140297,,,-3.61,179654,-4730005,-5045917,,11141.0,,48865,,13329,11005
2014-03-28,4,2013,,,362902,-4633664,361775,816971,,,252740,-3.17,,154838,,,264696.0,-654282,,490517,2013年01月01日至2013年12月31日,-4182716,-3365745,,-4188021,-3383490,1098958,-5126836,39946128,42719450,2773322,2773322,1674364,595410,,26541.0,-3.17,588437,-4182716,-4027878,,89908.0,,200665,,5305,17745
2014-05-13,1,2014,,,-173022,19828,74037,148977,,,82175,0.37,,-94064,,,304193.0,152017,,141718,2014年第1季,479124,628101,,500837,644878,218719,166341,10243840,10966741,722901,722901,504182,142434,,,0.37,220030,479124,385060,,64369.0,,79541,,-21713,-16777
2014-08-14,2,2014,,,322737,256221,207057,74350,,,-103326,0.62,,167825,,,-192123.0,129430,,155068,2014年第2季,818438,892788,,842096,922844,483517,502746,13596072,14635032,1038960,1038960,555443,194733,,,0.62,205642,818438,986263,,-47062.0,,89962,,-23658,-30056
2014-11-13,3,2014,,,-157107,101400,40475,-685,,,97731,0.41,,-150494,,,86658.0,199969,,150559,2014年第3季,545844,545159,,566885,562126,129018,266332,12347106,12946838,599732,599732,470714,137767,,,0.41,182388,545844,395350,,27967.0,,75512,,-21041,-16967
2015-03-27,4,2014,,,-49130,345780,357420,656677,,,410733,1.72,,131380,,,392755.0,818324,,607160,2014年度,2291650,2948327,,2361551,3001730,1206992,1216038,52330863,55627893,3297030,3297030,2090038,652409,,38505.0,1.72,830469,2291650,2423030,,136186.0,,305486,,-69901,-53403
2015-05-11,1,2015,0.0,0.0,591011,56645,49378,437273,0.0,0.0,-115204,0.31,437273.0,38479,0.0,0.0,,195923,-66134.0,159254,2015年01月01日至2015年03月31日,413608,850881,0.0,429200,875067,212168,239919,11584986,12308510,723524,723524,511356,170948,0.0,,0.31,181154,413608,452087,0.0,,-27600.0,62027,0.0,-15592,-24186
2015-08-13,2,2015,0.0,-751.0,-633056,58471,274174,-1007417,0.0,0.0,-121362,0.42,-1006666.0,71047,0.0,-905.0,,181470,-319781.0,188243,2015年第2季,563473,-443944,0.0,581292,-423771,181497,453023,10578154,11448724,870570,870570,689073,228437,0.0,,0.42,272393,563473,634520,-154.0,,-67533.0,61092,0.0,-17819,-20173
2015-11-11,3,2015,0.0,386.0,-638596,6772,30760,-615226,0.0,0.0,206085,0.11,-615612.0,189122,0.0,465.0,,282925,-186407.0,181527,2015年第3季,141881,-473345,0.0,158735,-465458,71307,259696,9650601,10321414,670813,670813,599506,180836,0.0,,0.11,237143,141881,331003,79.0,,-3306.0,60761,0.0,-16854,-7887
