date,season,year,不重分類至損益之項目總額,停業單位損益合計,停業單位淨利（淨損）,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收益及費損淨額,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,採用權益法認列關聯企業及合資之確定福利計畫再衡量數,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,0.0,0.0,52,6180,2979,,4030,2208,0.15,0.15,20.0,,2550,,1770.0,-1129,,,39296,2013年01月01日至2013年03月31日,0.0,29044,33074,29757,33040,24835,6759,865983,980720,114737,114757,89922,18139,,,32487,29044,31594,,,1271,-713,34
2013-08-13,2,2013,,0.0,0.0,13,1807,2902,,2397,1709,0.12,0.12,0.0,,6958,,675.0,-3746,,,39491,2013年04月01日至2013年06月30日,220.0,21939,24336,22457,24539,30247,-1350,787156,913797,126641,126421,96174,23980,,,32703,21939,28897,,,2313,-518,-203
2013-11-12,3,2013,,0.0,0.0,55,-3239,3155,,-1130,-1185,0.01,0.01,0.0,,4328,,0.0,6990,,,32888,2013年07月01日至2013年09月30日,73.0,876,-254,1232,324,531,4673,676380,761236,84856,84783,84252,20078,,,31286,876,5204,,,2233,-356,-578
2014-03-27,4,2013,,0.0,0.0,164,6852,13474,,28806,6384,0.36,0.36,67.0,,-1903,,583.0,-12710,,,160976,2013年01月01日至2013年12月31日,0.0,67998,96804,69647,97167,66633,-538,3018044,3457016,438972,439039,372406,83048,,25988.0,128382,67998,66095,,4313.0,8154,-1649,-363
2014-05-13,1,2014,,,,88,8393,2957,,75,-13,0.12,0.12,0.0,,-3003,,,9333,,,37840,2014年01月01日至2014年03月31日,,22855,22930,23070,23179,1188,18664,549086,638535,89449,89449,88261,21154,,,29267,22855,19852,,,2019,-215,-249
2014-08-12,2,2014,,,,117,-3794,3142,,-2325,-2442,-0.04,-0.04,,,-1062,,0.0,2276,,,39641,2014年第2季,123.0,-7567,-9892,-7009,-8826,-8345,-284,746681,835625,88944,88821,97166,26620,,,30905,-7567,-8629,,,1908,-558,-1066
2014-11-12,3,2014,,0.0,,-278,4600,10281,,2517,2877,0.18,,,,1109,,-82.0,1503,,,42466,2014年第3季,191.0,36780,39297,35137,36982,23435,14454,629386,753653,124267,124076,100641,26983,,,31192,36780,37889,,,1930,1643,2315
2015-03-25,4,2014,,,,502,26784,20669,,485,2914,0.55,,0.0,,4968,,280.0,15158,,,173447,2014年度,3180.0,110897,111382,108635,108015,61361,54504,2940447,3403124,462677,459497,398136,99958,,-3845.0,124731,110897,115865,,-634.0,8107,2262,3367
2015-05-12,1,2015,,,,-177,-8229,4746,3699.0,-1558,-1381,0.11,,3180.0,-1558.0,2231,,,11069,,,36917,2015年01月01日至2015年03月31日,,19917,18359,21190,19953,16360,5788,693600,792923,99323,102503,89842,21044,,,31881,19917,22148,,,1798,-1273,-1594
2015-08-12,2,2015,,,,-426,-3937,3596,0.0,-1234,-808,0.11,,0.0,-1234.0,7074,,,9970,,,38441,2015年第2季,215.0,22527,21293,22874,21965,22069,7532,821876,935114,113238,113023,90954,22539,,,29974,22527,29601,,,2097,-347,-672
2015-11-12,3,2015,,,,-685,27762,7971,,3258,4306,0.33,,45.0,3258.0,9855,,,12782,-363.0,,45715,2015年第3季,0.0,68136,71394,65458,67522,31463,46528,779207,911337,132130,132175,100712,20935,,,34062,68136,77991,,,1987,2678,3872
2016-03-29,4,2015,-28884.0,,,-1158,12290,20648,,-31916,-1560,0.59,,3128.0,-3032.0,15953,-1366.0,,30198,-314.0,-1366.0,171166,2015年度,0.0,117888,85972,116439,85277,78839,55002,3083378,3542976,459598,462726,383887,85851,-32867.0,,126870,117888,133841,-5349.0,,8134,1449,695
2016-05-11,1,2016,,,,277,-7733,3248,0.0,-338,-615,0.41,,29.0,-338.0,7596,,,11392,,,49636,2016年01月01日至2016年03月31日,,85038,84700,82052,81866,87741,4893,941675,1134443,192768,192797,105056,21548,,,33872,85038,92634,,,2014,2986,2834
2016-08-12,2,2016,,,,141,2807,5792,0.0,-2001,-2142,0.08,,0.0,-2001.0,3330,,,24072,,,45222,2016年第2季,219.0,14090,12089,14952,13656,-12828,30248,858125,945275,87150,86931,99759,21044,,,33493,14090,17420,,,2423,-862,-1567
2016-11-10,3,2016,,,,-55,-13795,2609,,-3667,-3024,0.05,,0.0,-3667.0,-1440,,,18257,-588.0,,35673,2016年第3季,538.0,5290,1623,9880,7148,-505,4355,861323,950671,89348,88810,89315,22754,,,30888,5290,3850,,,2716,-4590,-5525
