date,season,year,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與可能重分類之項目相關之所得稅,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,4779,2005,1887,1887,0.5,0.5,,5303,-1199,16380,2013年01月01日至2013年03月31日,23689,25576,23689,25576,23407,5585,105013,170154,65141,65141,41734,13392,,,0.5,0.5,11962,23689,28992,,,,
2013-08-12,2,2013,,-583,2060,786,786,0.19,0.19,,2168,-1095,14448,2013年04月01日至2013年06月30日,9138,9924,9138,9924,10924,382,110584,156804,46220,46220,35296,11479,,,0.19,0.19,9369,9138,11306,,,,
2013-11-11,3,2013,,-2623,2129,-985,-985,-0.19,-0.19,,739,-164,16635,2013年07月01日至2013年09月30日,-9189,-10174,-9189,-10174,-7792,-658,89227,122599,33372,33372,41164,12074,,0.0,-0.19,-0.19,12455,-9189,-8450,,,,
2014-03-26,4,2013,,3008,9137,7801,2682,1.08,1.08,,12653,-2057,59347,2013年01月01日至2013年12月31日,50952,58753,50952,58753,53517,10088,417800,627721,209921,209921,156404,49099,,5119.0,1.07,1.07,47958,50952,63605,,,,
2014-05-12,1,2014,,15611,5530,570,570,0.27,0.27,,1115,-718,15630,2014年第1季,12719,13289,12719,13289,-6589,20423,106899,143151,36252,36252,42841,13075,,,0.27,0.27,14136,12719,13834,,,,
2014-08-13,2,2014,,-3667,1133,-1361,-1361,-0.13,-0.13,,106,-2124,13862,2014年第2季,-6155,-7516,-6155,-7516,-1391,-4658,103352,137998,34646,34646,36037,12854,,0.0,-0.13,-0.13,9321,-6155,-6049,,,,
2014-11-13,3,2014,,2042,2606,1709,1709,0.01,0.01,,515,-2803,16754,2014年第3季,344,2053,344,2053,-986,1845,93837,134884,41047,41047,42033,15299,,,0.01,0.01,9980,344,859,,,,
2015-03-26,4,2014,,20882,11769,2236,3404,1.3,1.3,,9725,-11186,60916,2014年度,61506,63742,61506,63742,49766,21465,436019,647665,211646,211646,161880,56147,,-1168.0,1.29,1.29,44817,61506,71231,,,,
2015-05-13,1,2015,,-2917,2050,-1295,-764,-0.18,-0.18,-1295.0,-1796,-235,17302,2015年01月01日至2015年03月31日,-8732,-10027,-8732,-10027,-9426,-1102,98843,134284,35441,35441,44867,14996,,,-0.18,-0.18,12569,-8732,-10528,,531.0,,
2015-08-12,2,2015,,-2757,5114,-808,-973,0.19,0.19,-808.0,-407,-309,13761,2015年第2季,9074,8266,9074,8266,6619,2048,95610,139843,44233,44233,37614,14059,,,0.19,0.19,9794,9074,8667,,-165.0,,
2015-11-11,3,2015,,11311,3947,2789,3360,0.2,0.2,2789.0,3786,-135,15242,2015年第3季,9507,12296,9507,12296,-1830,15123,101515,140547,39032,39032,40862,14750,,,0.2,0.2,10870,9507,13293,,571.0,,
2016-03-25,4,2015,-7162.0,6407,13195,-7391,521,0.78,0.78,-229.0,5433,-571,61545,2015年度,36503,29112,36503,29112,22905,19031,425567,611984,186417,186417,163512,58197,-8578.0,,0.77,0.77,43770,36503,41936,-1416.0,750.0,,
2016-05-12,1,2016,,-1903,1678,2133,2313,0.27,0.27,2133.0,1803,2820,17279,2016年01月01日至2016年03月31日,12360,14493,12240,13120,11568,2595,128861,188431,59570,59570,48002,14172,,,0.27,0.27,16551,12360,14163,,180.0,120.0,1373.0
2016-08-10,2,2016,,2607,2635,-1841,-1977,-0.16,-0.16,-1841.0,-927,1796,13220,2016年第2季,-7674,-9515,-7126,-7792,-15639,7038,89513,127843,38330,38330,53969,14663,,,-0.16,-0.16,26086,-7674,-8601,,-136.0,-548.0,-1723.0
2016-11-10,3,2016,,9426,4371,-4211,-5047,0.47,0.47,-4211.0,2658,-734,16735,2016年第3季,21312,17101,21314,17235,10907,13063,101528,159720,58192,58192,47285,15000,,,0.47,0.47,15550,21312,23970,,-836.0,-2.0,-134.0
