date,season,year,不重分類至損益之項目總額(稅後),備供出售金融資產之已實現損益,備供出售金融資產未實現評價損益,兌換損益,其他什項損益,其他利息以外淨損益,其他業務及管理費用合計,其他綜合損益（稅後）淨額,出售不良債權淨損益,利息以外淨損益,利息收入合計,利息淨收益,利息費用合計,呆帳費用及保證責任準備提存（各項提存）合計,員工福利費用合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額(稅後),所得稅（費用）利益,手續費淨收益,折舊及攤銷費用合計,採用權益法之投資處分損失,採用權益法認列之關聯企業及合資其他綜合損益之份額,採用權益法認列之關聯企業及合資其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資其他綜合損益之份額-可能重分類至損益之項目,採用權益法認列之關聯企業及合資利益之份額,採用權益法認列之關聯企業及合資利益之份額合計,採用權益法認列之關聯企業及合資損失之份額,採用權益法認列之關聯企業及合資損失之份額合計,採用權益法認列之關聯企業及合資損益之份額,會計項目,本期其他綜合損益,本期稅前淨利（淨損）,本期稅後淨利（損）歸屬於母公司業主,本期稅後淨利（淨損）,本期稅後綜合損益總額歸屬於母公司業主,本期綜合損益總額（稅前）,本期綜合損益總額（稅後）,淨收益,營業費用合計,確定福利計畫之再衡量數,稀釋每股盈餘合計,綜合損益總額,繼續營業單位本期稅後淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與本期損益組成部分相關之所得稅(費用)利益,與本期綜合損益組成部分相關之所得稅,資產減損（損失）迴轉利益淨額,透過損益按公允價值衡量之金融資產及負債損益,顧問服務收入合計
2013-05-07,1,2013,,5654,-10200,57025,13567,222128,511024,-3569.0,69464.0,1178728,2646217,1149743,1496474,-151809,871836,1625,0.41,,-128876,546585,58167,,5006.0,,,,,,,22061,2013年01月01日至2013年03月31日,,,910377,910377,906808,906808,,2328471,1441027,,0.38,906808.0,910377,1039253,,-128876.0,,0.0,325275,139097.0
2013-08-15,2,2013,,-605,-33732,28120,72600,72600,509686,-43105.0,,1117958,2760707,1232036,1528671,-171867,878651,2663,0.42,,-131044,728106,58277,,-12036.0,,,,,,,8842,2013年04月01日至2013年06月30日,,,944203,944203,901098,901098,,2349994,1446614,,0.38,901098.0,944203,1075247,,-131044.0,,780.0,280115,
2013-11-01,3,2013,,74017,-203449,13739,19945,80147,519033,-213724.0,60202.0,1143937,2919374,1281006,1638368,3153,852587,-2218,0.37,,-119269,717922,57735,,-8057.0,,,,,,,-3349,2013年07月01日至2013年09月30日,,992435.0,873166,873166,659442,659442,,2424943,1429355,,0.36,659442.0,873166,992435,,-119269.0,,0.0,261461,
2014-03-04,4,2013,,47402,-125353,199908,57527,300087,2217979,-132848.0,242560.0,4603262,11263921,4884367,6379554,-68604,3544628,7133,1.3,,-501837,2896139,230519,,-14628.0,,,,,,,61148,2013年01月01日至2013年12月31日,,3563107.0,3061270,3061270,2928422,3430259,,9487629,5993126,,1.2,2928422.0,3061270,3563107,,-501837.0,-501837.0,780.0,1097798,
2014-05-14,1,2014,,9674,63513,-11494,92243,145341,522576,71778.0,53098.0,1500513,2960171,1249480,1710691,72173,944821,1027,0.38,,-149729,718669,55779,78587.0,7238.0,,,,21913.0,,78587.0,-56674,2014年01月01日至2014年03月31日,,1154644.0,1004915,1004915,1076693,1226422,,2749993,1523176,,0.3,1076693.0,1004915,1154644,,-149729.0,-149729.0,,694997,
2014-08-21,2,2014,,16883,18438,-73167,10427,57318,557454,35.0,46891.0,1238902,3073187,1304214,1768973,-157977,967077,-6343,0.34,,-154438,761077,53223,0.0,-12060.0,,,,15658.0,,0.0,15658,2014年第2季,,1123339.0,968901,968901,968936,1123374,,2543116,1577754,,0.3,968936.0,968901,1123339,,-154438.0,-154438.0,,461133,
2014-11-04,3,2014,,61886,-134133,260953,25423,73054,647775,-131549.0,47631.0,1379610,3090695,1395828,1694867,-16450,944825,13132,0.35,,-152404,759349,51474,0.0,-10548.0,,,,9891.0,0.0,0.0,9891,2014年第3季,,1147814.0,995410,995410,863861,863861,,2775438,1644074,,0.31,863861.0,995410,1147814,,-152404.0,,,214477,
2015-03-20,4,2014,,99085,34939,566581,144324,339650,2479436,96822.0,195326.0,5497412,12253408,5379536,6873872,70318,3817680,51000,1.31,,-601611,2914137,213380,78587.0,10883.0,,,,64618.0,,78587.0,-13969,2014年度,,4296134.0,3694523,3694523,3791345,4392956,,10876948,6510496,,1.13,3791345.0,3694523,4296134,,-601611.0,-601611.0,,1591928,
2015-05-05,1,2015,,37336,23366,-30738,93147,141829,629921,,48682.0,1290453,3054586,1414825,1639761,-120496,896475,-2336,0.38,29871.0,-168446,685883,53534,0.0,,,8841.0,,16924.0,,0.0,16924,2015年01月01日至2015年03月31日,29871.0,1245844.0,1077398,1077398,1107269,1275715,1107269.0,2705278,1579930,,0.33,,1077398,1245844,,-168446.0,-168446.0,,439219,
2015-08-12,2,2015,,18178,-37332,-56371,66697,110655,638685,,43958.0,1316076,3036465,1428627,1607838,-99729,1006367,-4420,0.34,-39290.0,-172346,909749,55141,0.0,,,2462.0,19233.0,19233.0,,0.0,19233,2015年第2季,-39290.0,971893.0,971893,971893,932603,932603,932603.0,2744703,1700193,,0.31,,971893,1144239,,,,,314632,
