date,season,year,不重分類至損益之項目總額,什項支出,其他利息收入,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益,其他綜合損益（淨額）,利息收入合計,利息費用,基本每股盈餘合計,外幣兌換利益,已實現銷貨（損）益,所得稅費用（利益）合計,手續費支出合計,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,處分不動產、廠房及設備損失,處分投資利益,處分投資損失,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,銀行存款利息,銷貨折讓,銷貨收入,銷貨收入合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,0.0,66.0,433,212,,,,212.0,6789.0,0.38,,,6894,,30013,2013年01月01日至2013年03月31日,,98021,98021,100688,100688,111059,-6144,257007,415594,158587,158587,47528,,,0.38,17515,98021,104915,,,18.0,,6789,415.0,,146.0,0.0,415594.0,415594.0,415594.0,-2667,-2667
2013-08-08,2,2013,,,,-11620,6100,,,,,,-0.1,,0.0,5299,,21897,2013年04月01日至2013年06月30日,0.0,-28827,-28827,-25436,-25436,-11425,-12103,125543,152111,26568,26568,37993,,,-0.1,16096,-28827,-23528,,,,,6583,,,,,,,,-3391,-3391
2013-11-13,3,2013,,,,5392,2271,,0.0,0.0,,,-0.21,,,114,,57684,2013年07月01日至2013年09月30日,,-59134,-59134,-56409,-56409,-59791,771,20917,33689,12772,12772,72563,,,-0.21,14879,-59134,-59020,,,,,6892,,,,,,,,-2725,-2725
2014-03-18,4,2013,,,,-8148,11905,,,5591.0,,,-0.13,,,12315,,136068,2013年01月01日至2013年12月31日,,-47654,-42063,-35184,-29593,-11792,-23547,403466,602996,199530,199530,211322,,5591.0,-0.13,75254,-47654,-35339,,,,,27304,,,,,,,,-12470,-12470
2014-05-14,1,2014,,0.0,,7247,1456,9.0,,,1447.0,6543.0,-0.12,2283.0,,6,,20615,2014年01月01日至2014年03月31日,,-33686,-33686,-31285,-31285,-35840,2160,2179,2768,589,589,36429,,,-0.12,15814,-33686,-33680,,,2768.0,,6543,2196.0,,1447.0,0.0,2768.0,2768.0,2768.0,-2401,-2401
2014-08-07,2,2014,,,,-232,19575,,,,,,-0.08,,0.0,-637,,15763,2014年第2季,0.0,-24825,-24825,-21968,-21968,-37306,11844,2178,3084,906,906,38212,,,-0.08,22449,-24825,-25462,,,,,7499,,,,,,,,-2857,-2857
2014-11-11,3,2014,,,,-9917,3236,,0.0,0.0,,,-0.13,,,0,,7733,2014年第3季,,-36449,-36449,-33970,-33970,-22071,-14378,0,1974,1974,1974,24045,,,-0.13,16312,-36449,-36449,,,,,7697,,,,,,,,-2479,-2479
2015-03-24,4,2014,,,,-53125,25374,,,635.0,,,-0.65,,,175,,45327,2014年度,,-185102,-184467,-173997,-173362,-127647,-57280,4357,9850,5493,5493,133140,,635.0,-0.65,87813,-185102,-184927,,,,,29529,,,,,,,,-11105,-11105
2015-05-12,1,2015,,,,4372,1020,269.0,,,751.0,,-0.05,0.0,,0,0.0,731,2015年01月01日至2015年03月31日,,-14684,-14684,-12848,-12848,-12576,-2108,0,1994,1994,1994,14570,,,-0.05,13839,-14684,-14684,,29.0,0.0,1080.0,7500,5481.0,,751.0,0.0,1994.0,1994.0,1994.0,-1836,-1836
2015-08-13,2,2015,,,,4044,2025,,,,,,-0.06,,0.0,693,,863,2015年第2季,0.0,-18860,-18860,-16592,-16592,-16636,-1531,0,1983,1983,1983,18619,,,-0.06,17756,-18860,-18167,,,,,7600,,,,,,,,-2268,-2268
2015-11-05,3,2015,,,,-9211,16727,,,,,,0.26,,,5504,,14981,2015年第3季,,66926,66926,69460,69460,74586,-2156,310340,417798,107458,107458,32872,,,0.26,17891,66926,72430,,,,,9672,,,,,,,,-2534,-2534
2016-03-14,4,2015,-1017.0,,,206,35844,,,-1017.0,,,2.59,,,36091,,108392,2015年度,,684918,683901,694519,693502,723028,-2019,2277253,3220299,943046,943046,220018,-1017.0,,2.59,111626,684918,721009,,,,,38069,,,,,,,,-9601,-9601
2016-05-10,1,2016,,,1045.0,-4839,2549,20.0,,,2170.0,,2.07,0.0,,23123,0.0,78159,2016年01月01日至2016年03月31日,,553109,553109,554362,554362,585468,-9236,1543930,2256630,712700,712700,127232,,,2.06,49073,553109,576232,359.0,0.0,0.0,563.0,6946,0.0,4276.0,1125.0,0.0,2256630.0,2256630.0,2256630.0,-1253,-1253
2016-08-09,2,2016,,,,-12045,7505,,,,,,-0.22,,0.0,19809,,7852,2016年第2季,0.0,-59853,-59853,-57929,-57929,-28896,-11148,0,2246,2246,2246,31142,,,-0.21,23290,-59853,-40044,,,,,6608,,,,,,,,-1924,-1924
2016-11-09,3,2016,,,,-13863,5810,,,,,,-0.08,,,1588,,5327,2016年第3季,,-21371,-21371,-21923,-21923,-3322,-16461,74579,95001,20422,20422,23744,,,-0.08,18417,-21371,-19783,,,,,8408,,,,,,,,552,552
