date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,停業單位損益合計,停業單位淨利（淨損）,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收益及費損淨額,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與待出售非流動資產直接相關之權益,財務成本淨額,重估增值,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,,21399.0,,,-18824,2,,25875,25875,-0.55,,,0,,,,-16409,2950,2013年01月01日至2013年03月31日,-145088,-119213,,-147102,-121227,-129311,-37176,192488,93787,-98701,-98701,30610,11278,,,16382,-166487,-166487,,1945,,2014,2014
2013-08-14,2,2013,,,0.0,0.0,,-1185,3202,,14615,7549,-0.34,-0.34,,-21688,,,7066.0,13235,2515,2013年04月01日至2013年06月30日,-92406,-77791,,-92406,-77791,-127814,13720,215667,112948,-102719,-102719,25095,5596,,,16984,-92406,-114094,,1532,,0,0
2013-11-12,3,2013,,,0.0,0.0,,15818,3150,,-9670,-4906,-0.28,-0.28,,-1186,,,-4764.0,-10268,2742,2013年07月01日至2013年09月30日,-76332,-86002,,-76332,-86002,-83766,6248,148150,92392,-55758,-55758,28008,4130,,,21136,-76332,-77518,,2452,,0,0
2014-03-28,4,2013,,,28850.0,0.1,,-201666,15992,,36943,22675,-2.2,-2.3,,-21857,,,15164.0,34429,29252,2013年01月01日至2013年12月31日,-589305,-552362,,-591318,-554375,-480546,-159466,743952,389183,-354769,-354769,125777,24188,,-896.0,72337,-618155,-640012,,8221,,2013,2013
2014-05-12,1,2014,,,0.0,0.0,,17773,11772,,-1512,-1512,-0.2,-0.2,,0,,,0.0,13346,2968,2014年第1季,-53851,-55363,,-53851,-55363,-93923,40072,134807,64461,-70346,-70346,23577,2219,,,18390,-53851,-53851,,2819,,0,0
2014-08-12,2,2014,,,0.0,0.0,,50069,5961,,-8216,-8216,-0.03,-0.03,,0,,,0.0,8338,2295,2014年第2季,-9381,-17597,,-9381,-17597,-70627,61246,99527,56776,-42751,-42751,27876,3310,,,22271,-9381,-9381,,3122,,0,0
2014-11-07,3,2014,,,0.0,0.0,-12.0,11837,7729,,11491,11503,-0.29,-0.29,,0,,,0.0,9950,2326,2014年第3季,-78226,-66735,,-78226,-66735,-104599,26373,129212,49350,-79862,-79862,24737,3011,,,19400,-78226,-78226,,3143,,0,0
2015-03-30,4,2014,,,0.0,0.0,133.0,-82326,33438,,15804,10098,-1.55,-1.55,,0,,,-346.0,62522,9740,2014年度,-418350,-402546,,-418350,-402546,-420190,1840,521717,199751,-321966,-321966,98224,10654,,5919.0,77830,-418350,-418350,,11794,,0,0
2015-05-11,1,2015,0.0,0.0,0.0,0.0,86.0,30297,7506,,-2289,-2375,-0.17,-0.17,-2289.0,0,0.0,0.0,,11545,1757,2015年01月01日至2015年03月31日,-46539,-48828,0.0,-46539,-48828,-91608,45069,96059,24313,-71746,-71746,19862,4178,0.0,,13927,-46539,-46539,0.0,4279,0.0,0,0
2015-08-12,2,2015,0.0,0.0,0.0,0.0,245.0,26087,5522,,-3976,-4221,-0.23,-0.23,-3976.0,0,0.0,0.0,,7807,5046,2015年第2季,-61127,-65103,0.0,-61127,-65103,-96579,35452,101952,33876,-68076,-68076,28503,2443,0.0,,21014,-61127,-61127,0.0,3964,0.0,0,0
2015-11-13,3,2015,0.0,0.0,0.0,0.0,246.0,3690,6099,,11100,10854,-0.25,-0.25,11100.0,0,0.0,0.0,,6300,1261,2015年第3季,-66367,-55267,0.0,-66367,-55267,-78899,12532,93449,33248,-60201,-60201,18698,4285,0.0,,13152,-66367,-66367,0.0,3557,0.0,0,0
2016-03-11,4,2015,,-332.0,0.0,0.0,-133.0,3854,26766,,-4959,-4494,-0.99,-0.99,-4627.0,0,0.0,-332.0,,35315,9385,2015年度,-266176,-271135,0.0,-266176,-271135,-316976,50800,354843,124777,-230066,-230066,86910,17713,0.0,,59812,-266176,-266176,0.0,15135,0.0,0,0
2016-05-10,1,2016,,0.0,0.0,0.0,0.0,-20,6764,3921.0,-854,-854,-0.07,-0.07,-854.0,0,0.0,0.0,,6120,1148,2016年01月01日至2016年03月31日,-18368,-19222,0.0,-18368,-19222,-28025,9657,47558,33024,-14534,-14534,17412,4437,0.0,,11827,-18368,-18368,0.0,3207,0.0,0,0
2016-08-09,2,2016,,0.0,0.0,0.0,0.0,-431,7632,,-4195,-4195,-0.14,-0.14,-4195.0,0,0.0,0.0,,13671,907,2016年第2季,-38226,-42421,0.0,-38226,-42421,-56342,18116,84136,45170,-38966,-38966,17376,2831,0.0,,13638,-38226,-38226,0.0,2756,0.0,0,0
2016-11-07,3,2016,,0.0,,0.0,0.0,183,9950,,-4954,-4954,-0.2,-0.2,-4954.0,4264,0.0,0.0,,8720,1058,2016年第3季,-54904,-59858,0.0,-54904,-59858,-64088,13448,92235,42908,-49327,-49327,14761,2627,0.0,,11076,-54904,-50640,0.0,5405,0.0,0,0
