date,season,year,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-03,1,2013,,-28626,172984,152198,152198.0,0.5,,,152077,434,767083,2013年01月01日至2013年03月31日,428094,580292,426555,578753,438326,141845,14174760,16179706,2004946,2004946,1566620,551958,,,0.5,,247579,428094,580171,,,2947,1539.0,1539.0
2013-08-08,2,2013,,-66652,112348,128582,128582.0,0.5,,,172662,-589,833524,2013年04月01日至2013年06月30日,421932,550514,420186,548768,552096,42498,14295188,16504046,2208858,2208858,1656762,629403,,,0.49,,193835,421932,594594,,,2609,1746.0,1746.0
2013-11-07,3,2013,,3533,51769,-47705,-47705.0,0.71,,,200193,-640,804313,2013年07月01日至2013年09月30日,601645,553940,601095,553390,750988,50850,16042165,18470949,2428784,2428784,1677796,654890,,,0.71,,218593,601645,801838,,,3812,550.0,550.0
2014-03-24,4,2013,,-56007,425724,370064,372234.0,2.34,,,753611,-1658,3469802,2013年01月01日至2013年12月31日,1976692,2346756,1972857,2342921,2376588,353715,62620507,71879047,9258540,9258540,6881952,2491761,,-2615.0,2.31,,920389,1976692,2730303,,-445.0,14344,3835.0,3835.0
2014-05-05,1,2014,,-13453,155189,36255,36255.0,1.15,,,182232,-155,1017438,2014年01月01日至2014年03月31日,970172,1006427,970172,1006427,1016356,136048,17565037,20595223,3030186,3030186,2013830,697945,,,1.14,,298447,970172,1152404,,,5533,0.0,0.0
2014-08-11,2,2014,,14839,84225,-157300,-157300.0,0.94,,,135965,1246,1025443,2014年第2季,794088,636788,794088,636788,838424,91629,18268612,20903091,2634479,2634479,1796055,632726,,,0.93,,137886,794088,930053,,,8681,0.0,0.0
2014-11-07,3,2014,,-134653,114037,150621,150621.0,0.83,,,140871,604,1102955,2014年第3季,705259,855880,705259,855880,874981,-28851,18808740,21695171,2886431,2886431,2011450,722304,,,0.83,,186191,705259,846130,,,8839,0.0,0.0
2015-03-20,4,2014,,-469334,500265,270801,281168.0,3.57,,,563309,46,4412360,2014年度,3013861,3284662,3013861,3284662,3593349,-16179,73387333,84901773,11514440,11514440,7921091,2735708,,-12490.0,3.53,,773023,3013861,3577170,,-2123.0,47156,0.0,0.0
2015-04-30,1,2015,-143533.0,-44866,95850,-143533,,1.12,,,184313,-884,1073609,2015年01月01日至2015年03月31日,948570,805037,948570,805037,1090236,42647,17084535,20237673,3153138,3153138,2062902,774131,-143533.0,,1.11,,215162,948570,1132883,,,7453,0.0,0.0
2015-08-06,2,2015,,-53985,110532,-94482,-94482.0,0.66,,-94482.0,7178,405,966667,2015年第2季,554781,460299,554781,460299,510325,51634,16004311,18427145,2422834,2422834,1912509,704340,,,0.65,,241502,554781,561959,,,5318,0.0,0.0
2015-11-06,3,2015,,-54215,158787,441651,441651.0,1.35,,441651.0,188148,0,1127340,2015年第3季,1143946,1585597,1143946,1585597,1228678,103416,19058852,22544227,3485375,3485375,2256697,787923,,,1.34,,341434,1143946,1332094,,,1156,,
2016-03-25,4,2015,-21045.0,-220656,448781,37594,58639.0,4.39,,58639.0,560587,-479,4527224,2015年度,3706456,3744050,3706456,3744050,4055808,211235,72453660,85294794,12841134,12841134,8785326,3210602,-25355.0,,4.33,,1047500,3706456,4267043,-4310.0,,16411,0.0,0.0
2016-05-04,1,2016,,-8763,69497,-132553,-132553.0,1.37,,-132553.0,288321,0,1160882,2016年01月01日至2016年03月31日,1154224,1021671,1154224,1021671,1382142,60403,19870767,23509306,3638539,3638539,2256397,891365,,,1.35,,204150,1154224,1442545,,,331,0.0,0.0
2016-08-05,2,2016,,27470,91859,-163655,-163655.0,1.1,1.1,-163655.0,176867,0,1087718,2016年第2季,928492,764837,928492,764837,986343,119016,19553294,22594556,3041262,3041262,2054919,770223,,,1.1,1.1,196978,928492,1105359,,,313,,
2016-11-04,3,2016,,-71937,96057,-253256,-253256.0,1.91,1.91,-253256.0,292411,0,1421830,2016年第3季,1614505,1361249,1614505,1361249,1883362,23554,25197125,29542928,4345803,4345803,2462441,884627,,,1.91,1.91,155984,1614505,1906916,,,566,,
