date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,共同控制下前手權益（淨利／損）,共同控制下前手權益（綜合損益）,其他利益及損失淨額,其他收入合計,其他綜合損益,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與可能重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,財務成本淨額,重估增值,金融資產重分類淨損益,除列按攤銷後成本衡量金融資產淨損益,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-09,1,2013,,,,,-1134,9995,-4514.0,22042,26556,-0.7,,6956,,,,12767,2013年01月01日至2013年03月31日,-78536,-56494,,-78536,-56494,-79247,7667,121720,100718,-21002,-21002,58245,17227,,,-0.7,28251,-78536,-71580,,,,1194,,,,0.0,0.0
2013-08-09,2,2013,,,,,-77025,3886,-2367.0,11558,13925,-1.26,,-6629,,,,7126,2013年04月01日至2013年06月30日,-141533,-129975,,-141533,-129975,-74096,-74066,82243,62792,-19451,-19451,54645,17033,,,-1.26,30486,-141533,-148162,,,,927,,,,0.0,0.0
2013-10-30,3,2013,,,,,-103805,3576,1130.0,-5517,-6647,-1.58,,-22094,,,,5803,2013年07月01日至2013年09月30日,-178184,-183701,,-178184,-183701,-99271,-101007,87014,44480,-42534,-42534,56737,11711,,,-1.58,39223,-178184,-200278,,,,778,,,,0.0,0.0
2014-02-10,4,2013,,,,,-183420,24307,-7490.0,36521,44060,-4.12,,7018,,,,32043,2013年01月01日至2013年12月31日,-464780,-428259,,-464780,-428259,-295258,-162504,305954,223653,-82301,-82301,212957,46644,,-49.0,-4.12,134270,-464780,-457762,,,,3391,,,,0.0,0.0
2014-04-24,1,2014,,,,,-749,2775,406.0,-1982,-2388,-0.27,,1511,,,,56,2014年01月01日至2014年03月31日,-30829,-32811,,-30829,-32811,-30726,1408,15457,13509,-1948,-1948,28778,663,,,-0.27,28059,-30829,-29318,,,,618,,,,0.0,0.0
2014-08-07,2,2014,,,,,-4210,3913,1568.0,-7656,-9224,-0.78,,10249,,,,389,2014年第2季,-87491,-95147,,-87491,-95147,-76339,-903,61883,15082,-46801,-46801,29538,515,,,-0.78,28634,-87491,-77242,,,,606,,,,0.0,0.0
2014-11-11,3,2014,,,,,17626,4704,-2694.0,13159,15853,0.02,,207,,,,729,2014年第3季,2528,15687,,2528,15687,-19217,21952,26072,26583,511,511,19728,43,,,0.02,18956,2528,2735,,,,378,,,,,
2015-02-24,4,2014,,,,,-5199,19625,-4839.0,23627,28466,-1.83,,11322,,,0.0,2842,2014年度,-206774,-183147,,-206774,-183147,-208338,12886,200023,92060,-107963,-107963,100375,1255,,0.0,-1.83,96278,-206774,-195452,,,,1540,,0.0,0.0,,
2015-05-07,1,2015,0.0,0.0,0.0,0.0,-34136,4963,,-7993,-9630,-0.32,-7993.0,-12070,0.0,0.0,,5271,2015年01月01日至2015年03月31日,-35875,-43868,0.0,-35875,-43868,-17024,-30921,123831,140650,16819,16819,33843,13,0.0,,-0.32,28559,-35875,-47945,,-1637.0,0.0,1748,0.0,,,0.0,0.0
2015-08-11,2,2015,0.0,0.0,,,804,2308,,-7609,-9167,-0.66,-7609.0,8338,0.0,0.0,,6110,2015年第2季,-74098,-81707,0.0,-74098,-81707,-63998,-1762,187801,162748,-25053,-25053,38945,5,0.0,,-0.66,32830,-74098,-65760,0.0,-1558.0,0.0,4874,0.0,,,,
2015-11-10,3,2015,0.0,0.0,,,16305,1593,,20217,26302,-0.18,20217.0,767,0.0,0.0,,11311,2015年第3季,-20020,197,0.0,-20020,197,-32148,12895,173084,181213,8129,8129,40277,5,0.0,,-0.18,28961,-20020,-19253,0.0,6085.0,0.0,5003,0.0,,,,
2016-03-07,4,2015,0.0,0.0,,,-31350,8997,,-4622,-5569,-1.87,-4622.0,-7978,0.0,0.0,,31771,2015年度,-211123,-215745,0.0,-211123,-215745,-179498,-39603,697583,665267,-32316,-32316,147182,0,0.0,,-1.87,115411,-211123,-219101,0.0,-947.0,0.0,17250,0.0,,,,
2016-05-04,1,2016,0.0,0.0,,,-2992,4821,,-6506,-7838,-0.26,-6506.0,2972,0.0,0.0,,9171,2016年01月01日至2016年03月31日,-29186,-35692,0.0,-29186,-35692,-25065,-1149,159870,169096,9226,9226,34291,0,0.0,,-0.26,25120,-29186,-26214,0.0,-1332.0,0.0,2978,0.0,,,,
2016-08-09,2,2016,0.0,0.0,,,-8352,1710,,-16445,-19814,-0.29,-16445.0,635,0.0,0.0,,10141,2016年第2季,-33002,-49447,0.0,-33002,-49447,-22850,-9517,155128,168499,13371,13371,36221,0,0.0,,-0.29,26080,-33002,-32367,0.0,-3369.0,0.0,2875,0.0,,,,
2016-11-07,3,2016,0.0,0.0,,,-4064,1892,,-18652,-22472,-0.04,-18652.0,1044,0.0,0.0,,8063,2016年第3季,-4853,-23505,0.0,-4853,-23505,959,-4768,170061,204684,34623,34623,33664,0,0.0,,-0.04,25601,-4853,-3809,0.0,-3820.0,0.0,2596,0.0,,,,
