date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,,22998,30046,5644,27833,4835,-0.25,-0.25,,8063,-6432,30978,2013年01月01日至2013年03月31日,-48925,-21092,-51142,-23968,-66599,25737,850940,875510,24570,24570,91169,32554,,,-0.25,-0.25,27637,-48925,-40862,,0.0,,3521,2217,2876
2013-08-14,2,2013,,,-59339,-24333,9091,-58501,838,-0.44,-0.44,,30711,-4214,31709,2013年04月01日至2013年06月30日,-88139,-146640,-88560,-127499,-34411,-23017,1071475,1130577,59102,59102,93513,29678,,,-0.44,-0.44,32126,-88139,-57428,,0.0,,3561,421,-19141
2013-11-12,3,2013,,,686,10083,15347,-396,-1082,0.25,0.25,,4,-394,20252,2013年07月01日至2013年09月30日,56341,55945,51481,58023,34728,21617,1123044,1242021,118977,118977,84249,27979,,,0.25,0.25,36018,56341,56345,,0.0,,3419,4860,-2078
2014-03-25,4,2013,,,-113952,96940,59739,-102634,9431,0.18,,,45356,-12294,114301,2013年01月01日至2013年12月31日,61162,-41472,36145,-34290,-23207,129725,4321015,4671241,350226,350226,373433,123429,,2273.0,0.18,,135703,61162,106518,,386.0,,14660,25017,-7182
2014-05-08,1,2014,,,29878,23366,8429,29111,-767,0.26,0.26,,1637,-363,23502,2014年01月01日至2014年03月31日,51712,80823,52435,81933,24682,28667,1079522,1191147,111625,111625,86943,22338,,,0.26,0.26,41103,51712,53349,,0.0,,2765,-723,-1110
2014-08-13,2,2014,,,-37424,-26218,10625,-42210,-4786,0.75,0.75,,-29637,637,37808,2014年第2季,152719,110509,151506,110126,141017,-17935,1498920,1750444,251524,251524,110507,25143,,,0.75,0.75,47556,152719,123082,,0.0,,2979,1213,383
2014-11-06,3,2014,,,-38237,32063,10814,-31464,6773,0.56,0.56,,9160,1127,62022,2014年第3季,114087,82623,113237,80599,82389,40858,1193953,1400041,206088,206088,123699,28421,,,0.52,0.52,33256,114087,123247,,0.0,,3146,850,2024
2015-03-20,4,2014,,,-64543,87299,42153,-51483,10742,1.82,,,2930,669,149775,2014年度,378139,326656,365880,312391,263284,117785,4753344,5448553,695209,695209,431925,107397,,2792.0,1.72,,174753,378139,381069,,474.0,,12336,12259,14265
2015-05-13,1,2015,0.0,0.0,10890,-27739,13087,7032,-3858,-0.22,-0.22,7032.0,-3731,-416,26670,2015年01月01日至2015年03月31日,-45920,-38888,-44216,-36994,-31633,-18018,970838,1037210,66372,66372,98005,27492,,,-0.22,-0.22,43843,-45920,-49651,0.0,,0.0,2950,-1704,-1894
2015-08-12,2,2015,,,-33338,-36950,12634,-39500,-6162,-0.62,-0.62,-39500.0,22162,-3325,16490,2015年第2季,-133128,-172628,-124431,-159647,-80147,-30819,1077706,1089676,11970,11970,92117,21844,,,-0.62,-0.62,53783,-133128,-110966,,,0.0,3178,-8697,-12981
2015-11-11,3,2015,,,-34796,82175,17436,-30704,4092,0.88,0.88,-30704.0,-891,-2745,14412,2015年第3季,175228,144524,179341,153657,80452,93885,1036658,1194094,157436,157436,76984,18972,,,0.78,0.78,43600,175228,174337,,,0.0,2981,-4113,-9133
2016-03-25,4,2015,,2086.0,-67902,2020,60592,-69193,-3377,-0.07,,-71279.0,10786,-8615,98986,2015年度,-38137,-107330,-14597,-77214,-68521,41170,3955471,4257525,302054,302054,370575,86968,2513.0,,-0.07,,184621,-38137,-27351,427.0,,,12827,-23540,-30116
2016-05-09,1,2016,0.0,0.0,-9799,-25483,8823,-10646,-847,-0.35,-0.35,-10646.0,0,-2462,29542,2016年01月01日至2016年03月31日,-80499,-91145,-71390,-79522,-57822,-22677,653080,693508,40428,40428,98250,18619,,,-0.35,-0.35,50089,-80499,-80499,0.0,,0.0,3555,-9109,-11623
2016-08-11,2,2016,,,-5466,-12763,10106,-12008,-6542,-0.71,-0.71,-12008.0,-407,-114,129312,2016年第2季,-147155,-159163,-143573,-152022,-142191,-5371,637989,693393,55404,55404,197595,19259,,,-0.71,-0.71,49024,-147155,-147562,,,0.0,2600,-3582,-7141
2016-11-04,3,2016,,,-2764,-29384,26909,-8212,-5448,0.12,0.12,-8212.0,554,-2962,38422,2016年第3季,29899,21687,23626,15988,38379,-7926,599564,721508,121944,121944,83565,11682,,,0.11,0.11,33461,29899,30453,,,0.0,2489,6273,5699
