date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險,現金流量避險中屬有效避險部分之避險工具利益(損失),確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-06,1,2013,,9253,19902,5263,,5955,194,-0.23,,-28149,564.0,15544,,2013年01月01日至2013年03月31日,-129458,-123503,-129458,-123503,-172508,14901,2655034,2745706,90672,90672,263180,-4056.0,,,,-0.23,-129458,-157607,,,,25808,,
2013-08-13,2,2013,,20309,13703,10622,0.0,17742,44,-0.1,,-22675,127.0,14669,,2013年04月01日至2013年06月30日,-56842,-39100,-56842,-39100,-81840,2323,2831848,3026260,194412,194412,276252,-2738.0,,,,-0.1,-56842,-79517,,0.0,,36671,0.0,
2013-11-08,3,2013,,-4864,3709,23854,,-2886,-107,0.19,,16563,-779.0,15317,,2013年07月01日至2013年09月30日,103670,100784,103670,100784,109636,10597,3089172,3493945,404773,404773,295137,2864.0,,,,0.19,103670,120233,,,,32283,,0.0
2014-03-17,4,2013,,33554,-114573,726444,,13816,190,0.24,,16616,1230.0,65192,,2013年01月01日至2013年12月31日,133010,146826,133010,146826,-394218,543844,11429958,12172813,742855,742855,1137073,-3713.0,,,-21018.0,0.24,133010,149626,,-3573.0,,133219,0.0,0.0
2014-05-12,1,2014,,10335,-55659,20376,,8752,165,0.09,,19303,,15031,,2014年01月01日至2014年03月31日,49618,58370,49618,58370,126250,-57329,2569697,2972016,402319,402319,276069,-1748.0,,,,0.09,49618,68921,,0.0,,37077,0.0,0.0
2014-08-13,2,2014,,-8858,-40381,38791,,-8026,-150,0.2,,54152,1280.0,19159,,2014年第2季,108689,100663,108689,100663,186916,-24075,3010118,3547976,537858,537858,350942,-298.0,,,,0.18,108689,162841,,0.0,,41644,0.0,0.0
2014-11-11,3,2014,,12708,-359080,448977,,13593,141,0.24,,27642,446.0,18294,,2014年第3季,134029,147622,134029,147622,100203,61468,3101367,3541085,439718,439718,339515,298.0,,,,0.21,134029,161671,,0.0,,46723,0.0,0.0
2015-03-16,4,2015,-125823.0,-45542,276468,1136564,,-285229,364,-1.83,-159406.0,-100444,,54081,-261.0,2015年度,-1156141,-1441370,-1156141,-1441370,-2493753,1237168,11808676,10583683,-1224993,-1224993,1268760,,-113967.0,-151594.0,,-1.83,-1156141,-1256585,-25771.0,,,229945,0.0,0.0
2015-03-23,4,2014,,-5362,-403691,568138,,-95767,494,0.55,,141396,565.0,61259,,2014年度,304911,209144,304911,209144,400234,46073,11533626,13215447,1681821,1681821,1281587,-33355.0,,,-70011.0,0.44,304911,446307,,-11902.0,,179633,0.0,0.0
2015-05-13,1,2015,,333,-649974,844649,,-6062,-106,-0.1,-6062.0,6008,,11282,,2015年01月01日至2015年03月31日,-61146,-67208,-61146,-67208,-205756,150618,2719774,2857493,137719,137719,343475,,-6289.0,,,-0.1,-61146,-55138,,,0.0,55339,0.0,0.0
2015-08-10,2,2015,,11878,272101,240141,,47699,-134,-0.35,47699.0,-629,,16151,0.0,2015年第2季,-217997,-170298,-217997,-170298,-691214,472588,2713558,2309132,-404426,-404426,286788,,35955.0,,,-0.35,-217997,-218626,,,0.0,55805,0.0,0.0
2015-11-12,3,2015,,-7442,513860,30405,,-96037,0,-0.32,-96037.0,-16888,,16204,0.0,2015年第3季,-204579,-300616,-204579,-300616,-723349,501882,3035696,2645262,-390434,-390434,332915,,-88595.0,,,-0.32,-204579,-221467,,,0.0,58587,0.0,0.0
2016-04-29,1,2016,,-9999,269692,7311,,54699,0,-0.69,54699.0,-97287,,14755,,2016年01月01日至2016年03月31日,-438628,-383929,-438628,-383929,-769639,233724,3581485,3199097,-382388,-382388,387251,,64698.0,,,-0.69,-438628,-535915,,,0.0,58034,0.0,0.0
2016-08-09,2,2016,,-6454,24335,34188,,60096,-271,-1.3,60096.0,-68733,,21362,0.0,2016年第2季,-820314,-760218,-820314,-760218,-909722,20675,3391808,2909770,-482038,-482038,427684,,66821.0,,,-1.3,-820314,-889047,,,0.0,59210,0.0,0.0
2016-11-14,3,2016,,-145,-4727,29511,,7290,-455,-1.42,7290.0,-22350,,25810,0.0,2016年第3季,-957835,-950545,-957835,-950545,-970213,-9972,3418648,2768555,-650093,-650093,320120,,7890.0,,,-1.42,-957835,-980185,,,0.0,60566,0.0,0.0
