date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益,其他綜合損益（淨額）,可能重分類至損益之其他項目,國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營建工程成本合計,營建工程收入合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險中屬有效避險部分之避險工具利益(損失),研究發展費用合計,確定福利計畫之再衡量數,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,重估增值,銷貨成本合計,銷貨折讓,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,,,-1252,968,0.0,0.0,,,,-0.23,,151,,,,6798,2013年01月01日至2013年03月31日,-16058,-16058,,-16058,-16058,,,-14718,-1189,26022,36731,10709,10709,25427,,347,,18282,-16058,-15907,,0.0,,905,,26022,554,37412,36731,127,0.0,0.0
2013-08-13,2,2013,,,,2066,915,0.0,0.0,,,,-0.09,,835,,,,8295,2013年04月01日至2013年06月30日,-7053,-7053,,-7053,-7053,,,-9039,2821,50636,64727,14091,14091,23130,,890,,13945,-7053,-6218,,0.0,,160,,50636,127,65893,64727,1039,0.0,0.0
2013-11-12,3,2013,,,,-235,1395,0.0,0.0,,,,-0.15,,145,,,,8197,2013年07月01日至2013年09月30日,-11646,-11646,,-11646,-11646,,,-12677,1176,25530,36773,11243,11243,23920,,460,,15263,-11646,-11501,,0.0,,-16,,25530,391,37957,36773,793,0.0,0.0
2014-03-20,4,2013,,,,1027,18891,0.0,0.0,,,,2.66,,16,,,,119092,2013年01月01日至2013年12月31日,207473,207473,,207473,207473,1950217.0,2291998.0,188865,18624,2085991,2472297,386306,386306,197441,,2138,,76211,207473,207489,,0.0,,1294,,135774,1594,184352,180299,2459,0.0,0.0
2014-05-13,1,2014,,,,-21,1043,0.0,0.0,,,,0.61,,0,,,,32399,2014年01月01日至2014年03月31日,48878,48878,,48878,48878,552463.0,649567.0,49227,-349,583739,684128,100389,100389,51162,,518,,18245,48878,48878,,0.0,,1371,,31276,376,36218,34561,1281,0.0,0.0
2014-08-12,2,2014,,,,48,1134,0.0,0.0,,,,0.01,,0,,,,11825,2014年第2季,1199,1199,,1199,1199,176800.0,207486.0,1123,76,218614,247728,29114,29114,27991,,1136,,15030,1199,1199,,,,1106,,41814,707,43248,40242,2299,,
2014-11-11,3,2014,,,,-1,1015,0.0,0.0,,,,-0.26,,0,,,,12684,2014年第3季,-21150,-21150,,-21150,-21150,0.0,0.0,-21081,-69,32480,39884,7404,7404,28485,,472,,15329,-21150,-21150,,,,1083,,32480,497,40558,39884,177,,
2015-03-27,4,2014,,,,25,5798,0.0,0.0,,,,0.11,,0,,,,72494,2014年度,8960,8960,,8960,8960,728747.0,857053.0,7770,1190,884777,1031785,147008,147008,139238,,2419,,64325,8960,8960,,0.0,,4633,,156030,2597,181052,174732,3723,0.0,0.0
2015-05-12,1,2015,0.0,0.0,0.0,340,4111,,0.0,0.0,0.0,0.0,-0.38,0.0,0,0.0,0.0,0.0,9314,2015年01月01日至2015年03月31日,-30850,-30850,0.0,-30850,-30850,0.0,0.0,-34187,3337,35901,40858,4957,4957,39144,0.0,339,0.0,29491,-30850,-30850,0.0,,0.0,1114,0.0,35901,1034,42140,40858,248,0.0,0.0
2015-08-07,2,2015,0.0,0.0,,733,-59,,0.0,0.0,,,-0.27,0.0,0,,,,8760,2015年第2季,-21730,-21730,,-21730,-21730,0.0,0.0,-21336,-394,36119,38813,2694,2694,24030,,323,,14947,-21730,-21730,,,,1068,,36119,1147,40659,38813,699,,
