date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,財務成本淨額
2013-05-13,1,2013,,1360,-223,13749,1592,-1259,0.07,0.07,,-149,,1491.0,2266,,12640,2013年01月01日至2013年03月31日,5823,7415,5823,7415,-6266,11940,298393,325830,27437,27437,33703,,,0.07,0.07,21063,5823,5674,,,3852
2013-08-09,2,2013,,-5261,-3825,6461,-3563,1654,0.0,0.0,,-808,,44.0,6860,,17168,2013年04月01日至2013年06月30日,419,-3144,419,-3144,-5451,5062,292090,323375,31285,31285,36736,,,0.0,0.0,19568,419,-389,,,4434
2013-11-12,3,2013,,-284,-711,2837,-5186,-4909,-0.19,-0.19,,745,,7.0,5071,,15551,2013年07月01日至2013年09月30日,-17337,-22523,-17337,-22523,-19625,3033,320696,335843,15147,15147,34772,,,,,19221,-17337,-16592,,,4164
2014-03-20,4,2013,,-2305,-414,35592,-2417,243,-0.14,-0.14,,-82,,-1330.0,30111,,70523,2013年01月01日至2013年12月31日,-12204,-14621,-12204,-14621,-58969,46683,1238288,1330597,92309,92309,151278,,1174.0,,,80755,-12204,-12286,,199.0,18606
2014-05-12,1,2014,,3214,1614,3875,7656,4491,-0.18,-0.18,,-115,,-49.0,9107,,14379,2014年01月01日至2014年03月31日,-15939,-8283,-15939,-8283,-24330,8276,314080,331805,17725,17725,42055,,,,,27676,-15939,-16054,,,6320
2014-08-11,2,2014,,2043,-8473,5877,-4186,-6176,-0.34,-0.34,,-634,,-53.0,14363,,18044,2014年第2季,-30785,-34971,-30785,-34971,-35849,4430,303927,311680,7753,7753,43602,,,-0.34,-0.34,25558,-30785,-31419,,,7337
2014-11-11,3,2014,,-1603,-665,20984,2818,4421,-0.68,-0.68,,-556,,0.0,8152,,19349,2014年第3季,-60638,-57820,-60638,-57820,-82313,21119,517251,478520,-38731,-38731,43582,,,,,24233,-60638,-61194,,,7352
2015-03-20,4,2014,,8644,-6759,30433,7656,6889,-2.17,-2.17,,-1365,,-1674.0,39878,,90905,2014年度,-194550,-186894,-194550,-186894,-230331,34416,1701946,1662336,-39610,-39610,190721,,-7474.0,,,99816,-194550,-195915,,-1271.0,29136
2015-05-12,1,2015,,-3494,-7414,1119,-6078,-2450,-0.37,-0.37,-6078.0,-1676,,,-3133,-134.0,21714,2015年01月01日至2015年03月31日,-32991,-39069,-32991,-39069,-16730,-17937,460548,490281,29733,29733,46463,,,,,24749,-32991,-34667,,,8509
2015-08-11,2,2015,,-2656,-15077,5902,-5400,-2737,-0.09,-0.09,-5400.0,-2752,,,13307,-7.0,23240,2015年第2季,-7899,-13299,-7899,-13299,-6120,-4531,425858,465771,39913,39913,46033,,,,,22793,-7899,-10651,,,8663
2015-11-03,3,2015,,-1834,-7696,3720,1914,3955,-0.2,-0.2,1914.0,938,,,9608,-207.0,20395,2015年第3季,-18402,-16488,-18402,-16488,-14211,-3253,418089,446868,28779,28779,42990,,,,,22595,-18402,-17464,,,8885
2016-03-24,4,2015,-7296.0,-6670,-34339,10582,-16651,-1846,-0.93,-0.93,-9355.0,-3889,-2369.0,,35894,-839.0,87432,2015年度,-83579,-100230,-83579,-100230,-63948,-23520,1717047,1833542,116495,116495,180443,-5936.0,,,,93011,-83579,-87468,-1009.0,,35657
2016-05-12,1,2016,,-878,10816,326,-8299,-7405,-0.29,-0.29,-8299.0,0,,,3994,-16.0,19819,2016年01月01日至2016年03月31日,-26237,-34536,-26237,-34536,-30353,4116,408873,424735,15862,15862,46215,,,,,26396,-26237,-26237,,,11020
2016-08-10,2,2016,,-133,-4608,9238,-1192,-966,-0.76,-0.76,-1192.0,0,,,5657,-93.0,19560,2016年第2季,-67995,-69187,-67995,-69187,-68016,21,432058,408057,-24001,-24001,44015,,,,,24455,-67995,-67995,,,10266
2016-11-10,3,2016,,615,-18737,2980,-11394,-12067,-0.76,-0.76,-11394.0,0,,,1426,58.0,21851,2016年第3季,-68295,-79689,-68295,-79689,-41384,-26911,365233,371186,5953,5953,47337,,,,,25486,-68295,-68295,,,12580
