date,season,year,不重分類至損益之項目總額,停業單位損益合計,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-02,1,2013,,0,-282,10412,6715,-857,-575,0.06,0,,3993,-6653,44059,2013年01月01日至2013年03月31日,0,12265,11408,12265,11408,8052,8206,188383,262010,73627,73627,65575,0,,,0.06,21516,12265,16258,,,2268,0,0
2013-08-13,2,2013,,0,5069,-24315,8029,-332,-6365,-0.14,0,,1585,-8770,37862,2013年04月01日至2013年06月30日,0,-25190,-25522,-25190,-25522,3001,-26606,178243,238762,60519,60519,57518,0,,,-0.14,19656,-25190,-23605,-964.0,,1550,0,0
2013-11-13,3,2013,,0,-512,-5024,4894,10579,13363,-0.06,0,,552,-10837,44691,2013年07月01日至2013年09月30日,0,-11765,-1186,-11765,-1186,734,-11947,196739,262284,65545,65545,64811,0,,,-0.06,20120,-11765,-11213,2272.0,,980,0,0
2014-03-25,4,2013,,0,8374,-19807,23075,27231,16454,-0.31,0,,6455,-49944,171528,2013年01月01日至2013年12月31日,0,-59034,-31803,-59034,-31803,-49,-52530,745063,1002841,257778,257778,257827,0,,5200.0,-0.31,86299,-59034,-52579,2797.0,,5854,0,0
2014-05-12,1,2014,,0,99407,17945,5100,101877,2976,0.08,0,,462,-11300,36424,2014年01月01日至2014年03月31日,0,13407,115284,13407,115284,3388,10481,163216,222462,59246,59246,55858,1685,,,0.08,17749,13407,13869,506.0,,1264,0,0
2014-08-12,2,2014,,0,-126281,-702,14099,-119060,8701,-0.07,0,,621,-13115,34431,2014年第2季,0,-12133,-131193,-12133,-131193,-10161,-1351,156102,201774,45672,45672,55833,2487,,,-0.07,18915,-12133,-11512,1480.0,,1633,0,0
2014-11-10,3,2014,,0,-31493,-3777,26962,-35988,-5417,-0.04,0,,10555,-9360,38293,2014年第3季,0,-6796,-42784,-6796,-42784,-8719,12478,157887,206340,48453,48453,57172,2046,,,-0.04,16833,-6796,3759,-922.0,,1347,0,0
2015-03-23,4,2014,,0,-77520,-10059,48313,-66541,6979,-0.36,0,,20498,-53401,145587,2014年度,0,-64342,-130883,-64342,-130883,-23216,-20628,634825,834767,199942,199942,223158,8547,,4000.0,-0.36,69024,-64342,-43844,,,5481,0,0
2015-05-08,1,2015,,0,97725,7433,6586,91127,-6598,0.09,0,91127.0,1963,-9756,38553,2015年01月01日至2015年03月31日,0,16490,107617,16490,107617,16031,2422,180050,254581,74531,74531,58500,1803,,,0.09,18144,16490,18453,,,1841,0,0
2015-08-11,2,2015,,0,50617,56083,6679,44711,-5906,0.29,0,44711.0,7978,-12056,35830,2015年第2季,0,51782,96493,51782,96493,11208,48552,158902,230773,71871,71871,60663,-396,,,0.29,25229,51782,59760,,,2154,0,0
2015-11-10,3,2015,,0,-32509,15278,20402,-30658,1795,0.14,0,-30658.0,10382,-5779,35953,2015年第3季,0,24044,-6614,24044,-6614,6973,27453,161900,227220,65320,65320,58347,0,,,0.14,22394,24044,34426,,-56.0,2448,0,0
2016-03-22,4,2015,-1490.0,0,110998,174903,40780,101585,-9547,0.84,0,103075.0,35836,-44392,164300,2015年度,0,141762,243347,141762,243347,15098,162500,655714,951160,295446,295446,280348,1407,-1490.0,,0.84,114641,141762,177598,,-1624.0,8791,0,0
2016-05-03,1,2016,,0,35982,-5903,6697,37092,1337,0.14,0,37092.0,-666,-1717,31696,2016年01月01日至2016年03月31日,0,21406,58498,21406,58498,24035,-3295,143612,218907,75295,75295,51260,0,,,0.14,19564,21406,20740,,227.0,2372,0,0
2016-08-09,2,2016,,0,-21102,7068,10728,-23432,-2807,0.22,0,-23432.0,4033,-3815,31106,2016年第2季,0,33388,9956,33388,9956,25658,11763,143620,223696,80076,80076,54418,0,,,0.22,23312,33388,37421,,-477.0,2218,0,0
2016-11-08,3,2016,,0,99196,-8482,12383,101017,2194,0.26,0,101017.0,4304,-2087,35983,2016年第3季,0,39704,140721,39704,140721,44460,-452,170239,273280,103041,103041,58581,0,,,0.26,22598,39704,44008,,373.0,2266,0,0
