date,season,year,不重分類至損益之項目總額,停業單位損益合計,備供出售金融資產未實現評價損益,共同控制下前手權益（淨利／損）,共同控制下前手權益（綜合損益）,其他利益及損失淨額,其他收入合計,其他收益及費損淨額,其他綜合損益（淨額）,其他費用,可能重分類至損益之其他項目,國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險中屬有效避險部分之避險工具利益(損失),當期所得稅費用（利益）,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與可能重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,財務成本淨額,金融資產重分類淨損益,除列按攤銷後成本衡量金融資產淨損益,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,,-20196,,,1187,3435,,-20196,,,,,-0.17,,,-1,,,33525,2013年01月01日至2013年03月31日,,-44726,-64922,-44726,-64922,-46039,1312,493274,514601,21327,21327,67366,,,2870,,,30971,-44726,-44727,,,3310,,,0.0,0.0
2013-08-13,2,2013,,,-14323,,,1586,4522,,-14323,,,,,-0.03,,,0,,,36717,2013年04月01日至2013年06月30日,,-7644,-21967,-7644,-21967,-10306,2662,506072,567253,61181,61181,71487,,,2841,,,31929,-7644,-7644,,,3446,,,,
2013-11-08,3,2013,,,45097,,0.0,-1481,26870,,45097,,,,,-0.14,,,0,,,32412,2013年07月01日至2013年09月30日,,-37028,8069,-37028,8069,-58901,21873,480361,488059,7698,7698,66599,,0.0,2269,,,31918,-37028,-37028,,,3516,,,0.0,0.0
2014-03-19,4,2013,,,-31034,,,1364,39154,,-28742,,,,,-0.66,,,-1,,,133164,2013年01月01日至2013年12月31日,,-171288,-200030,-171288,-200030,-197602,26313,1938793,2012098,73305,73305,270907,,,9946,,2292.0,127797,-171288,-171289,,,14205,,,0.0,0.0
2014-05-06,1,2014,,,-24830,,,-74090,3599,,-24830,,,,,-0.46,,,0,,,25811,2014年01月01日至2014年03月31日,,-119569,-144399,-119569,-144399,-44798,-74771,349786,364313,14527,14527,59325,,,1830,,,31684,-119569,-119569,,,4280,,,0.0,0.0
2014-08-12,2,2014,,0.0,18786,,,-523,5620,,18786,,,,,-0.11,,,0,,,30766,2014年第2季,,-27861,-9075,-27861,-9075,-28166,305,433453,470681,37228,37228,65394,,,2287,,,32341,-27861,-27861,,,4792,,,0.0,0.0
2014-11-07,3,2014,,0.0,191580,,,4335,29721,,190616,,,,,-0.25,,,0,,,26860,2014年第3季,,-64824,125792,-64824,125792,-94224,29400,381046,415825,34779,34779,129003,,,1466,,-964.0,100677,-64824,-64824,,,4656,,,0.0,0.0
2015-03-09,4,2014,,0.0,363342,,,-245669,57324,,363041,,,,,-1.71,,,0,,,99134,2014年度,,-445333,-82292,-445333,-82292,-238278,-207055,1470284,1552109,81825,81825,320103,,,6525,,-301.0,214444,-445333,-445333,,,18710,,,0.0,0.0
2015-05-12,1,2015,,0.0,325447,,,3554,8403,,325447,,,,,-0.18,,325447.0,0,,,7295,2015年01月01日至2015年03月31日,,-46874,278573,-46874,278573,-53446,6572,85174,83066,-2108,-2108,51338,,,1432,,,42611,-46874,-46874,,,5385,,,0.0,0.0
2015-08-10,2,2015,,0.0,-421397,,,-702,5985,,-421397,,,,,-0.26,,-421397.0,0,,,7773,2015年第2季,,-66547,-487944,-66547,-487944,-66421,-126,75474,66536,-8938,-8938,57483,,,1324,,,48386,-66547,-66547,,,5409,,,0.0,0.0
