date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,-2765,8052,3933,-2514,251,0.54,0.54,,8931,24057,2013年01月01日至2013年03月31日,41769,39255,41769,39248,41773,8927,186236,298063,111827,111827,70054,29952,,,0.54,0.54,16045,41769,50700,,,3058,0,7
2013-08-08,2,2013,,-1257,2262,6271,-1227,30,0.58,0.58,,5451,21433,2013年04月01日至2013年06月30日,45404,44177,45362,44135,45181,5674,158069,272054,113985,113985,68804,30401,,,0.58,0.58,16970,45404,50855,,,2859,42,42
2013-11-07,3,2013,,20112,-3030,4262,19952,-160,0.09,0.09,,2610,17372,2013年07月01日至2013年09月30日,6868,26820,6833,26789,11392,-1914,124529,204626,80097,80097,68705,34228,,,0.09,0.09,17105,6868,9478,,,3146,35,31
2014-03-10,4,2013,,13827,11438,15829,14334,215,1.25,1.25,,16764,87908,2013年01月01日至2013年12月31日,96918,111252,96825,111155,98734,14948,668486,1043480,374994,374994,276260,126477,,352.0,1.24,1.24,61875,96918,113682,,60.0,12319,93,97
2014-05-08,1,2014,,755,4419,2395,1562,807,0.15,0.15,,2367,22339,2014年01月01日至2014年03月31日,11820,13382,11812,13357,10585,3602,168744,249223,80479,80479,69894,32458,,,0.15,0.15,15097,11820,14187,,,3212,8,25
2014-08-12,2,2014,,-1257,-3928,6437,-2022,-765,0.31,0.31,,2606,17909,2014年第2季,24208,22186,24084,22078,27580,-766,148799,242409,93610,93610,66030,32060,,,0.31,0.31,16061,24208,26814,,,3275,124,108
2014-11-12,3,2014,,-10810,2274,9682,-10646,164,-0.28,-0.28,,-5638,17956,2014年第3季,-21738,-32384,-21696,-32346,-35753,8377,129250,162650,33400,33400,69153,34177,,,-0.28,-0.28,17020,-21738,-27376,,,3579,-42,-38
2015-03-09,4,2014,,-15335,11252,17327,-17001,718,0.19,0.19,,22996,80122,2014年度,14911,-2090,14592,-2424,23350,14557,649948,946704,296756,296756,273406,130022,,-2872.0,0.19,0.19,63262,14911,37907,,-488.0,14022,319,334
2015-05-13,1,2015,,0,222275,3560,-142,-142,2.59,2.59,-142.0,-7069,22945,2015年01月01日至2015年03月31日,200561,200419,200665,200525,-29207,222699,202959,247534,44575,44575,73782,31900,,,2.58,2.58,18937,200561,193492,,,3136,-104,-106
2015-08-10,2,2015,,-5531,-3451,3606,-5731,-200,0.17,0.17,-5731.0,2556,22644,2015年第2季,13204,7473,13179,7453,17236,-1476,200873,292561,91688,91688,74452,32349,,,0.17,0.17,19459,13204,15760,,,1631,25,20
2015-11-09,3,2015,,-11062,10568,7709,-10016,1046,0.41,0.41,-10016.0,6105,24609,2015年第3季,32066,22050,32018,21980,21565,16606,167866,265421,97555,97555,75990,32612,,,0.41,0.41,18769,32066,38171,,,1671,48,70
2016-03-08,4,2015,-2408.0,-3268,228971,15993,-4987,689,3.98,3.98,-2579.0,27795,97459,2015年度,308311,303324,308356,303355,99515,236591,755738,1162211,406473,406473,306958,131871,-2901.0,,3.96,3.96,77628,308311,336106,-493.0,,8373,-45,-31
2016-05-05,1,2016,,-2012,-6102,5008,-2236,-224,0.23,0.23,-2236.0,3647,22657,2016年01月01日至2016年03月31日,17502,15266,17515,15284,23931,-2782,160584,266485,105901,105901,81970,39466,,,0.22,0.22,19847,17502,21149,,,1688,-13,-18
2016-08-09,2,2016,,-5028,2222,603,-5016,12,0.0,0.0,-5016.0,20398,19292,2016年第2季,125,-4891,118,-4899,19187,1336,201563,296670,95107,95107,75920,35402,,,0.0,0.0,21226,125,20523,,,1489,7,8
2016-11-08,3,2016,,-1006,-8141,4471,-1457,-451,0.18,0.18,-1457.0,2917,21370,2016年第3季,13858,12401,13941,12493,22136,-5361,234360,333748,99388,99388,77252,34080,,,0.18,0.18,21802,13858,16775,,,1691,-83,-92
