date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨成本合計,銷貨收入合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-08,1,2013,,54528,25145,4162,64148,15297,-0.17,,-371,-99,30373,2013年01月01日至2013年03月31日,-21991,42157,-21171,42977,-38710,16348,916326,1026162,109836,109836,148546,44182,,,-0.17,73991,-21991,-22362,,5677.0,,12860,916326.0,,1026162.0,-820,-820
2013-08-08,2,2013,,1451,39957,11855,15976,11059,0.19,,12825,-91,23796,2013年04月01日至2013年06月30日,23438,39414,23686,39662,-3285,39548,882447,1022753,140306,140306,143591,44565,,,0.19,75230,23438,36263,,-3466.0,,12173,882447.0,,1022753.0,-248,-248
2013-11-07,3,2013,,20811,2428,14005,13477,-7132,-0.09,,7295,806,28338,2013年07月01日至2013年09月30日,-12506,971,-12012,1465,-9522,4311,854284,997983,143699,143699,153221,44616,,,-0.09,80267,-12506,-5211,,202.0,,12928,854284.0,997983.0,997983.0,-494,-494
2014-03-26,4,2013,,57529,100968,37674,104525,28015,0.0,,60090,387,108700,2013年01月01日至2013年12月31日,-1069,103456,230,104755,-30379,89400,3612132,4188135,576003,576003,606382,176156,,12370.0,0.0,321526,-1069,59021,,-6611.0,,49629,3612132.0,,4188135.0,-1299,-1299
2014-05-09,1,2014,,125051,20238,4934,126154,-486,0.01,,12252,-30,28824,2014年01月01日至2014年03月31日,1107,127261,1502,127656,149,13210,886672,1042909,156237,156237,156088,43168,,0.0,0.01,84096,1107,13359,,-1589.0,,11932,886672.0,,1042909.0,-395,-395
2014-08-06,2,2014,,-40336,-106272,8749,-51727,-9196,-0.37,,-19839,-57,31488,2014年第2季,-47339,-99066,-47572,-99299,43974,-111152,940221,1148780,208559,208559,164585,49051,,0.0,-0.37,84046,-47339,-67178,,2195.0,,13572,940221.0,,1148780.0,233,233
2014-11-06,3,2014,,18371,21579,9982,29226,13709,0.51,,3135,801,35564,2014年第3季,64656,93882,64828,94054,47511,20280,861764,1077148,215384,215384,167873,54859,,,0.51,77450,64656,67791,,2854.0,,12082,861764.0,1077148.0,1077148.0,-172,-172
2015-03-19,4,2014,,97216,-61517,39514,110108,18194,0.42,,17330,983,112655,2014年度,52840,162948,53430,163538,138780,-68610,3540512,4324849,784337,784337,645557,207175,,-2680.0,0.42,325727,52840,70170,,2622.0,,47590,3540512.0,,4324849.0,-590,-590
2015-05-07,1,2015,,-7708,-21946,27740,-11060,-4179,0.25,-11060.0,11149,-495,23656,2015年01月01日至2015年03月31日,31977,20917,31973,20913,51984,-8858,817350,1021709,204359,204359,152375,50371,,,0.25,78348,31977,43126,,,-827.0,14157,817350.0,,1021709.0,4,4
2015-08-05,2,2015,,-20219,-5339,7593,-20919,-6284,0.16,-20919.0,15754,440,25480,2015年第2季,19659,-1260,19765,-1154,37031,-1618,903340,1098660,195320,195320,158289,51551,,,0.16,81258,19659,35413,,,-5584.0,4312,903340.0,,1098660.0,-106,-106
2015-11-04,3,2015,,-65846,53916,16521,-49016,19143,0.71,-49016.0,21833,630,30138,2015年第3季,90080,41064,90138,41122,49627,62286,945345,1158668,213323,213323,163696,53412,,,0.71,80146,90080,111913,,,2313.0,8781,,,,-58,-58
2016-03-17,4,2015,-4157.0,-89041,20526,65535,-94775,-5045,1.32,-90618.0,63810,118,106902,2015年度,167407,72632,167716,72941,180541,50676,3586992,4407956,820964,820964,640423,214452,-5009.0,,1.32,319069,167407,231217,-852.0,,-3468.0,35503,,,,-309,-309
2016-05-09,1,2016,,31779,-13994,7131,16052,-13141,0.13,16052.0,5300,-65,25101,2016年01月01日至2016年03月31日,15937,31989,15960,32012,35446,-14209,891507,1082869,191362,191362,155916,58393,,,0.13,72422,15937,21237,,,2586.0,7281,,,,-23,-23
2016-08-04,2,2016,,-57988,45072,6807,-51733,-5779,0.25,-51733.0,20511,429,29162,2016年第2季,31513,-20220,31562,-20171,6526,45498,852844,1025298,172454,172454,165928,59704,,,0.25,77062,31513,52024,,,-12034.0,6810,,,,-49,-49
2016-11-10,3,2016,,22323,-21741,27798,7227,-14347,0.07,7227.0,11712,456,17300,2016年第3季,8612,15839,8656,15883,20784,-460,843731,999024,155293,155293,134509,45135,,,0.07,72074,8612,20324,,,749.0,6973,,,,-44,-44
