date,season,year,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位淨利（淨損）,繼續營業單位稅前淨利（淨損）,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨折讓,銷貨收入合計,銷貨收入淨額,銷貨退回
2013-05-14,1,2013,,3404,5730,2845,3429,0.46,,6756,52980,2013年01月01日至2013年03月31日,20378,23223,20378,23223,19244,7890,217442,352801,135359,135359,116115,22239,,,0.46,40896,20378,0.46,27134,584.0,,1244,1618.0,355931.0,352801.0,1512.0
2013-08-13,2,2013,,-3304,4761,1496,1802,0.73,,9617,73070,2013年04月01日至2013年06月30日,31942,33438,31942,33438,41638,-79,249762,423619,173857,173857,132219,19354,,,0.73,39795,31942,,41559,306.0,,1536,2919.0,430865.0,423619.0,4327.0
2013-11-08,3,2013,,-1170,5966,-1068,-1288,0.71,,8389,52416,2013年07月01日至2013年09月30日,31221,30153,31221,30153,39888,-278,238882,397919,159037,159037,119149,24348,,,0.71,42385,31221,,39610,-220.0,,5074,599.0,402330.0,397919.0,3812.0
2014-03-20,4,2013,,-1083,3079,5656,6848,2.05,,34149,216864,2013年01月01日至2013年12月31日,89929,95585,89929,95585,144875,-20797,933106,1560897,627791,627791,482916,101196,,-28.0,2.04,164856,89929,,124078,1164.0,,22793,5360.0,1576996.0,1560897.0,10739.0
2014-05-12,1,2014,,3180,5185,-453,-546,0.06,,2470,41698,2014年01月01日至2014年03月31日,2671,2218,2671,2218,12360,-7219,203912,328256,124344,124344,111984,23360,,,0.06,46926,2671,,5141,-93.0,,15584,266.0,329528.0,328256.0,1006.0
2014-08-05,2,2014,,-7925,1596,-2644,-3185,0.05,,5141,49126,2014年第2季,2224,-420,2224,-420,30500,-23135,203046,346059,143013,143013,112513,23061,,,0.05,40326,2224,,7365,-541.0,,16806,700.0,346880.0,346059.0,121.0
2014-11-13,3,2014,,-419,5436,2649,3191,0.24,,17022,29679,2014年第3季,10725,13374,10725,13374,39437,-11690,248127,385438,137311,137311,97874,21563,,,0.24,46632,10725,,27747,542.0,,16707,9597.0,396920.0,385438.0,1885.0
2015-03-27,4,2014,,-566,2779,4844,6355,1.22,,31577,168521,2014年度,54309,59153,54309,59153,149306,-63420,930048,1524669,594621,594621,445315,92004,,-431.0,1.22,184790,54309,,85886,1080.0,,65633,10874.0,1539041.0,1524669.0,3498.0
2015-05-12,1,2015,,-2575,1697,-1046,-1260,0.39,-1046.0,5549,42078,2015年01月01日至2015年03月31日,20230,19184,20230,19184,40166,-14387,223779,374129,150350,150350,110184,24180,,,0.39,43926,20230,,25779,,-214.0,13509,1021.0,376024.0,374129.0,874.0
2015-08-06,2,2015,,-1301,1686,-1660,-2000,0.24,-1660.0,656,47315,2015年第2季,12402,10742,12402,10742,24923,-11865,222191,366729,144538,144538,119615,27710,,,0.24,44590,12402,,13058,,-340.0,12250,,,,
2015-11-10,3,2015,,2616,2429,8088,9744,0.59,8088.0,7325,51114,2015年第3季,30136,38224,30136,38224,52596,-15135,234169,428177,194008,194008,141412,32633,,,0.58,57665,30136,,37461,,1656.0,20180,,,,
2016-02-26,4,2015,-163.0,-16882,8068,1986,2589,1.91,2149.0,24436,192817,2015年度,98793,100779,98793,100779,189784,-66555,908426,1609718,701292,701292,511508,117783,-163.0,,1.9,200908,98793,,123229,,440.0,57741,,,1609718.0,
2016-05-06,1,2016,,-1756,1248,-253,-1913,0.2,-253.0,3914,34963,2016年01月01日至2016年03月31日,12592,12339,12592,12339,24959,-8453,198722,335190,136468,136468,111509,30568,,,0.2,45978,12592,,16506,,-1660.0,7945,,,,
2016-08-10,2,2016,,-13079,1924,-2420,-2420,0.63,-2420.0,6596,37207,2016年第2季,40024,37604,40024,37604,62706,-16086,244308,432756,188448,188448,125742,36211,,,0.63,52324,40024,,46620,,0.0,4931,,,,
2016-11-10,3,2016,,1466,2279,-5593,-5593,0.86,-5593.0,10377,36488,2016年第3季,54332,48739,54332,48739,65643,-934,245042,445706,200664,200664,135021,37213,,,0.85,61320,54332,,64709,,0.0,4679,,,,
