date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-06,1,2013,,,12770,3694,18146,21863,0.32,,9159,-1269,51854,2013年01月01日至2013年03月31日,38496,56642,38496,56642,33342,14313,390925,557620,166695,166695,133353,44025,,,0.32,37474,38496,47655,,3717.0,,882,390925.0,557620.0,0.0,0.0
2013-08-06,2,2013,,,6053,1548,187,225,0.54,,22429,-1209,56186,2013年04月01日至2013年06月30日,64634,64821,64634,64821,81376,5687,567389,795146,227757,227757,146381,45919,,,0.54,44276,64634,87063,,38.0,,705,,,0.0,0.0
2013-11-06,3,2013,,,1882,13478,-5605,-6753,1.05,,32284,-1631,37668,2013年07月01日至2013年09月30日,124538,118933,124538,118933,143834,12988,698697,973559,274862,274862,131028,48191,,,1.05,45169,124538,156822,,-1148.0,,741,,973559.0,0.0,0.0
2014-03-19,4,2013,,,27660,30958,9007,19476,3.01,,102003,-4167,196129,2013年01月01日至2013年12月31日,357041,366048,357041,366048,407522,51522,2326547,3286711,960164,960164,552642,187844,,-8624.0,3.01,168669,357041,459044,,1845.0,,2929,,,,
2014-05-06,1,2014,,,5744,8802,455,548,1.19,,44351,-864,42984,2014年01月01日至2014年03月31日,141807,142262,141807,142262,173190,12968,636372,952351,315979,315979,142789,53209,,,1.19,46596,141807,186158,,93.0,,714,,952351.0,,
2014-07-30,2,2014,,,-8639,12579,-10694,-12884,0.84,,32791,-991,46682,2014年第2季,99325,88631,99325,88631,129716,2400,572188,840432,268244,268244,138528,58863,,,0.84,32983,99325,132116,,-2190.0,,549,,,,
2014-10-30,3,2014,,,18399,17623,13567,16345,0.98,,21962,-508,49156,2014年第3季,115948,129515,115948,129515,103102,34808,599020,847289,248269,248269,145167,57063,,,0.98,38948,115948,137910,,2778.0,,706,,,,
2015-03-19,4,2014,,1457.0,52809,50343,19584,23987,4.51,,116892,-2869,178771,2014年度,536311,555895,536311,555895,555155,98048,2457743,3590488,1132745,1132745,577590,232033,,-2147.0,4.51,166786,536311,653203,,3713.0,,2235,,,,
2015-04-28,1,2015,,-1242.0,6436,7855,-5863,-5568,0.8,-5863.0,20020,-1445,63549,2015年01月01日至2015年03月31日,95404,89541,95404,89541,103121,12303,595466,867101,271635,271635,168514,61542,,,0.8,43423,95404,115424,,,-947.0,543,,867101.0,,
2015-07-29,2,2015,,-215.0,1425,4216,-15387,-18279,0.36,-15387.0,25657,-383,50138,2015年第2季,41865,26478,41865,26478,63068,4454,653255,868988,215733,215733,152665,60362,,,0.36,42165,41865,67522,,,-3107.0,804,,,,
2015-10-29,3,2015,,0.0,39691,7865,14871,17917,0.64,14871.0,17870,1281,65504,2015年第3季,76405,91276,76405,91276,46914,47361,697237,918528,221291,221291,174377,64878,,,0.64,43995,76405,94275,,,3046.0,1476,,,,
2016-03-18,4,2015,2996.0,-1457.0,40403,27904,-16013,-21147,1.78,-19009.0,50681,1250,234996,2015年度,210928,194915,210928,194915,196981,64628,2477723,3325876,848153,848153,651172,248430,3610.0,,1.78,167746,210928,261609,614.0,,-3595.0,4929,,,,
2016-04-28,1,2016,,0.0,1125,9953,36,43,0.05,36.0,18758,59,41106,2016年01月01日至2016年03月31日,6402,6438,6402,6438,16341,8819,485747,641487,155740,155740,139399,59695,,,0.05,38598,6402,25160,,,7.0,2318,,,0.0,0.0
2016-08-02,2,2016,,0.0,-6293,14668,-9351,-11266,0.13,-9351.0,18128,118,48802,2016年第2季,15817,6466,15817,6466,28537,5408,600943,780529,179586,179586,151049,62500,,,0.13,39747,15817,33945,,,-1915.0,3085,,,,
2016-10-28,3,2016,,0.0,-18882,7102,-15628,-18829,0.14,-15628.0,-3127,-107,46515,2016年第3季,-16627,-32255,-16627,-32255,-5339,-14415,531061,664854,133793,133793,139132,55643,,,0.14,36974,-16627,-19754,,,-3201.0,2528,,,,
