date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資利益之份額,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位淨利（淨損）,繼續營業單位稅前淨利（淨損）,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨成本合計,銷貨收入合計,銷貨收入淨額,非控制權益（淨利／損）
2013-05-03,1,2013,,,241,1659,1659.0,7135,8596,0.09,,3517,1001.0,1001,7058,2013年01月01日至2013年03月31日,12310,19445,12310,19445,12935,2892,152950,204208,51258,51258,38323,,,0.09,31265,12310,0.09,15827,1461.0,,9.0,152950.0,,204208.0,0.0
2013-08-08,2,2013,,,1179,736,,1606,1935,0.02,,-1536,,1045,8616,2013年04月01日至2013年06月30日,3086,4692,3086,4692,-1398,2948,163450,205930,42480,42480,43878,,,0.02,35262,3086,,1550,329.0,,12.0,,,205930.0,
2013-11-12,3,2013,,,-673,1668,,-3990,-4806,-0.07,,-529,,297,8401,2013年07月01日至2013年09月30日,-10505,-14495,-10505,-14495,-12326,1292,146681,170823,24142,24142,36468,,,-0.07,28067,-10505,,-11034,-816.0,,,146681.0,170823.0,170823.0,
2014-03-17,4,2013,,-5533.0,2651,5905,,1147,8048,-0.08,,4716,,2879,30928,2013年01月01日至2013年12月31日,-11436,-10289,-11436,-10289,-17894,11174,632396,770879,138483,138483,156377,,0.0,-0.08,125449,-11436,,-6720,1368.0,,261.0,,,,
2014-05-08,1,2014,,8451.0,1478,1942,,14297,7043,0.11,,3896,,1507,7683,2014年01月01日至2014年03月31日,15380,29677,15380,29677,14680,4596,152482,206190,53708,53708,39028,,,0.11,31345,15380,,19276,1197.0,,331.0,,,,
2014-08-04,2,2014,,-15385.0,-221,2099,,-20698,-6401,0.03,,1792,,1534,7575,2014年第2季,4361,-16337,4361,-16337,3102,3051,135437,182250,46813,46813,43711,,,0.03,36136,4361,,6153,-1088.0,,361.0,,,182250.0,
2014-11-11,3,2014,,-3721.0,1725,2534,,1129,5844,-0.01,,621,,-841,7840,2014年第3季,-1908,-779,-1908,-779,-4317,3030,177145,216707,39562,39562,43879,,,-0.01,36039,-1908,,-1287,994.0,,388.0,177145.0,216707.0,216707.0,
2015-03-16,4,2014,,-8200.0,10569,6516,,7739,19203,0.1,,8337,,2550,31935,2014年度,13270,21009,13270,21009,3433,18174,675407,840025,164618,164618,161185,,0.0,0.1,129250,13270,,21607,3264.0,,1461.0,,,,
2015-04-23,1,2015,,-10491.0,-905,1879,,-13563,-3701,0.04,-13563.0,1833,,3054,6753,2015年01月01日至2015年03月31日,5107,-8456,5107,-8456,3332,3608,151277,199597,48320,48320,44988,,,0.04,38235,5107,,6940,,-629.0,420.0,,,,
2015-08-11,2,2015,,-2008.0,-1353,2328,,-5853,-4632,-0.03,-5853.0,1244,,2928,7488,2015年第2季,-4212,-10065,-4212,-10065,-6389,3421,185383,218531,33148,33148,39537,,,-0.03,32049,-4212,,-2968,,-787.0,482.0,,,218531.0,
2015-11-10,3,2015,,-7862.0,9132,5040,,9647,21094,-0.01,9647.0,2102,,3998,7081,2015年第3季,-1416,8231,-1416,8231,-16725,17411,209214,240567,31353,31353,48078,,,-0.01,40997,-1416,,686,,3585.0,759.0,209214.0,240567.0,240567.0,
2016-03-15,4,2015,0.0,-19008.0,6703,8788,,-8948,12121,-0.28,-8948.0,36294,,14011,28937,2015年度,-38203,-47151,-38203,-47151,-29039,27130,733470,877438,143968,143968,173007,0.0,,-0.28,144070,-38203,,-1909,,2061.0,2372.0,,,,
2016-05-10,1,2016,,-2931.0,-2370,1622,,-8357,-6537,0.02,-8357.0,2169,,2814,5945,2016年01月01日至2016年03月31日,2742,-5615,2742,-5615,3592,1319,178935,224242,45307,45307,41715,,,,35770,2742,,4911,,-1111.0,747.0,,,,
2016-08-11,2,2016,,-5635.0,1208,1159,,-5007,756,0.1,-5007.0,5878,,2584,7168,2016年第2季,13826,8819,13826,8819,15458,4246,182957,248264,65307,65307,49849,,,0.1,42681,13826,,19704,,128.0,705.0,,,248264.0,
2016-11-10,3,2016,,450.0,-8725,3336,,-7596,-9741,0.25,-7596.0,3430,,2221,29976,2016年第3季,34336,26740,34336,26740,41618,-3852,211874,301373,89499,89499,47881,,,0.25,17905,34336,,37766,,-1695.0,684.0,211874.0,301373.0,301373.0,
