date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,-22364,182182,2056,-52733.0,377737,452834,0.35,,-159385,,6719,,61105,2013年01月01日至2013年03月31日,235888,613625,174913,435445,-88756,165259,2975701,3019455,43754,43754,132510,0.0,,,0.35,71405,235888,76503,,,25698,60975,178180
2013-08-14,2,2013,,-10801,-219482,6915,40305.0,-286219,-315723,-0.28,,-15409,,867,,90584,2013年04月01日至2013年06月30日,-191361,-477580,-143016,-348640,34464,-241234,2308038,2502360,194322,194322,159858,0.0,,,-0.28,69274,-191361,-206770,,,29534,-48345,-128940
2013-08-14,2,2014,,13530,6626,5656,16176.0,-68348,-98054,0.0,,3464,0.0,4389,,55133,2014年第2季,4693,-63655,1667,-37028,17862,-9705,2196784,2346410,149626,149626,131764,,,,0.0,76631,4693,8157,,,26376,3026,-26627
2013-11-13,3,2013,,55056,-4854,2340,14342.0,-65822,-135220,-0.17,,3092,,4636,,63019,2013年07月01日至2013年09月30日,-113010,-178832,-91066,-124435,-83857,-26061,2492070,2549809,57739,57739,141596,0.0,,,,78577,-113010,-109918,,,28183,-21944,-54397
2014-03-18,4,2013,,10892,-242085,14923,,-140768,-184216,-0.65,,-96681,,13182,,264912,2013年01月01日至2013年12月31日,-426873,-567641,-335685,-490585,-202297,-321257,9803077,10144869,341792,341792,544089,0.0,,-660.0,,279177,-426873,-523554,-33216.0,,107277,-91188,-77056
2014-03-30,4,2014,,28161,89424,19668,,315043,342108,0.0,,36090,,12337,,225794,2014年度,15849,330892,2693,285556,43851,8088,8429291,9006824,577533,577533,533682,0.0,,-1053.0,,307888,15849,51939,54173.0,,113341,13156,45336
2014-05-15,1,2014,,25147,66354,2374,,183196,189738,0.07,,3512,90.0,4263,,52156,2014年01月01日至2014年03月31日,54728,237924,39227,231368,11657,46583,2159167,2291638,132471,132471,120814,,,,0.07,68658,54728,58240,31779.0,,26408,15501,6556
2014-11-14,3,2014,,38208,19622,2349,-15415.0,113466,90673,0.0,,1649,0.0,4257,,55500,2014年第3季,443,113909,-1892,82740,1272,820,1823259,1961029,137770,137770,136498,0.0,,,,80998,443,2092,,,25408,2335,31169
2015-05-15,1,2015,,-11842,-18595,1646,,-20796,-10789,-0.15,-20796.0,-8881,,4498,0.0,60157,2015年01月01日至2015年03月31日,-103094,-123890,-83632,-98672,-68190,-43785,1912730,1984919,72189,72189,140379,,,,0.0,80222,-103094,-111975,,-1835.0,31334,-19462,-25218
2015-08-12,2,2015,,-114895,-44480,1540,,-304167,-228038,-0.18,-304167.0,1388,,5394,0.0,55593,2015年第2季,-121430,-425597,-98346,-294531,-54085,-65957,1844368,1920730,76362,76362,130447,,,,0.0,74854,-121430,-120042,,-38766.0,28411,-23084,-131066
2015-11-13,3,2015,,-15209,-71615,4697,,-14037,1413,-0.36,-14037.0,-3619,,7632,0.0,44817,2015年第3季,-222912,-236949,-195076,-215820,-124519,-102012,1921466,1949369,27903,27903,152422,0.0,,,0.0,107605,-222912,-226531,,241.0,42726,-27836,-21129
2016-03-18,4,2015,0.0,-43172,-186335,9740,,-403314,-398858,-1.06,-403314.0,-421,,18212,,207367,2015年度,-690672,-1093986,-581093,-813287,-381405,-309688,7310138,7488160,178022,178022,559427,0.0,0.0,,0.0,352060,-690672,-691093,,-38716.0,151305,-109579,-280699
2016-05-13,1,2016,,-9692,5346,800,,-41377,-28349,-0.04,-41377.0,13171,,10450,0.0,54202,2016年01月01日至2016年03月31日,-10042,-51419,-20923,-14330,29527,-26398,1642097,1807834,165737,165737,136210,,,,0.0,82008,-10042,3129,,3336.0,42994,10881,-37089
2016-08-11,2,2016,,23090,4913,1261,,-5298,-28331,0.06,-5298.0,6106,,7375,,54770,2016年第2季,49986,44688,34067,56764,86209,-30117,1662286,1877974,215688,215688,129479,,,,0.0,74709,49986,56092,,57.0,43666,15919,-12076
2016-11-10,3,2016,,45623,33992,2381,,-27027,-84212,-0.03,-27027.0,26438,,3413,,51824,2016年第3季,4280,-22747,-15185,-25339,37770,-7052,1561657,1733648,171991,171991,134221,,,,0.0,82397,4280,30718,,-11562.0,46838,19465,2592
