date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,財務成本淨額
2013-04-25,1,2013,,,53373,66712,77233,77233,2.02,2.02,,89001,22363,2013年01月01日至2013年03月31日,382505,459738,382505,459738,360732,110774,1760629,2352665,592036,592036,231304,119599,,1.91,1.91,89342,382505,471506,9311
2013-08-09,2,2013,,,46805,51176,37867,37867,1.06,1.06,,127319,24368,2013年04月01日至2013年06月30日,201163,239030,201163,239030,241189,87293,1652556,2189224,536668,536668,295479,187032,,1.04,1.04,84079,201163,328482,10688
2013-10-29,3,2013,,,-54010,84071,-43861,-43861,2.8,2.8,,140568,35230,2013年07月01日至2013年09月30日,562540,518679,562540,518679,697613,5495,2982099,3981884,999785,999785,302172,150534,,2.73,2.73,116408,562540,703108,24566
2014-02-06,4,2013,,,293774,240577,120582,120582,9.64,9.64,,584637,126252,2013年01月01日至2013年12月31日,1927798,2048380,1927798,2048380,2048936,463499,10377682,13605211,3227529,3227529,1178593,606582,,8.22,8.22,445759,1927798,2512435,70852
2014-04-28,1,2014,,,125197,55323,29594,29594,0.92,0.92,,21642,22719,2014年01月01日至2014年03月31日,184725,214319,184725,214319,53555,152812,2198803,2510762,311959,311959,258404,143681,,0.75,0.75,92004,184725,206367,27708
2014-08-13,2,2014,,,-92771,49084,-62797,-62797,0.12,0.12,,95695,16499,2014年第2季,23554,-39243,23554,-39243,190965,-71716,1674854,2096820,421966,421966,231001,143669,,0.06,0.06,70833,23554,119249,28029
2014-10-29,3,2014,,,51520,44132,47074,47074,1.62,1.62,,113385,34298,2014年第3季,359579,406653,359579,406653,405423,67541,2455779,3150487,694708,694708,289285,147705,,1.54,1.54,107282,359579,472964,28111
2015-02-04,4,2014,,,197927,188527,171950,171950,6.71,6.71,,571871,128214,2014年度,1486525,1658475,1486525,1658475,1783605,274791,10178801,13071783,2892982,2892982,1109377,585630,,5.74,5.74,395533,1486525,2058396,111663
2015-04-20,1,2015,,,42167,58364,-51138,-51138,3.28,3.28,-51138.0,160970,33653,2015年第1季,711746,660608,711746,660608,801448,71268,2895515,4030756,1135241,1135241,333793,171260,,2.45,2.45,128880,711746,872716,29263
2015-08-06,2,2015,,,-236280,56316,-24850,-24850,1.5,1.5,-24850.0,297573,31269,2015年第2季,359309,334459,359309,334459,858909,-202027,3005895,4190723,1184828,1184828,325919,185148,,1.38,1.38,109502,359309,656882,22063
2015-10-28,3,2015,,,294291,50648,125625,125625,3.34,3.34,125625.0,247299,33295,2015年第3季,899124,1024749,899124,1024749,812953,333470,3422648,4568498,1145850,1145850,332897,180290,,3.12,3.12,119312,899124,1146423,11469
2016-02-16,4,2015,-2643.0,,109816,218421,-38127,-35484,10.83,10.83,-35484.0,904357,129927,2015年度,2758779,2720652,2758779,2720652,3403641,259495,13294378,18100327,4805949,4805949,1402308,751107,-2643.0,9.77,9.77,521274,2758779,3663136,68742
2016-05-05,1,2016,,,-124271,34541,-79920,-79920,1.63,1.63,-79920.0,86230,27509,2016年01月01日至2016年03月31日,421845,341925,421845,341925,603706,-95631,2826275,3751182,924907,924907,321201,188396,,1.51,1.51,105296,421845,508075,5901
2016-08-10,2,2016,,21551.0,-37567,34150,-62389,-83940,0.41,0.41,-62389.0,216476,25503,2016年第2季,103306,40917,103306,40917,334095,-14313,2737468,3456426,718958,718958,384863,256400,,0.39,0.39,102960,103306,319782,10896
2016-11-09,3,2016,,52050.0,-214787,30225,-79938,-131988,2.71,2.71,-79938.0,148605,37295,2016年第3季,724388,644450,724388,644450,1066803,-193810,4285136,5723694,1438558,1438558,371755,216005,,2.44,2.44,118455,724388,872993,9248
