date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,停業單位損益合計,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,財務成本淨額,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-02,1,2013,,,,48.0,9400,6103,20773,20725,1.33,,,10643,,181581,2013年01月01日至2013年03月31日,,102026,122799,105479,126297,97166,15503,634441,1081222,446781,446781,349615,54820,,,1.32,113214,102026,112669,,,,,,-3453,-3498
2013-08-13,2,2013,,,,45.0,-878,2808,6527,6482,0.84,,,20444,,217427,2013年04月01日至2013年06月30日,,64495,71022,66491,73057,83009,1930,674967,1172031,497064,497064,414055,70026,,,0.83,126602,64495,84939,,,,,,-1996,-2035
2013-11-13,3,2013,,,,-345.0,-1452,5146,-10086,-9741,1.59,,,7831,,213743,2013年07月01日至2013年09月30日,,124844,114758,125818,114733,128981,3694,740402,1280610,540208,540208,411227,54790,,,1.57,142694,124844,132675,,,,,,-974,25
2014-03-13,4,2013,,,,-252.0,23436,22407,29505,30290,5.36,,,69643,,813567,2013年01月01日至2013年12月31日,,412047,441552,424635,453469,436591,45099,2879580,4911627,2032047,2032047,1595456,248770,,-642.0,5.25,533119,412047,481690,,-109.0,744.0,,,-12588,-11917
2014-05-13,1,2014,,,,0.0,25701,13749,17568,17568,0.94,,,11031,,221076,2014年01月01日至2014年03月31日,,68725,86293,74365,91813,42225,37531,673136,1112839,439703,439703,397478,51476,,,0.93,124926,68725,79756,,,1919.0,,,-5640,-5520
2014-08-13,2,2014,,,,0.0,-33895,9938,-18454,-18454,0.7,,,29422,,228401,2014年第2季,,54677,36223,55602,35541,110373,-26274,784606,1323862,539256,539256,428883,53282,,,0.69,147200,54677,84099,,,2317.0,,,-925,682
2014-11-13,3,2014,,,,0.0,24800,11524,6476,6476,2.01,0.0,,22772,,252475,2014年第3季,0.0,165011,171487,161168,168086,153179,34604,783155,1386940,603785,603785,450606,53244,,,1.99,144887,165011,187783,,,1720.0,,,3843,3401
2015-03-18,4,2014,,,,0.0,81650,46153,30082,29907,5.64,,,119026,,969977,2014年度,,444378,474460,450236,479546,443049,120355,3038906,5214704,2175798,2175798,1732749,217944,,406.0,5.57,544828,444378,563404,,231.0,7448.0,,,-5858,-5086
2015-05-13,1,2015,0.0,0.0,,,-42475,10800,-23705,-23705,0.4,0.0,-23705.0,20344,0.0,239345,2015年01月01日至2015年03月31日,0.0,29871,6166,31747,7824,83769,-33554,686925,1210407,523482,523482,439713,56445,,,0.39,143923,29871,50215,0.0,,1879.0,,,-1876,-1658
2015-08-12,2,2015,0.0,0.0,,,-28623,9615,-15049,-15049,1.55,0.0,-15049.0,36344,0.0,313353,2015年第2季,0.0,125891,110842,124677,108904,183371,-21136,948201,1662336,714135,714135,530764,52811,,,1.53,164600,125891,162235,0.0,,2128.0,,,1214,1938
2015-11-12,3,2015,,,,,134790,5534,56481,56481,3.66,0.0,56481.0,68403,,314189,2015年第3季,0.0,297780,354261,295591,350148,227799,138384,978129,1731214,753085,753085,525286,54791,,,3.64,156306,297780,366183,,,1940.0,978129.0,,2189,4113
2016-03-15,4,2015,,-1827.0,,,65287,25468,75,1902,7.45,0.0,1902.0,175353,,1248947,2015年度,0.0,601410,601485,599860,596618,692363,84400,3576351,6393041,2816690,2816690,2124327,216957,-2199.0,,7.39,658423,601410,776763,-372.0,,6355.0,,,1550,4867
2016-05-12,1,2016,,,,,-38265,8360,-12827,-12827,1.36,,-12827.0,-1648,,286218,2016年01月01日至2016年03月31日,,111592,98765,109840,96988,139904,-29960,793495,1440311,646816,646816,506912,61576,,,1.35,159118,111592,109944,,,55.0,793495.0,1440311.0,1752,1777
2016-08-11,2,2016,,,,,7059,2330,-10495,-10495,2.78,,-10495.0,91239,,327457,2016年第2季,,228084,217589,225105,214431,310244,9079,1049314,1945232,895918,895918,585674,66167,,,2.77,192050,228084,319323,,,310.0,,,2979,3158
2016-11-10,3,2016,,,0.0,,-63833,8564,-31478,-31478,2.08,0.0,-31478.0,17250,,333673,2016年第3季,0.0,171076,139598,168512,136870,243651,-55325,929332,1744014,814682,814682,571031,63232,,,2.08,174126,171076,188326,,,56.0,,,2564,2728
