date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,共同控制下前手權益（淨利／損）,共同控制下前手權益（綜合損益）,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,勞務收入合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,維修收入,維修收入淨額,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,財務成本淨額,銷貨成本,銷貨成本合計,銷貨折讓,銷貨收入,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-08-13,2,2013,,,,,11564,2332,,498,6993,498,1.78,,,22065,,17420,2013年04月01日至2013年06月30日,106705,107203,106705,107203,114897,13873,593565,772413,178848,178848,63951,29380,,,1.73,,17151,6993,6993,106705,128770,,,23,593565,593565,4115,770857,770857,765420,1322,,
2013-11-12,3,2013,,,,,-36,2302,,-303,7334,-303,1.53,,,20540,,23053,2013年07月01日至2013年09月30日,92487,92184,92487,92184,111030,1997,679393,861574,182181,182181,71151,26546,,,1.49,,21552,7334,7334,92487,113027,,,269,679393,679393,21040,880678,880678,854240,5398,,
2014-02-10,4,2013,,,,,30914,9174,,4576,21360,1508,6.17,,,78207,,79907,2013年01月01日至2013年12月31日,371827,376403,371827,376403,410603,39431,2432815,3095969,663154,663154,252551,102437,,3696,6.03,,70207,21360,21360,371827,450034,,628,657,2432815,2432815,47755,3148186,3148186,3074609,25822,,
2014-05-07,1,2014,,,,,11724,2184,,143,,143,1.34,1.34,,16783,,22565,2014年01月01日至2014年03月31日,81215,81358,81215,81358,84121,13877,543779,692375,148596,148596,64475,25892,,,1.33,1.33,16018,,,81215,97998,,,31,,,,,,,,,
2014-08-11,2,2014,,,0,0,-4964,2688,,-810,,-810,1.83,1.83,,24260,,22604,2014年第2季,121638,120828,121638,120828,148174,-2276,753194,955745,202551,202551,54377,26154,,,1.82,1.82,5619,,,121638,145898,,,0,,,,,,,,0,0
2014-11-07,3,2014,,2080,,,16442,1926,1926,2946,,866,2.18,2.18,,29977,,30990,2014年第3季,144548,147494,145029,147975,156157,18368,1069377,1300908,231531,231531,75374,31210,,,2.17,2.17,13174,,,144548,174525,,,0,,1069377,,,,1300908,,-481,-481
2015-02-09,4,2014,,68771,,,74598,7144,7144,68689,,-141,8.63,8.63,,121509,,115221,2014年度,582345,651034,562161,574877,622143,81711,4110358,5052080,941722,941722,319579,136889,,71,8.60,8.60,67469,,,582345,703854,,12,31,,4110358,,,,5052080,,20184,76157
2015-05-12,1,2015,,-1290,,,-8438,1187,,-1815,,-525,2.53,2.53,-1815,46808,,43381,2015年01月01日至2015年03月31日,208031,206216,173726,173477,263528,-8689,1954197,2386265,432068,432068,168540,70196,,,2.52,2.52,54963,,,208031,254839,,,1438,,,,,,,,34305,32739
2015-08-11,2,2015,,-34753,,,10983,2317,,-35625,,-872,2.95,2.95,-35625,55010,,51660,2015年第2季,244159,208534,202899,184885,288630,10539,2152340,2613356,461016,461016,172386,71802,,,2.81,2.81,48924,,,244159,299169,,,2761,,,,,,,,41260,23649
2015-11-06,3,2015,,-14522,,,88924,10243,,-8346,,6176,3.59,3.59,-8346,69884,,61650,2015年第3季,320753,312407,246884,242953,294573,96064,2293769,2797917,504148,504148,209575,80056,,,3.42,3.42,67869,,,320753,390637,,,3103,,2293769,,,,2797917,,73869,69454
2016-02-18,4,2015,-171,-44913,,,110997,16823,16823,-46082,,-998,12.57,12.57,-45911,234274,5385,247498,2015年度,1075660,1029578,865701,845076,1187064,122870,9040108,11056658,2016550,2016550,829486,328580,-206,,12.34,12.34,253408,,,1075660,1309934,-35,,10335,,9040108,,,,11056658,,209959,184502
2016-04-29,1,2016,,-6103,,,-4316,1701,,-42460,,-36357,3.28,3.28,-42460,75095,7832,79794,2016年01月01日至2016年03月31日,336540,294080,229930,190480,409232,2403,2467080,3118041,650961,650961,241729,87721,,,3.23,3.23,74214,,,336540,411635,,,2814,,2467080,,,,3118041,,106610,103600
2016-08-05,2,2016,,-16715,,,32884,2201,,-25764,,-9049,3.78,3.78,-25764,97272,18694,126021,2016年第2季,380252,354488,267212,250303,433248,44276,2790256,3574545,784289,784289,351041,117111,,,3.67,3.67,107909,,,380252,477524,,,9503,,2790256,,,,3574545,,113040,104185
2016-11-09,3,2016,,-4811,,,-9997,2395,,-85810,,-80999,3.50,3.50,-85810,68746,34541,115369,2016年第3季,346551,260741,262387,180672,397612,17685,3073672,3821356,747684,747684,350072,121366,,,3.37,3.37,113337,,,346551,415297,,,9254,,3073672,,,,3821356,,84164,80069
