date,season,year,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨成本合計,銷貨折讓,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,17123,12997,2394,,2394,0.84,,24466,53995,2013年01月01日至2013年03月31日,129095,131489,128090,130484,125944,27617,582348,858870,276522,276522,150578,28513,,,0.84,68070,129095,153561,,0.0,,2503,582348.0,143.0,868121.0,858870.0,9108.0,1005,1005
2013-08-13,2,2013,,11719,30856,1075,,1075,0.67,,28701,58111,2013年04月01日至2013年06月30日,102754,103829,102077,103152,99372,32083,584137,863924,279787,279787,180415,23792,,,0.67,98512,102754,131455,,0.0,,10492,584137.0,142.0,870818.0,863924.0,6752.0,677,677
2013-11-13,3,2013,,-13352,35700,-992,10741.0,-992,0.73,,27134,47297,2013年07月01日至2013年09月30日,113417,112425,111641,110649,128944,11607,624890,908117,283227,283227,154283,23279,,,0.73,83707,113417,140551,,0.0,,10741,,,,,,1776,1776
2014-03-24,4,2013,,39463,117460,5247,,4506,3.27,,106558,230595,2013年01月01日至2013年12月31日,503179,508426,498562,503762,489221,120516,2320911,3487133,1166222,1166222,677001,101144,,893.0,3.26,345262,503179,609737,,152.0,,36407,2320911.0,1061.0,3508491.0,3487133.0,20297.0,4617,4664
2014-05-12,1,2014,,12697,30763,4031,,4031,0.86,,29453,49240,2014年01月01日至2014年03月31日,133082,137113,131498,135529,128708,33827,575181,864386,289205,289205,160497,24838,,,0.86,86419,133082,162535,,0.0,,9633,575181.0,80.0,867494.0,864386.0,3028.0,1584,1584
2014-08-12,2,2014,,-18137,32107,-3606,,-3606,0.66,,27373,50990,2014年第2季,101184,97578,100053,96447,124256,4301,543743,834931,291188,291188,166932,24076,,,0.65,91866,101184,128557,,0.0,,9669,543743.0,,,834931.0,,1131,1131
2014-11-12,3,2014,,14107,37669,-91,,-91,1.07,,36240,56834,2014年第3季,164902,164811,163515,163424,159449,41693,567254,888490,321236,321236,161787,22815,,,1.07,82138,164902,201142,,0.0,,10083,567254.0,,,888490.0,,1387,1387
2015-03-24,4,2014,,31759,142907,2769,,8439,3.84,,111752,222513,2014年度,591191,593960,585780,588568,566068,136875,2169238,3406468,1237230,1237230,671162,93973,,-6831.0,3.82,354676,591191,702943,,-1161.0,,37791,2169238.0,,,3406468.0,,5411,5392
2015-05-04,1,2015,,38894,27307,-7464,,-7464,0.97,-7464.0,26442,58525,2015年01月01日至2015年03月31日,150160,142696,148540,141076,119985,56617,502284,802991,300707,300707,180722,23940,,,0.97,98257,150160,176602,,,0.0,9584,502284.0,,,802991.0,,1620,1620
2015-08-07,2,2015,,-13564,28853,-2011,,-2011,0.77,-2011.0,29929,53667,2015年第2季,117858,115847,117616,115605,141946,5841,520697,834459,313762,313762,171816,28824,,,0.77,89325,117858,147787,,,0.0,9448,520697.0,,,834459.0,,242,242
2015-11-12,3,2015,,58763,29446,20721,,20721,1.36,20721.0,38740,47697,2015年第3季,209255,229976,207967,228688,169214,78781,502763,832668,329905,329905,160691,23421,,,1.36,89573,209255,247995,,,0.0,9428,502763.0,,,832668.0,,1288,1288
2016-03-21,4,2015,616.0,109623,117260,7588,,6972,4.26,6972.0,124469,221087,2015年度,653461,661049,649576,657148,588589,189341,2018074,3314487,1296413,1296413,707824,101178,742.0,,4.23,385559,653461,777930,126.0,,,37542,2018074.0,,,3314487.0,,3885,3901
2016-05-11,1,2016,,-37454,29626,-7830,,-7830,0.87,-7830.0,26071,50740,2016年01月01日至2016年03月31日,133137,125307,132109,124279,176612,-17404,492780,817731,324951,324951,148339,25058,,,0.86,72541,133137,159208,,,0.0,9576,492780.0,,,817731.0,,1028,1028
2016-08-12,2,2016,,-5622,30031,-4147,,-4147,0.84,-4147.0,31985,42493,2016年第2季,128274,124127,128570,124423,145569,14690,455335,758140,302805,302805,157236,25436,,,0.84,89307,128274,160259,,,0.0,9719,455335.0,,,758140.0,,-296,-296
2016-11-11,3,2016,,-57525,31215,-12765,,-12765,0.68,-12765.0,18283,42924,2016年第3季,103776,91011,103461,90696,158103,-36044,466050,754702,288652,288652,130549,22847,,,0.67,64778,103776,122059,,,0.0,9734,466050.0,,,754702.0,,315,315
