date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收益及費損淨額,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-04-30,1,2013,,,298776,3138,,0.0,0.0,0.45,,,3745,,,42012,2013年01月01日至2013年03月31日,305342,305342,302000,302000,28196,280891,235102,349548,114446,114446,86250,2843,,,,,41395,305342,309087,21023,3342,3342
2013-08-13,2,2013,,,132756,1565,,0.0,0.0,0.25,,,-8,,,44978,2013年04月01日至2013年06月30日,171697,171697,165033,165033,56806,114883,256854,400680,143826,143826,87020,3013,,,0.25,,39029,171697,171689,19438,6664,6664
2013-11-07,3,2013,,,119828,4638,2644.0,0.0,0.0,0.29,,,-27453,,,41932,2013年07月01日至2013年09月30日,202517,202517,190774,190774,69844,105220,301081,451390,150309,150309,83109,2587,,,0.29,,38590,202517,175064,19246,11743,11743
2014-03-21,4,2013,,,822196,31096,-9081.0,4057.0,,1.52,1.52,,-64354,,,179408,2013年01月01日至2013年12月31日,1032995,1037052,1022509,1025731,190029,778612,1180568,1774665,594097,594097,394987,11824,,4057.0,1.44,1.44,203755,1032995,968641,74680,10486,11321
2014-05-02,1,2014,,,88641,4423,1717.0,,,0.23,0.23,,-12085,,,31136,2014年01月01日至2014年03月31日,170687,170687,162165,162165,75336,83266,280973,423986,143013,143013,69394,3173,,,0.23,0.23,35085,170687,158602,9798,8522,8522
2014-08-12,2,2014,,,94381,26406,2658.0,,,0.15,,,52834,,,32453,2014年第2季,122671,122671,111124,111124,64367,111138,374735,530713,155978,155978,94269,3307,,,0.15,,58509,122671,175505,9649,11547,11547
2014-11-11,3,2014,,,155933,1634,-2299.0,,,0.34,,,-17061,,,34412,2014年第3季,258064,258064,241756,241756,93571,147432,310539,482843,172304,172304,76434,3351,,,0.34,,38671,258064,241003,10135,16308,16308
2015-03-17,4,2014,,,625564,34914,-3658.0,-139.0,,1.16,,,1101,,,131374,2014年度,875496,875357,833105,833512,255527,621070,1257999,1882000,624001,624001,364816,12869,,-139.0,1.15,,220573,875496,876597,39408,42391,41845
2015-05-13,1,2015,,,159615,608,0.0,,,0.3,0.3,,-18564,,,24294,2015年01月01日至2015年03月31日,219782,219782,218586,218586,48256,152962,193153,295076,101923,101923,53667,1183,,,0.3,0.3,28190,219782,201218,7261,1196,1196
2015-08-12,2,2015,,,210226,6842,0.0,,,0.27,,,6284,,,67760,2015年第2季,198551,198551,199211,199211,-2812,207647,162768,259378,96610,96610,99422,1305,,,0.27,,30357,198551,204835,9421,-660,-660
2015-11-11,3,2015,,,141991,493,0.0,,,0.24,,,-15417,,,23753,2015年第3季,190742,190742,190742,190742,45184,130141,93502,192010,98508,98508,53324,1280,,,0.24,,28291,190742,175325,12343,0,0
2016-03-21,4,2015,-2233.0,,679863,9328,0.0,-2233.0,,1.01,,,-35581,41.0,3865.0,152549,2015年度,760152,757919,759616,757383,73552,651019,537044,936567,399523,399523,325971,6207,-2274.0,,1.01,,167215,760152,724571,42037,536,536
2016-05-11,1,2016,,,81617,2180,,,,0.17,0.17,,-9260,,1634.0,24749,2016年01月01日至2016年03月31日,127883,127883,127883,127883,49249,69374,72494,175079,102585,102585,53336,2976,,,0.17,0.17,25611,127883,118623,16057,0,0
2016-08-11,2,2016,,,56974,12523,,,,0.1,,,27092,,2149.0,24466,2016年第2季,76170,76170,76170,76170,48543,54719,116535,222378,105843,105843,57300,2991,,,0.1,,29843,76170,103262,16927,0,0
2016-11-14,3,2016,,38.0,151285,51420,,38.0,,0.19,,38.0,-18763,,5310.0,25697,2016年第3季,143525,143563,143525,143563,-68243,193005,77649,116189,38540,38540,106783,5239,,,0.19,,75847,143525,124762,15010,0,0
