date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收益及費損淨額,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-09,1,2013,,,23869,6419,,27192,27192,0.13,,15953,148734,2013年01月01日至2013年03月31日,28833,56025,27413,54402,18990,25796,1044388,1348460,304072,304072,285082,46549,,,0.11,89799,28833,44786,,,4492,1420,1623
2013-08-07,2,2013,,,19496,315,,-16889,-16889,0.52,,38803,161222,2013年04月01日至2013年06月30日,124681,107792,110662,93976,150342,13142,1640177,2158119,517942,517942,367600,48152,,,0.45,158226,124681,163484,,,6669,14019,13816
2013-11-13,3,2013,,,-4134,8389,3722.0,15744,15744,0.01,,8530,138603,2013年07月01日至2013年09月30日,14524,30268,1483,16997,26436,-3382,1027019,1369280,342261,342261,319547,49689,,,0.01,131255,14524,23054,,,7637,13041,13271
2013-11-14,3,2014,,,16523,-74446,2307.0,17375,17375,0.23,,5829,91901,2014年第3季,53520,70895,54221,71471,125611,-66262,1158036,1521532,363496,363496,240192,74684,,,0.22,73607,53520,59349,,,8339,-701,-576
2014-03-20,4,2013,,,29443,30403,8000.0,44221,34157,0.35,,102167,867593,2013年01月01日至2013年12月31日,146268,190489,74612,116715,215228,33207,5130958,6842343,1711385,1711385,1504157,202353,,11250.0,0.33,434211,146268,248435,,1186.0,26639,71656,73774
2014-05-07,1,2014,,,15213,2807,22.0,-5665,-5665,0.21,,6090,173259,2014年01月01日至2014年03月31日,63021,57356,48470,42805,60111,9000,1121471,1496866,375395,375395,315306,62675,,,0.2,79372,63021,69111,,,9020,14551,14551
2014-08-12,2,2014,,,-20947,102271,298.0,-4959,-4959,0.1,,3190,258859,2014年第2季,38980,34021,25032,20197,-31665,73835,879604,1240534,360930,360930,392893,56213,,,0.1,77821,38980,42170,,,7489,13948,13824
2015-03-20,4,2014,,,40069,44839,6038.0,22941,21489,0.64,,75997,588844,2014年度,234105,257046,148621,172942,259446,50656,4578337,6122613,1544276,1544276,1290868,264902,,1750.0,0.62,437122,234105,310102,,298.0,34252,85484,84104
2015-05-13,1,2015,,,-31818,7205,,2242,2242,-0.06,2242.0,21007,176099,2015年01月01日至2015年03月31日,4666,6908,-13332,-11090,61617,-35944,1426752,1830582,403830,403830,342213,63805,,,-0.06,102309,4666,25673,,,11331,17998,17998
2015-08-13,2,2015,,,-8992,5028,0.0,-10674,-10674,0.22,-10674.0,20259,159411,2015年第2季,54305,43631,50239,39707,86880,-12316,1625623,2036261,410638,410638,323758,65324,,,0.21,99023,54305,74564,,,8352,4066,3924
2015-11-12,3,2015,,,21834,7311,0.0,16980,16980,0.32,16980.0,23412,157395,2015年第3季,78925,95905,74758,91465,79966,22371,1490482,1899646,409164,409164,329198,70057,,,0.32,101746,78925,102337,,,6774,4167,4440
2016-03-18,4,2015,-1166.0,3379.0,-46605,43011,0.0,-12556,-14769,1.01,-11390.0,90446,655610,2015年度,289254,276698,223181,212406,416361,-36661,6306144,8062949,1756805,1756805,1340444,274802,-1405.0,,1.0,410032,289254,379700,-239.0,,33067,66073,64292
2016-05-12,1,2016,,,-6407,3809,,-3694,-3694,0.4,-3694.0,32495,151709,2016年01月01日至2016年03月31日,101510,97816,90517,86859,144002,-9997,1552241,2043638,491397,491397,347395,73336,,,0.4,122350,101510,134005,,,7399,10993,10957
2016-08-11,2,2016,,,-41677,1613,0.0,-17150,-17150,0.34,-17150.0,26620,151691,2016年第2季,92125,74975,77646,60656,165471,-46726,1514305,2024319,510014,510014,344543,75274,,,0.31,117578,92125,118745,,,6662,14479,14319
2016-11-10,3,2016,,,-35675,7430,0.0,-20557,-20557,0.39,-20557.0,26204,154514,2016年第3季,101857,81300,88278,67968,164553,-36492,1442807,1983370,540563,540563,376010,87298,,,0.35,134198,101857,128061,,,8247,13579,13332
