date,season,year,不重分類至損益之項目總額,停業單位損益合計,共同控制下前手權益（淨利／損）,共同控制下前手權益（綜合損益）,其他利益及損失淨額,其他收入合計,其他收益及費損淨額,其他綜合損益,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,當期所得稅費用（利益）,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,薪資支出,財務成本淨額,金融資產重分類淨損益,銷貨成本合計,銷貨收入淨額,除列按攤銷後成本衡量金融資產淨損益,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-06-20,1,2013,,,,,9615,720,0.0,,6560,6560,0.89,0.0,,5946,,,,5829,2013年01月01日至2013年03月31日,0.0,53441,60001,53441,60001,50330,9057,302746,379815,77069,77069,26739,,1631,,,0.88,19279,53441,59387,,,,1278,,302746,379815,,,
2013-07-30,2,2013,,,0.0,0.0,10673,2546,,,8057,8057,1.47,,,11301,,,,19378,2013年01月01日至2013年06月30日,,88718,96775,88718,96775,89868,10151,645955,799062,153107,153107,63239,11301.0,3239,,,1.47,40622,88718,100019,,,,3068,,645955,799062,,0.0,0.0
2013-10-24,3,2013,,,,,-4291,495,0.0,,-3814,-3814,0.72,0.0,,9718,,,,6878,2013年07月01日至2013年09月30日,0.0,43648,39834,43648,39834,59011,-5645,397884,487651,89767,89767,30756,,1527,,,0.72,22351,43648,53366,,,,1849,,397884,487651,,,
2014-03-11,4,2013,,,,,8953,4708,,,5146,6599,2.51,,,25072,,,,34959,2013年01月01日至2013年12月31日,,153446,158592,153446,158592,171578,6940,1415097,1727621,312524,312524,140946,,6628,,-1750.0,2.5,99359,153446,178518,,-297.0,,6721,,1415097,1727621,,,
2014-05-13,1,2014,,,,,9083,969,,0.0,6491,6491,0.33,,,7491,,,,6471,2014年01月01日至2014年03月31日,,22392,28883,22392,28883,21589,8294,340205,398234,58029,58029,36440,,2210,,0.0,0.33,27759,22392,29883,,0.0,,1758,,340205,398234,,,
2014-08-13,2,2014,,,,,-8701,1610,,,-5909,-5909,0.13,,,6865,,,,6701,2014年第2季,,8542,2633,8542,2633,23877,-8470,338319,396856,58537,58537,34660,,1192,,,0.13,26767,8542,15407,,,,1379,,338319,396856,,,
2014-11-11,3,2014,,,,,5128,1362,,,5374,5374,-0.26,,,-605,,0.0,,4030,2014年第3季,,-17955,-12581,-17955,-12581,-23907,5347,268162,273734,5572,5572,29479,,1690,,,-0.26,23759,-17955,-18560,,,4030.0,1143,0.0,268162,273734,0.0,,
2015-03-17,4,2014,,,,,12619,9117,,,24162,24332,0.16,,,7152,,,,20308,2014年度,,11032,35194,11032,35194,2205,15979,1261831,1415828,153997,153997,151792,,6494,,-205.0,0.16,124990,11032,18184,,-35.0,,5757,,1261831,1415828,,,
2015-05-12,1,2015,,,,,39,1778,,,-4913,-4913,-0.13,,-4913.0,306,,,,4173,2015年01月01日至2015年03月31日,,-8551,-13464,-8551,-13464,-8025,-220,345682,377455,31773,31773,39798,,694,,,0.0,34931,-8551,-8245,,,,2037,,345682,377455,,,
2015-08-13,2,2015,,,,,-8332,2978,,,-7349,-7191,-0.28,,-7349.0,-4272,,1096.0,-158.0,5970,2015年第2季,,-19006,-26355,-19006,-26355,-16533,-6745,269417,323131,53714,53714,70247,,20148,,,0.0,44129,-19006,-23278,,,,2487,,269417,323131,,,
2015-11-11,3,2015,,,,,15074,1947,,,33878,34061,0.28,,33878.0,8534,,110.0,-183.0,13925,2015年第3季,,19298,53176,19298,53176,13208,14624,305356,363302,57946,57946,44738,,9255,,,0.28,21558,19298,27832,,,,2507,,305356,363302,,,
2016-03-28,4,2015,-114.0,,,,2758,9082,,,15209,16862,-0.39,,15323.0,11377,-1383.0,-5556.0,-1539.0,32350,2015年度,,-26605,-11396,-26605,-11396,-11901,-3327,1262606,1457914,195308,195308,207209,,39007,1529.0,,-0.39,135852,-26605,-15228,260.0,,,9611,,1262606,1457914,,,
2016-05-10,1,2016,0.0,0.0,,,700,2952,,,-16059,-16354,0.33,,-16059.0,2358,0.0,3440.0,295.0,7459,2016年01月01日至2016年03月31日,,22636,6577,22636,6577,20146,4848,306099,375847,69748,69748,49602,,9683,0.0,,0.24,32460,22636,24994,0.0,,,2244,,306099,375847,,,
2016-08-15,2,2016,,0.0,,,1187,975,,,-316,183,0.55,,-316.0,2946,,3532.0,-499.0,13488,2016年第2季,,42174,41858,37305,36989,43273,1847,568994,705489,136495,136495,93222,,10846,,,0.49,68888,42174,45120,,,,3847,,568994,705489,,4869.0,4869.0
2016-11-11,3,2016,,,,,-11842,1193,,,-40350,-36139,0.81,,-40350.0,7909,,1315.0,-4211.0,9993,2016年第3季,,54295,13945,54295,13945,77204,-15000,521774,682396,160622,160622,83418,,12490,,,0.77,60935,54295,62204,,,,5666,,521774,682396,,0.0,0.0
