date,season,year,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期所得稅費用（利益）,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,7530,254,3300,3300,0.08,,1457,25630,2013年01月01日至2013年03月31日,,4973,8273,4983,8283,-1141,7571,86728,142921,56193,56193,57334,21862,,,,9842,4973,6430,,0.0,,213,-10,-10
2013-08-08,2,2013,,226,3093,679,679,-0.02,,1949,31930,2013年04月01日至2013年06月30日,,-1313,-634,-1038,-359,-2471,3107,144172,214291,70119,70119,72590,26050,,,,14610,-1313,636,,0.0,,212,-275,-275
2013-11-06,3,2013,,-3508,571,-1799,-1799,-0.04,,-2721,31040,2013年07月01日至2013年09月30日,,-2234,-4033,-2221,-4020,-1802,-3153,89545,158478,68933,68933,70735,25951,,,,13744,-2234,-4955,,0.0,,216,-13,-13
2014-03-24,4,2013,,7861,4624,4290,3193,-0.18,,3403,123376,2013年01月01日至2013年12月31日,,-11339,-7049,-11033,-6743,-19694,11758,442383,710327,267944,267944,287638,114725,,1322.0,,49537,-11339,-7936,,225.0,,727,-306,-306
2014-05-13,1,2014,,6819,519,2756,2756,-0.05,,-598,33437,2014年01月01日至2014年03月31日,,-3144,-388,-3119,-363,-10864,7122,78211,138661,60450,60450,71314,28057,,,,9820,-3144,-3742,,0.0,,216,-25,-25
2014-08-13,2,2014,,-3567,735,-2575,-2575,-0.33,,-4913,32586,2014年第2季,,-20763,-23338,-20653,-23228,-22639,-3037,135106,185450,50344,50344,72983,32706,,,,7691,-20763,-25676,,0.0,,205,-110,-110
2014-11-06,3,2014,,4862,1264,1642,1642,0.06,,1672,32648,2014年第3季,,3860,5502,3963,5605,-362,5894,129816,200321,70505,70505,70867,29167,,,,9052,3860,5532,,0.0,,232,-103,-103
2015-03-19,4,2014,,19449,5048,4009,6516,-0.17,,-2878,132340,2014年度,,-11127,-7118,-10775,-6766,-37772,23767,472818,733106,260288,260288,298060,127267,,-3020.0,,38453,-11127,-14005,,-513.0,,730,-352,-352
2015-05-13,1,2015,,-2163,899,-1910,-1910,0.09,-1910.0,1086,39025,2015年01月01日至2015年03月31日,1086.0,5291,3381,5381,3471,7854,-1477,120668,207563,86895,86895,79041,30616,,,,9400,5291,6377,,,0.0,213,-90,-90
2015-08-12,2,2015,,-4583,871,-1657,-1657,0.16,-1657.0,1097,34098,2015年第2季,1097.0,10094,8437,10195,8538,15118,-3927,128004,222622,94618,94618,79500,35980,,,0.16,9422,10094,11191,,,0.0,215,-101,-101
2015-11-11,3,2015,,16154,602,8796,8796,0.39,8796.0,4396,35562,2015年第3季,4396.0,24014,32810,24116,32912,11942,16468,137607,233351,95744,95744,83802,37644,,,0.39,10596,24014,28410,,,0.0,288,-102,-102
2016-03-17,4,2015,-407.0,8837,3869,4006,4413,0.25,4413.0,3782,169641,2015年度,,14127,18133,15612,19618,6409,11500,484430,844640,360210,360210,353801,143386,-491.0,,0.25,40774,14127,17909,-84.0,,0.0,1206,-1485,-1485
2016-05-11,1,2016,,-2364,607,-2387,-2387,0.15,-2387.0,1940,49792,2016年01月01日至2016年03月31日,1940.0,9049,6662,9168,6781,13188,-2199,103237,207972,104735,104735,91547,30736,,,0.15,11019,9049,10989,,,0.0,442,-119,-119
2016-08-10,2,2016,,2137,4631,287,287,0.06,287.0,820,39748,2016年第2季,,3754,4041,3863,4150,-1774,6348,123276,217979,94703,94703,96477,45202,,,0.06,11527,3754,4574,,,0.0,420,-109,-109
2016-11-10,3,2016,,-6463,1133,-3877,-3877,-0.01,-3877.0,427,43997,2016年第3季,,-743,-4620,-546,-4423,5422,-5738,142420,247768,105348,105348,99926,45414,,,-0.01,10515,-743,-316,,,0.0,408,-197,-197
