date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-10,1,2013,,-114532,-7262,14774,4407,118939,0.23,0.23,,30052,-5080,33914,2013年01月01日至2013年03月31日,75307,79714,101297,103324,108078,-2719,6500216,7072509,572293,572293,464215,226133,,,0.22,0.22,204168,75307,105359,,,5151,-25990,-23610
2013-08-08,2,2013,,77644,16617,32222,135826,58182,0.23,0.23,,35910,-2630,37593,2013年04月01日至2013年06月30日,88378,224204,105189,242843,82572,41716,6037008,6607360,570352,570352,487780,250524,,,0.23,0.23,199663,88378,124288,,,4493,-16811,-18639
2013-11-08,3,2013,,-34283,21278,42635,-93153,-58870,0.36,0.36,,17794,-5073,27725,2013年07月01日至2013年09月30日,155441,62288,163029,70765,118709,54526,5783140,6449145,666005,666005,547296,324729,,,0.36,0.36,194842,155441,173235,,,4314,-7588,-8477
2014-03-17,4,2013,,-49070,53743,121350,138050,175198,1.08,1.08,,99214,-18399,133709,2013年01月01日至2013年12月31日,413908,551958,484477,620777,374949,138173,24342252,26711038,2368786,2368786,1993837,1039853,,14364.0,1.07,1.07,820275,413908,513122,,2442.0,18521,-70569,-68819
2014-05-05,1,2014,,72308,-200407,17012,165328,93020,-0.45,-0.45,,-14131,-3834,32917,2014年01月01日至2014年03月31日,-207302,-41974,-201254,-38118,-29727,-191706,4699647,5131469,431822,431822,461549,231179,,,-0.45,-0.45,197453,-207302,-221433,,,4477,-6048,-3856
2014-08-08,2,2014,,23153,-13823,24945,-106534,-129687,0.04,0.04,,7729,-672,37971,2014年第2季,13747,-92787,14119,-87024,15209,6267,6211715,6695544,483829,483829,468620,233251,,,0.04,0.04,197398,13747,21476,,,4183,-372,-5763
2014-11-03,3,2014,,743257,56011,53645,835508,92251,0.43,0.43,,32641,-1269,46679,2014年第3季,202291,1037799,195864,1027444,130802,104130,5312166,5976106,663940,663940,533138,270563,,,0.43,0.43,215896,202291,234932,,,4257,6427,10355
2015-03-16,4,2014,,337915,-2224,134511,625124,272201,0.33,0.33,,43634,-6362,165112,2014年度,170989,796113,154814,773381,105510,109113,22051457,24180166,2128709,2128709,2023199,1021344,,18083.0,0.33,0.33,836743,170989,214623,,3075.0,16812,16175,22732
2015-05-08,1,2015,,144879,93105,26402,85365,-59514,0.26,0.26,85365.0,31088,1243,24165,2015年01月01日至2015年03月31日,151546,236911,120983,201991,65076,117558,4172083,4647668,475585,475585,410509,208422,,,0.26,0.26,177922,151546,182634,,,3192,30563,34920
2015-08-07,2,2015,,-195225,169009,30069,-257480,-62255,0.4,0.4,-257480.0,84414,440,36024,2015年第2季,323690,66210,190243,-65267,210852,197252,4306286,4937573,631287,631287,420435,210403,,,0.4,0.4,174008,323690,408104,,,2266,133447,131477
2015-11-06,3,2015,,-131739,57367,55019,104023,235762,0.72,0.72,104023.0,28333,-533,47207,2015年第3季,295550,399573,290330,394130,213551,110332,4343222,4976041,632819,632819,419268,206440,,,0.71,0.71,165621,295550,323883,,,1521,5220,5443
2016-03-14,4,2015,6307.0,-178886,273892,153238,-150734,21845,1.71,1.71,-157041.0,161080,481,140290,2015年度,867444,716710,697314,549062,609392,419132,16950555,19254208,2303653,2303653,1694261,867542,7600.0,,1.69,1.69,686429,867444,1028524,1293.0,,8479,170130,167648
2016-05-09,1,2016,,46734,4922,14127,-45821,-92555,-0.1,-0.1,-45821.0,9446,-965,23908,2016年01月01日至2016年03月31日,-17030,-62851,-28799,-72252,-24214,16630,2437055,2774384,337329,337329,361543,187819,,,-0.1,-0.1,149816,-17030,-7584,,,1454,11769,9401
2016-08-03,2,2016,,125237,27303,17578,75944,-49293,0.18,0.18,75944.0,27075,-1074,22057,2016年第2季,65317,141261,51297,133589,49976,42416,2577480,2984188,406708,406708,356732,182404,,,0.18,0.18,152271,65317,92392,,,1391,14020,7672
2016-11-14,3,2016,,-59747,154602,106522,-230807,-171060,0.81,0.81,-230807.0,5788,-1531,26363,2016年第3季,240575,9768,227246,4818,-11827,258190,1863924,2223673,359749,359749,371576,200415,,,0.81,0.81,144798,240575,246363,,,1403,13329,4950
