date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-10,1,2013,,8929,24514,17235,81077,72148,1.04,1.04,,55202,-370.0,467323,2013年01月01日至2013年03月31日,86912,167989,150874,231951,112785,29329,2013213,2784707,771494,771494,658709,19527,,,1.03,1.03,171859,86912,142114,,,12050,-63962,-63962
2013-08-12,2,2013,,-4137,7642,15087,22473,26610,0.26,0.26,,23000,0.0,412548,2013年04月01日至2013年06月30日,-50521,-28048,37865,60338,-38354,10833,1667821,2208645,540824,540824,579178,18883,,,0.26,0.26,147747,-50521,-27521,,,11896,-88386,-88386
2013-11-11,3,2013,,-17,-18869,15354,-30098,-30081,0.06,0.06,,8876,0.0,358390,2013年07月01日至2013年09月30日,-76354,-106452,8136,-21962,-52041,-15437,1807720,2275462,467742,467742,519783,19406,,,0.06,0.06,141987,-76354,-67478,,,11922,-84490,-84490
2014-03-26,4,2013,,4941,-12988,78966,135001,97595,1.62,1.62,,128904,-370.0,1676999,2013年01月01日至2013年12月31日,-74641,60360,235351,370352,37270,16993,6948170,9333749,2385579,2385579,2348309,78348,,40298.0,1.61,1.61,592962,-74641,54263,,7833.0,48615,-309992,-309992
2014-05-12,1,2014,,24,22464,25744,24559,24535,0.56,0.56,,47888,0.0,427830,2014年01月01日至2014年03月31日,-2073,22486,80733,105292,11209,34606,2099656,2711834,612178,612178,600969,22326,,,0.55,0.55,150813,-2073,45815,,,13602,-82806,-82806
2014-08-12,2,2014,,-97,2719,40434,-50820,-50723,-0.24,-0.24,,33621,0.0,303261,2014年第2季,-118413,-169233,-34795,-76170,-115004,30212,1647135,2009717,362582,362582,477586,19905,,,-0.24,-0.24,154420,-118413,-84792,,,12941,-83618,-93063
2014-11-11,3,2014,,19,25724,27270,56027,56008,0.14,0.14,,14891,0.0,300184,2014年第3季,-100990,-44963,19940,60419,-125627,39528,1814513,2182567,368054,368054,493681,19659,,,0.14,0.14,173838,-100990,-86099,,,13466,-120930,-105382
2015-03-24,4,2014,,-8028,392480,133014,110581,128564,0.97,0.97,,105059,0.0,1407225,2014年度,-138549,-27968,141248,230798,-509035,475545,7487751,9137371,1649620,1649620,2158655,83641,,-12664.0,0.97,0.97,667789,-138549,-33490,,-2709.0,49949,-279797,-258766
2015-05-12,1,2015,,-941,-10164,54649,-27959,-27018,0.46,0.46,-27959.0,37606,,323628,2015年01月01日至2015年03月31日,19075,-8884,66515,41779,23189,33492,1964372,2503737,539365,539365,516176,19395,,,0.46,0.46,173153,19075,56681,,,10993,-47440,-50663
2015-08-12,2,2015,,-33,-3071,66382,-33375,-33342,-0.23,-0.23,-33375.0,38581,,242035,2015年第2季,-137670,-171045,-33310,-68942,-151247,52158,1718368,1990495,272127,272127,423374,18965,,,-0.23,-0.23,162374,-137670,-99089,,,11153,-104360,-102103
2015-11-10,3,2015,,-80,44504,39879,137766,137846,0.36,0.36,137766.0,16078,,224979,2015年第3季,-21965,115801,52537,178447,-80808,74921,2225825,2562577,336752,336752,417560,19126,,,0.36,0.36,173455,-21965,-5887,,,9462,-74502,-62646
2016-02-19,4,2015,6533.0,-8540,-37646,292426,63529,65536,0.65,0.65,56996.0,84872,-3.0,1087292,2015年度,-192036,-128507,94273,150184,-320672,213508,8000752,9563973,1563221,1563221,1883893,80908,8196.0,,0.65,0.65,715693,-192036,-107164,1663.0,,41269,-286309,-278691
2016-05-11,1,2016,,-1683,-33181,39515,-60640,-58957,1.22,1.22,-60640.0,63577,-43.0,212724,2016年01月01日至2016年03月31日,165304,104664,177437,120552,231138,-2257,2170051,2849152,679101,679101,447963,24700,,,1.21,1.21,210539,165304,228881,,,8548,-12133,-15888
2016-08-09,2,2016,,-3685,-21265,33855,-5432,-1747,0.05,0.05,-5432.0,7943,-10018.0,82683,2016年第2季,-6023,-11455,7337,1378,7310,-5390,1810223,2071465,261242,261242,253932,24169,,,0.05,0.05,147080,-6023,1920,,,7962,-13360,-12833
2016-11-08,3,2016,,-2085,-51733,36314,-76496,-74411,0.58,0.58,-76496.0,-1414,-9206.0,100765,2016年第3季,83406,6910,84778,12395,113541,-31549,2279300,2642236,362936,362936,249395,26575,,,0.58,0.58,122055,83406,81992,,,6924,-1372,-5485
