date,season,year,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-10,1,2013,-3283,-898,18660,137644,140927,0.57,0.57,,14856,27467,2013年01月01日至2013年03月31日,68506,206150,67895,204972,68406,14956,1447762,1707519,259757,259757,191351,39930,0.57,0.57,123954,68506,83362,2806,611,1178
2013-08-12,2,2013,-1838,-10587,18593,66082,67920,0.65,0.65,,-8261,38789,2013年04月01日至2013年06月30日,76697,142779,77016,142740,65365,3071,1361550,1626845,265295,265295,199930,41657,0.65,0.65,119484,76697,68436,4935,-319,39
2013-11-11,3,2013,-887,-10360,16355,-37385,-36498,0.65,0.65,,9943,35631,2013年07月01日至2013年09月30日,77198,39813,77016,39640,85057,2084,1643975,1922166,278191,278191,193134,41175,0.65,0.65,116328,77198,87141,3911,182,173
2014-03-25,4,2013,-5168,-33025,69938,250887,256055,2.24,2.24,,11547,133596,2013年01月01日至2013年12月31日,266872,517759,266136,515953,256381,22038,5884517,6938542,1054025,1054025,797644,163409,2.21,2.21,500639,266872,278419,14875,736,1806
2014-05-08,1,2014,350,-13621,12126,13148,12798,0.68,0.68,,22687,33493,2014年01月01日至2014年03月31日,78885,92033,80212,93428,108582,-7010,1706297,2019701,313404,313404,204822,36724,0.62,0.62,134605,78885,101572,5515,-1327,-1395
2014-08-14,2,2014,-793,-2514,12401,-103448,-102655,1.12,1.12,,46030,36074,2014年第2季,131677,28229,132975,29892,173601,4106,1885942,2268334,382392,382392,208791,37130,1.02,1.02,135587,131677,177707,5781,-1298,-1663
2014-11-07,3,2014,-1366,-1478,7931,126107,127473,0.61,0.61,,13511,39039,2014年第3季,74850,200957,74388,199618,87963,398,1711976,2018689,306713,306713,218750,38069,0.59,0.59,141642,74850,88361,6055,462,1339
2015-03-23,4,2014,-3280,-9091,67247,223139,226419,3.19,3.19,,123501,163961,2014年度,388643,611782,387291,607985,475998,36146,7160868,8524597,1363729,1363729,887731,92373,3.11,3.11,631397,388643,512144,22010,1352,3797
2015-05-12,1,2015,-1319,-8532,14164,-51681,-50362,1.1,1.1,-51681.0,38926,39943,2015年01月01日至2015年03月31日,139955,88274,141519,83277,177800,1081,2094108,2516053,421945,421945,244145,21575,1.07,1.07,182627,139955,178881,4551,-1564,4997
2015-08-07,2,2015,-1156,-14391,20710,-80646,-79490,-0.84,-0.84,-80646.0,620,42332,2015年第2季,-110245,-190891,-109093,-189242,-111975,2350,2050755,2177478,126723,126723,238698,31242,-0.84,-0.84,165124,-110245,-109625,3969,-1152,-1649
2015-11-09,3,2015,-2089,109505,5691,237703,239792,0.43,0.43,237703.0,103689,45862,2015年第3季,53877,291580,55677,291493,47122,110444,2026637,2323311,296674,296674,249552,30894,0.42,0.42,172796,53877,157566,4752,-1800,87
2016-03-09,4,2015,55191,44932,64022,-9443,-64634,0.88,0.88,-9443.0,184999,163779,2015年度,108810,99367,115397,98760,205990,87819,7870499,9045958,1175459,1175459,969469,70290,0.88,0.88,735400,108810,293809,21135,-6587,607
2016-05-03,1,2016,852,-13719,37390,-158008,-158860,1.31,1.31,-158008.0,55144,36919,2016年01月01日至2016年03月31日,171154,13146,172648,14593,206796,19502,2040059,2471686,431627,431627,224831,10183,1.29,1.29,177729,171154,226298,4169,-1494,-1447
2016-08-08,2,2016,-1272,59148,8045,-113967,-112695,1.47,1.47,-113967.0,45221,36886,2016年第2季,191974,78007,194236,81593,174442,62753,1821186,2215400,394214,394214,219772,17847,1.35,1.35,165039,191974,237195,4440,-2262,-3586
2016-11-08,3,2016,115,-12538,26423,-194742,-194857,0.84,0.84,-194742.0,34934,39680,2016年第3季,109729,-85013,112543,-80952,135291,9372,1758673,2125402,366729,366729,231438,13379,0.78,0.78,178379,109729,144663,4513,-2814,-4061
