date,season,year,不重分類至損益之項目總額（稅後）,保險業務收益合計,保險業務淨收益,保險負債準備淨變動合計,備供出售金融資產之已實現損益,備供出售金融資產未實現評價利益（損失）,備供出售金融資產未實現評價損益,兌換損益,其他什項淨利益（損失）,其他利息以外淨損益,其他業務及管理費用,出售不良債權淨利益（損失）,利息以外淨收益,利息收入,利息淨收益,利息費用,呆帳費用及保證責任準備提存合計,員工福利費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額（稅後）,所得稅（費用）利益,手續費及佣金淨收益,投資性不動產損益,折舊及攤銷費用,持有至到期日金融資產之已實現損益,指定為透過損益按公允價值衡量之金融負債其變動金額來自信用風險,採用權益法認列之關聯企業及合資其他綜合損益之份額,採用權益法認列之關聯企業及合資其他綜合損益之份額－可能重分類至損益之項目,採用權益法認列關聯企業及合資損益之份額合計,會計項目,本期其他綜合損益,本期其他綜合損益（稅後淨額）,本期淨利（淨損）,本期綜合損益總額,淨收益,營業費用合計,現金流量避險中屬有效避險部分之避險工具利益（損失）,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前損益,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,資產減損損失（迴轉利益）,資產減損（損失）迴轉利益,透過損益按公允價值衡量之金融資產及負債損益,非控制權益,非控制股權,顧問服務收入合計
2013-05-28,1,2013,,,,,129980,-669512.0,,384647,,809751,1390263,,4367219,3376272,2355867,1020405,117311,2678357,478219,0.16,,-298179,2398974,3807,522873,,,,,-60242,2013年01月01日至2013年03月31日,,-190658.0,1716103,1525445,6723086,4591493,,,,0.16,1716103,2014282.0,,,635.0,,0.0,,700302,96252,121358,
2013-08-27,2,2013,,,,,127736,520423.0,,1289926,,917672,1502265,,4467828,3476502,2448839,1027663,177598,2691481,173808,0.16,,-377449,2507139,-13594,515243,,,,,-16074,2013年04月01日至2013年06月30日,,694366.0,1652631,2346997,6916667,4708989,,,,0.16,1652631,2030080.0,,,135.0,,15656.0,,-360633,93347,100513,
2013-11-26,3,2013,,,,,568438,-861361.0,,495885,,804969,1528860,,5322744,3475914,2432816,1043098,211696,2837269,-294261,0.24,,-216647,2513362,26031,508779,,,,,-25337,2013年07月01日至2013年09月30日,,-1159271.0,2452309,1293038,7755560,4874908,,,,0.24,2452309,2668956.0,,,-3649.0,,9717.0,,929679,84162,92190,
2014-03-25,4,2013,,,,,1017848,-950638.0,,1798205,,3206500,5957803,,19235978,13584232,9461591,4122641,722551,10882041,553565,0.78,,-1019550,10110462,14473,2038303,,,,,-123359,2013年01月01日至2013年12月31日,,-620118.0,8077321,7457203,28697569,18878147,,,-265104.0,0.77,8077321,9096871.0,,,42059.0,,8404.0,,3203445,367327,419418,
2014-05-27,1,2014,,,1260862.0,1518194.0,1433278,36644.0,,1021196,184610.0,1050426,1535926,500760.0,7965630,4220057,3153226,1066831,446676,2873578,366834,0.36,,-458727,2768955,20280,495922,7446.0,,,,-20840,2014年01月01日至2014年03月31日,,399323.0,3789833,4189156,11118856,4905426,,,,0.36,3789833,4248560.0,,,-4155.0,,,-165336.0,589363,182262,163798,365056.0
2014-08-29,2,2014,,,3180944.0,3107666.0,407412,222848.0,,-500303,5827725.0,6466124,1959941,283256.0,14274454,4579136,3276132,1303004,8635,3398586,-392587,0.8,,-490681,2725589,-109659,545757,27150.0,,,,-7239,2014年第2季,,-153771.0,8039320,7885549,17550586,5904284,,,5429.0,0.78,8039320,8530001.0,,,10539.0,,,27997.0,2056439,-74633,-83247,355143.0
2014-11-25,3,2014,,,3022471.0,3170005.0,640454,-400871.0,,428184,314639.0,858617,2922905,129667.0,10093244,5579960,3519421,2060539,115076,4235867,-370403,0.21,,-423154,3700832,336385,661455,3912.0,,,,11116,2014年第3季,,-775226.0,2084203,1308977,13612665,7820227,,,-2513.0,0.21,2084203,2507357.0,,,-1439.0,,,-17672.0,1108945,-91703,-205430,414311.0
2015-03-30,4,2014,,,9092537.0,9681361.0,2528770,1203127.0,,2418976,6847903.0,9372891,9460137,1020640.0,41722665,20008841,13361073,6647768,1257054,14457596,460774,1.62,,-1462878,12839831,1596178,2339768,31440.0,,4409.0,,-17384,2014年度,,1448973.0,16424944,17873917,55083738,26257501,,,-141427.0,1.59,16424944,17887822.0,,,-77910.0,,,-380822.0,4240248,-47079,152221,1504348.0
2015-05-26,1,2015,-46834.0,,1725829.0,1821569.0,506776,,1367825.0,375842,411207.0,894310,2420416,106840.0,10196532,5916785,3748664,2168121,15867,4378117,-858060,0.41,517462.0,-455933,3647065,51781,619926,5486.0,11099.0,,12721.0,-1353,2015年第1季,470628.0,,4233368,4703996,13945196,7418459,,-57933.0,,0.4,4233368,,4689301.0,,,-5024.0,,-60619.0,3051415,125129,-263339,376263.0
2015-08-26,2,2015,22686.0,4312233.0,4312233.0,4456639.0,618396,,265270.0,-508207,292366.0,771526,2586130,107505.0,12540791,6277218,4003971,2273247,234448,4665826,-597388,0.33,-331925.0,-216990,4598553,97535,527660,24252.0,-6422.0,,-10180.0,73068,2015年第2季,-309239.0,,3857069,3547830,16544762,7779616,,29108.0,,0.33,3857069,,4074059.0,,,10373.0,,-20573.0,2574008,379896,371907,371655.0
2015-11-25,3,2015,29746.0,7432611.0,7432611.0,7459769.0,1494923,,223700.0,2682337,-65690.0,439132,2803976,91396.0,15034242,6251170,4143462,2107708,108726,4552092,1072580,0.26,1320965.0,-408571,3446529,40812,508661,2851.0,65365.0,,-13437.0,40882,2015年第3季,1350711.0,,3335909,4686620,19177704,7864729,,-35619.0,,0.26,3335909,,3744480.0,0.0,,38122.0,,-61970.0,-483865,497091,337634,413426.0
2016-03-28,4,2015,-279007.0,,24779209.0,24874422.0,2997025,,2941919.0,1858669,976997.0,2969505,10706934,412499.0,53943688,24636845,15844344,8792501,1094887,17843112,-259146,1.02,2740617.0,-1119078,13283098,288664,2152124,32589.0,46919.0,,20700.0,57079,2015年度,2461610.0,,11997475,14459085,69788032,30702170,,-377116.0,,1.02,11997475,,13116553.0,51190.0,,37144.0,,-308679.0,7986529,1182930,581080,1580009.0
2016-05-25,1,2016,-114041.0,,4564454.0,4500653.0,1674285,,761867.0,-2209833,934245.0,1452246,2831764,82306.0,12265815,6502115,4175522,2326593,306884,4238852,-187493,0.31,506799.0,-564967,3397124,42266,486041,13455.0,-28044.0,,-12793.0,87725,2016年01月01日至2016年03月31日,392758.0,,3512176,3904934,16441337,7556657,85.0,-85997.0,,0.31,3512176,,4077143.0,,,-54867.0,,-98577.0,3342670,199719,202434,435695.0
2016-08-25,2,2016,-56405.0,,4514230.0,4856577.0,931651,,672514.0,-145960,357777.0,958638,3364518,93239.0,12469385,8684347,5637296,3047051,197710,4936214,-375103,0.25,355635.0,-958540,4438792,44647,616203,0.0,-12206.0,,1771.0,-78447,2016年第2季,299230.0,,3176919,3476149,18106681,8916935,713.0,-44635.0,,0.25,3176919,,4135459.0,436.0,,55740.0,,-22498.0,1828332,211730,220387,507622.0
2016-11-23,3,2016,-23558.0,,8289469.0,8718491.0,1783708,,97495.0,-2761853,1105111.0,1765063,3368443,77144.0,17419882,8705926,5779149,2926777,239065,5288795,-31352,0.35,25460.0,-547155,4463775,92758,605837,23096.0,-6832.0,,-16753.0,58701,2016年第3季,1902.0,,4431245,4433147,23199031,9263075,546.0,-16724.0,,0.35,4431245,,4978400.0,-2.0,,-24476.0,,-15074.0,3720239,302002,287657,582808.0
