date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-10,1,2013,,3519,38465,7490,50742,47223,0.18,0.18,,18325,,,-1777,,66867,2013年01月01日至2013年03月31日,27918,78660,31619,80633,4561,41682,717187,864357,147170,147170,142609,23272,,,0.18,0.18,52470,27918,46243,,,2496.0,-3701.0,-1973.0
2013-08-13,2,2013,,-2519,-3207,7681,24177,27209,0.22,0.22,,12620,,-513.0,43,,84546,2013年04月01日至2013年06月30日,36280,60457,38313,59498,46878,2022,884038,1087976,203938,203938,157060,24687,,,0.22,0.22,47827,36280,48900,,,2495.0,-2033.0,959.0
2013-11-11,3,2013,,-5870,-26106,12501,-19166,-12780,0.4,0.4,,9596,,-516.0,-1253,,91337,2013年07月01日至2013年09月30日,68049,48883,69767,50943,94998,-17353,966822,1233901,267079,267079,172081,26353,,,0.4,0.4,54391,68049,77645,,,2495.0,-1718.0,-2060.0
2014-03-24,4,2013,,1426,14084,29714,79758,82599,0.97,0.97,,46488,,,-3184,,335323,2013年01月01日至2013年12月31日,169738,249496,168036,247558,185596,30630,3652245,4474155,821910,821910,636314,98855,,-5148.0,0.97,0.97,202136,169738,216226,,-881.0,9984.0,1702.0,1938.0
2014-05-12,1,2014,,10318,38621,7773,4277,-6120,0.48,0.48,,21886,,79.0,-1292,,85550,2014年01月01日至2014年03月31日,83776,88053,83573,87770,63056,42606,815302,1047428,232126,232126,169070,24235,,,0.48,0.48,59285,83776,105662,,,2496.0,203.0,283.0
2014-08-12,2,2014,,-7144,-12726,5335,-36911,-31069,0.26,0.26,,1863,,1302.0,90,,76048,2014年第2季,44944,8033,45148,8407,56604,-9797,860735,1071274,210539,210539,153935,26101,,,0.26,0.26,51786,44944,46807,,,2496.0,-204.0,-374.0
2014-11-13,3,2014,,-4717,12411,6821,33121,39140,0.42,0.42,,12100,,-1302.0,-15,,97941,2014年第3季,72613,105734,72553,105686,66268,18445,926226,1188742,262516,262516,196248,42250,,,0.42,0.42,56057,72613,84713,,,772.0,60.0,48.0
2015-03-27,4,2014,,7611,87524,23602,53581,48523,1.82,1.82,,63035,,1390.0,-1092,,358228,2014年度,315035,368616,314976,368387,273801,104269,3642332,4636807,994475,994475,720674,140009,,-4466.0,1.8,1.8,222437,315035,378070,,-523.0,5765.0,59.0,229.0
2015-05-11,1,2015,,-11058,-19435,3014,-26046,-14867,0.38,0.38,-26046.0,26820,,,192,-121.0,97015,2015年01月01日至2015年03月31日,64589,38543,64589,38543,107638,-16229,950023,1250903,300880,300880,193242,41627,,,0.37,0.37,54600,64589,91409,,,0.0,0.0,0.0
2015-08-12,2,2015,,-909,-7113,3164,-19475,-18486,0.19,0.19,-19475.0,-5354,,,-55,-80.0,66549,2015年第2季,33248,13773,33248,13773,31899,-4005,1016780,1214119,197339,197339,165440,45748,,,0.19,0.19,53143,33248,27894,,,1.0,0.0,0.0
2015-11-09,3,2015,,-5255,119835,4188,53995,58510,0.79,0.79,53995.0,21772,,,-79,740.0,109571,2015年第3季,135054,189049,135054,189049,32882,123944,1297748,1548730,250982,250982,218100,48803,,,0.78,0.78,59726,135054,156826,,,0.0,0.0,0.0
2016-03-28,4,2015,-3221.0,-8841,113968,12894,-32787,-20725,1.53,1.53,-29566.0,56613,0.0,,28,,339767,2015年度,261944,229157,261944,229157,191671,126886,4200323,5130925,930602,930602,738931,179368,-3881.0,,1.52,1.52,219796,261944,318557,-660.0,,4.0,0.0,0.0
2016-05-05,1,2016,,1094,35349,3308,-4560,-6021,0.23,0.23,-4560.0,14894,,,-266,367.0,52929,2016年01月01日至2016年03月31日,39220,34660,39220,34660,15723,38391,843112,997399,154287,154287,138564,35835,,,0.23,0.23,49800,39220,54114,,,,,
2016-08-11,2,2016,,-6622,57672,3693,-46593,-40667,0.55,0.55,-46593.0,11160,,,179,696.0,77968,2016年第2季,94159,47566,94159,47566,43776,61543,991766,1204972,213206,213206,169430,39767,,,0.54,0.54,51695,94159,105319,,,1.0,,
2016-11-11,3,2016,,-4922,-42607,6014,-49856,-44830,0.81,0.81,-49856.0,21204,,,-430,-104.0,70089,2016年第3季,139182,89326,139182,89326,197409,-37023,1155276,1509081,353805,353805,156396,32894,,,0.81,0.81,53413,139182,160386,,,0.0,,
