date,season,year,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-09,1,2013,,11403,8890,40517,40517,0.54,,57109,0,42267,2013年01月01日至2013年03月31日,350164,390681,350120,390637,388393,18880,530798,1185616,654818,654818,266425,94637,,,0.54,129521,350164,407273,,,1413,44.0,44.0
2013-08-06,2,2013,,-4274,19617,23346,23346,0.62,,62083,-2375,49918,2013年04月01日至2013年06月30日,406078,429424,406078,429424,456781,11380,614235,1338521,724286,724286,267505,91580,,,0.62,126007,406078,468161,,,1588,0.0,0.0
2013-11-11,3,2013,,-8852,10069,-13836,-13836,0.37,,7468,-9041,43551,2013年07月01日至2013年09月30日,252460,238624,252504,238668,270000,-10072,709801,1239797,529996,529996,259996,97470,,,0.37,118975,252460,259928,,,2248,-44.0,-44.0
2014-03-21,4,2013,,-16189,51909,79808,79395,1.88,,135109,-16791,188443,2013年01月01日至2013年12月31日,1273404,1353212,1273404,1353212,1397500,11013,2545712,5088245,2542533,2542533,1145033,417875,,498.0,1.88,538715,1273404,1408513,,85.0,7916,0.0,0.0
2014-05-08,1,2014,,-506,7481,-3599,-3599,0.24,,19685,-334,43397,2014年01月01日至2014年03月31日,165345,161746,165345,161746,182564,2466,664187,1097245,433058,433058,250494,93411,,,0.24,113686,165345,185030,,,4175,0.0,0.0
2014-08-06,2,2014,,-13855,14592,-31947,-31947,0.28,,19832,-3488,48422,2014年第2季,192556,160609,192556,160609,212571,-183,647849,1147805,499956,499956,287385,125765,,,0.28,113198,192556,212388,,,-2568,0.0,0.0
2014-11-07,3,2014,,4636,18908,41640,41640,0.17,,8862,-5226,45113,2014年第3季,121397,163037,121397,163037,113473,16786,629265,1002479,373214,373214,259741,101526,,,0.17,113102,121397,130259,,,1532,0.0,0.0
2015-03-25,4,2014,,6532,55872,54506,56319,0.69,,118066,-15498,177695,2014年度,484143,538649,484143,538649,559442,42767,2497278,4097844,1600566,1600566,1041124,415888,,-2184.0,0.69,447541,484143,602209,,-371.0,4139,,
2015-05-07,1,2015,,-12111,6015,-18882,-18882,0.16,-18882.0,21507,754,34704,2015年01月01日至2015年03月31日,112791,93909,112791,93909,141051,-6753,634688,979058,344370,344370,203319,76529,,,0.16,92086,112791,134298,,,1411,,
2015-08-04,2,2015,,93206,14303,-20281,-20281,0.19,-20281.0,99887,0,39760,2015年第2季,132196,111915,132196,111915,126055,106028,598274,963094,364820,364820,238765,81536,,,0.19,117469,132196,232083,,,1481,,
2015-11-06,3,2015,,-25886,14313,53122,53122,0.27,53122.0,9698,0,43015,2015年第3季,194753,247875,194753,247875,218644,-14193,529707,982947,453240,453240,234596,77462,,,0.27,114119,194753,204451,,,2620,,
2016-03-25,4,2015,5661.0,13694,47751,-25918,-31579,0.87,-31579.0,167919,754,157036,2015年度,634965,609047,634965,609047,749703,53181,2278553,3955207,1676654,1676654,926951,324214,6821.0,,0.87,445701,634965,802884,1160.0,,9018,,
2016-05-09,1,2016,,-5363,8885,-4457,-4457,0.24,-4457.0,19136,0,33458,2016年01月01日至2016年03月31日,171922,167465,171922,167465,195380,-4322,590496,1021756,431260,431260,235880,67803,,,0.23,134619,171922,191058,,,7844,,
2016-08-04,2,2016,,-38481,12592,-27051,-27051,0.24,-27051.0,25543,0,43193,2016年第2季,174402,147351,174402,147351,229195,-29250,550309,1015050,464741,464741,235546,75308,,,0.24,117045,174402,199945,,,3361,,
2016-11-08,3,2016,,-24128,9311,-31484,-31484,0.22,-31484.0,41103,0,40933,2016年第3季,165548,134064,165548,134064,233472,-26821,525408,991624,466216,466216,232744,73175,,,0.22,118636,165548,206651,,,12004,,
