date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,共同控制下前手權益（淨利／損）,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,工程收入淨額,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,旅遊服務成本（觀光飯店業適用）合計,旅遊服務收入合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營建工程成本合計,營建工程收入合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租賃成本合計,租賃收入合計,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,餐旅服務成本合計,餐旅服務收入淨額
2013-05-08,1,2013,,155,,15,252,155,0.3,0.3,,,58300,14888,25653,2013年01月01日至2013年03月31日,67246,67401,67246,67401,301875,458371,125676,-130,321103,485824,164721,164721,39045,,,4340,1800,0.3,0.3,67246,125546,,,,397,,14888.0,25653
2013-08-13,2,2013,,57,,-251,3691,57,0.26,0.26,,,7500,22043,27886,2013年04月01日至2013年06月30日,62240,62297,62240,62297,359353,495667,68124,1616,382516,526916,144400,144400,76276,,,1120,3363,0.26,0.26,62240,69740,,,,1824,,22043.0,27886
2013-11-13,3,2013,,274,,15858,145,274,2.18,2.18,,,17410,67798,41162,2013年07月01日至2013年09月30日,529016,529290,529016,529290,901814,1543914,536068,10358,970431,1588503,618072,618072,82004,,,819,3427,2.17,2.17,529016,546426,,,,5645,,67798.0,41162
2014-03-05,4,2013,,680,,13718,4760,1623,3.09,3.09,,,93094,178456,168667,2013年01月01日至2013年12月31日,751746,753369,751746,753369,1926539,3041037,837831,7009,2108602,3220544,1111942,1111942,274111,,1136.0,3607,10840,3.09,3.09,751746,844840,,193.0,,11469,,178456.0,168667
2014-05-07,1,2014,,248,,14,34,248,0.56,0.56,,,39397,91202,96839,2014年01月01日至2014年03月31日,136084,136332,136084,136332,365356,594278,179374,-3893,457333,693284,235951,235951,56577,,,775,2167,0.56,0.56,136084,175481,,,,3941,,91202.0,96839
2014-08-13,2,2014,,77,,2,4095,77,1.93,1.93,,,15847,78777,84862,2014年第2季,492195,492272,492195,492272,695013,1290027,515716,-7674,774566,1377084,602518,602518,86802,,,776,2195,1.92,1.92,492195,508042,,,,11771,,78777.0,84862
2014-11-12,3,2014,,-53,,52,192,-53,0.9,0.9,,,19148,105215,95883,2014年第3季,229128,229075,229128,229075,579844,922939,256439,-8163,685851,1021152,335301,335301,78862,,,792,2330,0.89,0.89,229128,248276,,,,8407,,105215.0,95883
2015-03-11,4,2014,,321,,716,5170,-436,3.83,3.83,,,110297,373576,379678,2014年度,977581,977145,977581,977145,1871777,3248125,1122996,-35118,2248521,3638410,1389889,1389889,266893,,-912.0,3168,10607,3.82,3.82,977581,1087878,,-155.0,,41004,,373576.0,379678
2015-05-13,1,2015,,316,,185,23,316,1.51,1.51,,316.0,101984,101073,116922,2015年01月01日至2015年03月31日,385787,386103,385787,386103,711349,1258917,505200,-17429,813247,1378241,564994,564994,59794,,,825,2402,1.51,1.51,385787,487771,,,,17637,,101073.0,116922
2015-08-12,2,2015,,-238,,109,4245,-238,0.3,0.3,,-238.0,12656,93393,109117,2015年第2季,80635,80397,80635,80397,185910,334832,103868,-10577,280128,446376,166248,166248,62380,,,825,2427,0.3,0.3,80635,93291,,,,14931,,93393.0,109117
2015-11-11,3,2015,,-1117,,90,576,-1117,0.34,0.34,,-1117.0,13050,88662,101016,2015年第3季,91208,90091,91208,90091,197203,357344,116084,-11826,286655,460487,173832,173832,57748,,,790,2127,0.34,0.34,91208,104258,,,,12492,,88662.0,101016
2016-03-16,4,2015,-429.0,138,0.0,-1533,5420,-59,2.18,2.18,,370.0,130625,381837,448176,2015年度,590276,590217,590276,590217,1210480,2159533,773781,-52880,1595530,2616522,1020992,1020992,247211,-237.0,,3213,8813,2.17,2.17,590276,720901,192.0,,-232.0,56767,0.0,,448176
2016-05-11,1,2016,,-804,,263,36,-804,0.43,0.43,,-804.0,39784,90655,127555,2016年01月01日至2016年03月31日,115870,115066,115870,115066,284242,480810,168078,-12424,375670,610247,234577,234577,66499,,,773,1882,0.43,0.43,115870,155654,,,,12723,,90655.0,127555
2016-08-10,2,2016,,65,,308,2357,65,0.23,0.23,,65.0,6852,100046,127405,2016年第2季,66029,66094,66029,66094,168321,288054,87584,-14703,269140,417439,148299,148299,60715,,,773,1980,0.23,0.23,66029,72881,,,,17368,,100046.0,127405
2016-11-09,3,2016,,26,,5646,573,26,0.08,0.08,303999.0,26.0,1197,97021,123568,2016年第3季,22399,22425,22399,22425,220632,303999,36638,-13042,318325,429389,111064,111064,74426,,,672,1822,0.08,0.08,22399,23596,,,,19261,,97021.0,123568
