date,season,year,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,採用權益法認列關聯企業及合資之權益工具投資利益(損失),推銷費用合計,會計項目,本期所得稅費用（利益）,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,當期所得稅費用（利益）,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,財務成本淨額
2013-05-13,1,2013,,104,885,,1.99,1.99,,29132,,,,90705,2013年01月01日至2013年03月31日,,401367,401367,401367,401367,429684,815,916913,1467930,551017,551017,121333,,,,1.63,1.63,30628,401367,430499,,,,,174
2013-08-09,2,2013,,-3410,1874,,1.46,1.46,,43223,,,,82068,2013年04月01日至2013年06月30日,,295047,295047,295047,295047,339978,-1708,955766,1403828,448062,448062,108084,,,,1.18,1.18,26016,295047,338270,,,,,172
2013-11-12,3,2013,,1624,974,,2.58,2.58,,105642,,,,125783,2013年07月01日至2013年09月30日,,525407,525407,525407,525407,628621,2428,1249304,2040661,791357,791357,162736,,,,2.1,2.1,36953,525407,631049,,,,,170
2014-03-25,4,2013,,-1003,22502,1467.0,6.71,6.71,,175955,,,,370199,2013年01月01日至2013年12月31日,,1360493,1361960,1360493,1361960,1515696,20752,3485198,5490940,2005742,2005742,490046,,,1767.0,5.46,5.46,119847,1360493,1536448,,300.0,,,747
2014-05-13,1,2014,,-132,1057,,0.23,0.23,,1393,,,,29731,2014年01月01日至2014年03月31日,,47492,47492,47492,47492,48125,760,375124,479306,104182,104182,56057,,,,0.19,0.19,26326,47492,48885,,,,,165
2014-08-11,2,2014,,-32,1718,,-0.35,-0.35,,61770,,,,8734,2014年第2季,,-71549,-71549,-71549,-71549,-11301,1522,11191,28310,17119,17119,28420,,,,-0.28,-0.28,19686,-71549,-9779,,,,,164
2014-10-28,3,2014,,-67,1026,,-0.08,-0.08,,1248,,,,9516,2014年第3季,,-15715,-15715,-15715,-15715,-15244,777,4838,17101,12263,12263,27507,,,,-0.06,-0.06,17991,-15715,-14467,,,,,182
2015-02-25,4,2014,,-74,16696,350.0,0.21,,,5604,,,,57866,2014年度,,43745,44095,43745,44095,33238,16111,453823,641533,187710,187710,154472,5604.0,,422.0,0.17,,96606,43745,49349,,72.0,,,511
2015-04-21,1,2015,0.0,-274,399,0.0,0.1,,0.0,3368,0.0,0.0,0.0,11863,2015年01月01日至2015年03月31日,3368.0,21909,21909,21909,21909,25154,123,84269,137577,53308,53308,28154,,,,0.1,,16291,21909,25277,,,0.0,0.0,2
2015-07-28,2,2015,,-77,1013,,0.17,,,13669,,,,32716,2015年第2季,13669.0,38668,38668,38668,38668,51402,935,189531,287568,98037,98037,46635,,,,0.16,,13919,38668,52337,,,,,1
2015-11-10,3,2015,,-238,3806,,1.52,,,207065,,,,174770,2015年第3季,207065.0,401844,401844,401844,401844,605343,3566,2013910,2822632,808722,808722,203379,,,,1.52,,28609,401844,608909,,,,,2
2016-03-10,4,2015,-522.0,-295,22903,-522.0,3.02,,,303792,,,,323862,2015年度,303792.0,745641,745119,745641,745119,1026831,22602,3543731,5014308,1470577,1470577,443746,,-629.0,,2.67,,119884,745641,1049433,-107.0,,,,6
2016-05-13,1,2016,,-136,7799,,0.67,,,11554,,,,31860,2016年01月01日至2016年03月31日,11554.0,176332,176332,176332,176332,180226,7660,493527,722944,229417,229417,49191,,,,0.66,,17331,176332,187886,,,,,3
2016-08-10,2,2016,,-872,1170,,0.36,,,59440,,,,27343,2016年第2季,59440.0,94229,94229,94229,94229,153374,295,640519,851085,210566,210566,57192,,,,0.36,,29849,94229,153669,,,,,3
2016-11-09,3,2016,,-151,6077,,0.12,,,19703,,,,74916,2016年第3季,19703.0,32598,32598,32598,32598,47393,4908,512204,651389,139185,139185,91792,,,,0.12,,16876,32598,52301,,,,,1018
