date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,停業單位損益合計,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,財務成本淨額,重估增值,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,,0.0,710,7721,2396,52846,52136,0.46,0,,24629,,,49225,2013年01月01日至2013年03月31日,0,65146,117992,,70588,132378,87014,2761,711002,904475,193473,193473,106459,17526,,,0.46,39708,65146,89775,,,,,7356,,-5442,-14386
2013-08-12,2,2013,,,0.0,-307,8114,11658,45004,45311,0.5,0,,33045,,,50744,2013年04月01日至2013年06月30日,0,74711,119715,,76193,120911,95349,12407,758395,965159,206764,206764,111415,17413,,,0.5,43258,74711,107756,,,,,7365,,-1482,-1196
2013-11-11,3,2013,,,0.0,534,-6345,6090,-31900,-32434,0.49,0,,14641,,,52552,2013年07月01日至2013年09月30日,0,67386,35486,,71479,39721,89965,-7938,786442,988282,201840,201840,111875,16552,,,0.49,42771,67386,82027,,,,,7683,,-4093,-4235
2014-03-24,4,2013,,,0.0,811,19479,36469,133177,127616,1.82,0,,86504,,,204104,2013年01月01日至2013年12月31日,0,259517,392694,,270339,405919,324059,21962,2936808,3704934,768126,768126,444067,67044,,5722.0,1.81,172919,259517,346021,,972.0,,,33986,,-10822,-13225
2014-04-24,1,2014,,,0.0,-930,-11172,5291,-14331,-13401,0.4,0,,22687,,,48334,2014年01月01日至2014年03月31日,0,53035,38704,,56044,40912,91002,-15280,709333,905885,196552,196552,105550,15629,,,0.4,41587,53035,75722,,,,,9399,,-3009,-2208
2014-08-12,2,2014,,,0.0,1844,2910,7938,-52316,-54160,0.58,0,,34373,,,51768,2014年第2季,0,81895,29579,,81908,30652,114889,1379,721695,953857,232162,232162,117273,18342,,,0.58,47163,81895,116268,,,,,9469,,-13,-1073
2014-10-31,3,2014,,,0.0,485,9071,5864,87961,87476,0.87,0,,26975,,,55946,2014年第3季,0,115283,203244,,113783,201485,138023,4235,811796,1063163,251367,251367,113344,19159,,,0.87,38239,115283,142258,,,,,10700,,1500,1759
2015-03-13,4,2014,,,0.0,3963,20640,29650,120792,114973,2.7,0,,110826,,,213739,2014年度,0,362909,483701,,363847,484978,462691,11044,3025333,3949305,923972,923972,461281,74250,,2735.0,2.69,173292,362909,473735,,879.0,,,39246,,-938,-1277
2015-04-17,1,2015,0.0,0.0,0.0,-139,8865,5172,-28719,-28675,1.11,0,-28719.0,31987,0.0,,58126,2015年01月01日至2015年03月31日,0,142602,113883,0.0,140906,112579,169771,4818,864228,1159699,295471,295471,125700,19569,0.0,,1.1,48005,142602,174589,0.0,,-95.0,0.0,9219,0.0,1696,1304
2015-08-13,2,2015,0.0,0.0,0.0,-170,9982,11932,-52677,-52613,1.06,0,-52677.0,25968,0.0,0.0,63049,2015年第2季,0,135968,83291,0.0,134415,82712,149680,12256,907004,1196776,289772,289772,140092,20855,0.0,,1.01,56188,135968,161936,0.0,,-106.0,0.0,9658,0.0,1553,579
2015-11-04,3,2015,0.0,0.0,0.0,-5052,31414,2582,137165,141610,1.2,0,137165.0,21919,0.0,,67907,2015年第3季,0,152837,290002,0.0,152874,286182,151168,23588,917045,1216156,299111,299111,147943,22008,0.0,,1.07,58028,152837,174756,0.0,,-607.0,0.0,10408,0.0,-37,3820
2016-03-11,4,2015,,-2650.0,,-2867,68919,25186,-13126,-9212,4.41,0,-10476.0,111080,,,258169,2015年度,0,565112,551986,,560291,545144,622426,53766,3576953,4760324,1183371,1183371,560945,82422,-3193.0,,4.11,220354,565112,676192,-543.0,,-1603.0,,40339,,4821,6842
2016-04-19,1,2016,,,,-1862,7502,3226,-76103,-73052,1.14,0,-76103.0,26489,,,65098,2016年01月01日至2016年03月31日,0,148647,72544,,145056,68953,176188,-1052,892898,1205889,312991,312991,136803,17730,,,1.02,53975,148647,175136,,,1189.0,,11780,,3591,3591
2016-08-08,2,2016,,,,79,17908,2615,-101321,-101392,1.21,0,-101321.0,37595,,,73668,2016年第2季,0,156711,55390,,153435,52997,186247,8059,921832,1257105,335273,335273,149026,19955,,,1.1,55403,156711,194306,,,8.0,,12464,,3276,2393
2016-11-01,3,2016,,,,-205,-31562,7559,-142389,-142192,1.61,0,-142389.0,37036,,,74367,2016年第3季,0,210982,68593,,204870,62443,287729,-39711,1084547,1528975,444428,444428,156699,24589,,,1.43,57743,210982,248018,,,-8.0,,15708,,6112,6150
