date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資利益之份額,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,當期所得稅費用（利益）,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,財務成本淨額,重估增值,銷貨成本,銷貨成本合計,銷貨收入,銷貨收入合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-15,1,2013,,,-3,45908,32746,32746.0,424715,89024,0.28,0.28,,67065,,,380800.0,-4159.0,-4159,,238997,2013年01月01日至2013年03月31日,213811,638526,,190472,526072,372694,-91818,4385690,5212993,827303,827303,454609,67065.0,15634,,,0.28,0.28,199978,213811,,280876,,45106.0,,,166313,,4385690.0,4385690.0,5212993.0,5212993.0,5212993.0,23339,112454
2013-08-01,2,2013,,,-30,150093,42955,42955.0,358849,36363,0.36,0.36,,116219,,,350501.0,42792.0,42792,,257208,2013年04月01日至2013年06月30日,274874,633723,,249059,571400,323640,67453,4644165,5466775,822610,822610,498970,,32949,,,,,208813,274874,,391093,,27985.0,,,168387,,,,,,,25815,62323
2013-11-11,3,2013,,,-38,-5881,56172,,-25564,-24749,0.29,0.29,,91435,,,-19925.0,,-5055,,261055,2013年07月01日至2013年09月30日,220625,195061,,199411,198526,474230,-162170,5796891,6889988,1093097,1093097,618867,,70989,,,0.29,0.29,286823,220625,,312060,,-19148.0,,,207406,,,,,,,21214,-3465
2014-03-21,4,2013,,,458,240931,137996,,1571742,125316,1.2,1.2,,405663,,,1528107.0,,39611,,1059240,2013年01月01日至2013年12月31日,929227,2500969,,847863,2293474,1654549,-319659,20092526,24306832,4214306,4214306,2559757,,626171,,4290.0,1.2,1.2,874346,929227,,1334890,,86429.0,,,738197,,,,,,,81364,207495
2014-05-09,1,2014,,,-134,-441763,37140,,-120372,-3693,-0.02,-0.02,,-2035,,,-122771.0,,-1551,,270391,2014年01月01日至2014年03月31日,-32123,-152495,,-15158,-131770,569130,-603288,5218316,6434613,1216297,1216297,647167,,158687,,,-0.02,-0.02,218089,-32123,,-34158,,-6226.0,,,197114,,,,,,,-16965,-20725
2014-07-30,2,2014,,,65,-16528,33870,,-12571,-18477,0.54,,,136390,,,-29850.0,,130043,,320367,2014年第2季,445721,433150,,425478,431238,649725,-67614,5484891,6901743,1416852,1416852,767127,,216544,,,0.54,,230216,445721,0.54,582111,,-35691.0,,,214999,,,,,,,20243,1912
2014-11-12,3,2014,,,-20,185345,78563,,350272,25614,0.58,0.58,,208518,,,373552.0,,-9760,,276635,2014年第3季,483565,833837,,460445,785036,635587,56496,5674557,7024051,1349494,1349494,713907,,223430,,,0.58,0.58,213842,483565,,692083,,48874.0,,,197652,,,,,,,23120,48801
2015-03-20,4,2014,,,-30,-387568,247192,,314585,35532,1.09,1.09,,319251,,,362248.0,,106281,,1160343,2014年度,876079,1190664,,873633,1152723,2033447,-838117,22199819,27487942,5288123,5288123,3254676,,767762,,-16539.0,1.09,1.09,1326571,876079,,1195330,,66626.0,,,804022,,,,,,,2446,37941
2015-05-08,1,2015,0.0,0.0,-338,-31651,43409,,-322455,-9070,0.21,0.21,-322455.0,76817,0.0,,,,-9863,-333016.0,279649,2015年01月01日至2015年03月31日,180859,-141596,0.0,176994,-136215,437368,-179692,5505402,6627431,1122029,1122029,684661,,169815,0.0,,0.21,0.21,235197,180859,,257676,0.0,,-19969.0,0.0,181587,0.0,,,,,,3865,-5381
2015-08-13,2,2015,,,-467,-80996,38813,,-250074,-13987,0.41,,-250074.0,139285,,,,,122107,-265379.0,314962,2015年第2季,341223,91149,,337886,101869,568530,-88022,5569630,6860781,1291151,1291151,722621,,180296,,,0.41,,227363,341223,0.41,480508,,,-29759.0,,167946,,,,,,,3337,-10720
2015-11-13,3,2015,,,-528,-212190,101218,,154057,41636,0.31,0.31,154057.0,95779,,,,,-8860,207169.0,266221,2015年第3季,259639,413696,,260874,373580,653870,-298452,5526842,6933989,1407147,1407147,753277,,212687,,,0.31,0.31,274369,259639,,355418,,,94220.0,,178620,,,,,,,-1235,40116
2016-03-18,4,2015,,-15013.0,-1088,-624712,376941,,-859163,-19348,1.12,1.12,-844150.0,300815,,-158.0,,,102481,-864582.0,1179466,2015年度,949082,89919,,935449,96139,2076229,-826332,21846907,26826653,4979746,4979746,2903517,,769565,-17898.0,,1.12,1.12,954486,949082,,1249897,-3043.0,,-40868.0,,681042,,,,,,,13633,-6220
2016-05-13,1,2016,,,155,-82602,104179,,264801,-6019,0.3,0.3,264801.0,96606,,,,,-22486,256908.0,341505,2016年01月01日至2016年03月31日,261705,526506,,253008,523556,545607,-187296,5916260,7296450,1380190,1380190,834583,,206668,,,0.3,0.3,286410,261705,,358311,,,-13757.0,,186387,,,,,,,8697,2950
2016-08-12,2,2016,,,242,-266402,362222,,129058,-28601,0.67,,129058.0,169883,,,,,143354,91476.0,336650,2016年第2季,628484,757542,,555555,712828,772030,26337,6616613,8224889,1608276,1608276,836246,,216242,,,0.67,,283354,628484,0.67,798367,,,-65941.0,,212837,,,,,,,72929,44714
2016-11-08,3,2016,,,-125,-176732,137314,,-534520,-34772,0.2,0.2,-534520.0,113338,,,,,648,-579382.0,377801,2016年第3季,184898,-349622,,168291,-331363,576588,-278352,6433468,7856391,1422923,1422923,846335,,207397,,,0.2,0.2,261137,184898,,298236,,,-79759.0,,239582,,,,,,,16607,-18259
