date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-08,1,2013,,-2379,14761,8059,29538,37086,0.10,0.10,,4052,1326,-2976,,97048,2013年01月01日至2013年03月31日,16065,45603,16124,45447,6375,13742,2606986,2906252,299266,299266,292891,35900,,,0.10,0.10,159943,16065,20117,,6495,,6102,-59,156
2013-08-09,2,2013,,-744.0,-4081,7655,15052,19147,0.06,0.06,,17819,-139.0,-1653,,110641,2013年04月01日至2013年06月30日,8214,23266,9136,24076,28563,-2530,3291366,3668077,376711,376711,348148,40732,,,0.05,0.05,196775,8214,26033,,3212.0,,4451,-922,-810
2013-11-06,3,2013,,-438.0,3178,13165,10827,-15445,0.31,0.31,,9938,530.0,-2359,,111941,2013年07月01日至2013年09月30日,50763,61590,51327,62221,52238,8463,2925518,3289474,363956,363956,311718,36447,,28468.0,0.31,0.31,163330,50763,60701,,2288.0,,5521,-564,-631
2014-03-07,4,2013,,-3496.0,22920,43870,69767,61314,1.35,1.35,,61404,1056.0,-14698,,443885,2013年01月01日至2013年12月31日,218815,288582,222615,292058,252330,27889,12498721,14042274,1543553,1543553,1291223,150727,,25834.0,1.34,1.34,696611,218815,280219,,14941.0,,24203,-3800,-3476
2014-05-09,1,2014,,-1512.0,12371,5273,2773,5112,0.71,0.71,,25684,50.0,-5622,,101413,2014年01月01日至2014年03月31日,116163,118936,117340,120110,138848,2999,2816437,3241060,424623,424623,285775,33038,,,0.7,0.7,151324,116163,141847,,877.0,,9023,-1177,-1174
2014-08-12,2,2014,,0.0,-16279,7934,-19876,-23316,0.23,0.23,,7855,-620.0,-965,,108844,2014年第2季,37736,17860,37938,18117,62588,-16997,2989739,3380834,391095,391095,328507,35606,,,0.23,0.23,184057,37736,45591,,-4060.0,,7687,-202,-257
2014-10-26,3,2014,,0.0,-6895,12397,24137,28443,0.5,0.5,,17182,626.0,-1792,,113925,2014年第3季,84821,108958,83001,107078,104512,-2509,3082043,3485270,403227,403227,298715,37312,,0.0,0.5,0.5,147478,84821,102003,,4932.0,,6219,1820,1880
2015-02-26,4,2014,,-1512.0,-22617,31541,53560,56156,2.33,2.33,,83666,911.0,-14780,,436251,2014年度,384519,438079,384545,437984,504299,-36114,13206334,14965399,1759065,1759065,1254766,145486,,9267.0,2.3,2.3,673029,384519,468185,,11262.0,,30258,-26,95
2015-04-29,1,2015,,0.0,-37356,7563,-16210,-19407,0.09,0.09,-16210.0,7372,,199,-121.0,114109,2015年01月01日至2015年03月31日,15020,-1190,15456,-715,59523,-37131,3292110,3695656,403546,403546,344023,32940,,,0.09,0.09,196974,15020,22392,,,-3318.0,7537,-436,-475
2015-08-03,2,2015,,0.0,7739,6120,-23862,-28570,0.48,0.48,-23862.0,24604,,740,-164.0,127771,2015年第2季,77619,53757,78653,54865,95535,6688,4177365,4606426,429061,429061,333526,40645,,,0.47,0.47,165110,77619,102223,,,-4872.0,7911,-1034,-1108
2015-11-02,3,2015,,0.0,60107,24106,41900,50053,1.19,1.19,41900.0,51790,,-578,420.0,128297,2015年第3季,196799,238699,197208,239069,176514,72075,4208682,4755644,546962,546962,370448,40378,,,1.18,1.18,201773,196799,248589,,,8573.0,11560,-409,-370
2016-02-22,4,2015,-14800.0,0.0,-4682,57730,-47018,-38808,2.78,2.78,-32218.0,126404,,-2378,16.0,491181,2015年度,459985,412967,458724,411859,574436,11953,16017022,18031624,2014602,2014602,1440166,173494,-17831.0,,2.73,2.73,775491,459985,586389,-3031.0,,-6574.0,38717,1261,1108
2016-05-04,1,2016,,,-12988,6454,-4135,-4929,0.86,0.86,-4135.0,36037,,174,-57.0,118432,2016年01月01日至2016年03月31日,139353,135218,141148,136991,192548,-17158,3714080,4242246,528166,528166,335618,40397,,,0.84,0.84,176789,139353,175390,,,-851.0,10798,-1795,-1773
2016-08-08,2,2016,,,-6347,7736,-22599,-27223,0.47,0.47,-22599.0,49905,,1660,-44.0,122791,2016年第2季,74632,52033,77765,54978,135626,-11089,4122262,4638846,516584,516584,380958,50986,,,0.46,0.46,207181,74632,124537,,,-4668.0,14138,-3133,-2945
2016-11-03,3,2016,,55695.0,-28170,44444,15341,-48512,0.7,0.7,15341.0,33160,,1587,-112.0,133425,2016年第3季,112862,128203,115504,130822,143648,2374,4006466,4532173,525707,525707,382059,57097,,,0.66,0.66,191537,112862,146022,,,-8270.0,15487,-2642,-2619
