date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,共同控制下前手權益（淨利／損）,其他利益及損失淨額,其他收入合計,其他綜合損益,其他綜合損益（淨額）,其他費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,-18316,,1112575,14752,,108187,,152262,2.62,2.62,,125515,,,2013年01月01日至2013年03月31日,933488,1041675,932125,1039573,-60478,1119481,1159767,1237454,77687,77687,138165,,,2.61,2.61,138165,933488,1059003,,25759.0,,7846,1363,2102
2013-08-14,2,2013,,-7850,,21293,23915,-14293.0,62484,,84627,0.18,0.18,,50418,-174.0,,2013年04月01日至2013年06月30日,66858,129342,65331,127265,82481,34795,1473046,1657870,184824,184824,102343,,,0.18,0.18,102343,66858,117276,,,,10239,1527,2077
2013-11-13,3,2013,,77190,,11758,50804,10248.0,26906,,-60532,-0.29,-0.29,,1985,-160.0,,2013年07月01日至2013年09月30日,-103350,-76444,-103853,-76698,-159693,58328,1546971,1485446,-61525,-61525,98168,,,-0.29,-0.29,98168,-103350,-101365,,,,4074,503,254
2014-03-17,4,2013,,96160,,1201881,113754,-44564.0,315193,,255565,3.03,3.03,,225145,-689.0,,2013年01月01日至2013年12月31日,1081176,1396369,1076890,1390628,19801,1286520,5991492,6465940,474448,474448,454647,,8032.0,3.02,3.02,454647,1081176,1306321,,,,28426,4286,5741
2014-05-14,1,2014,,10837,,-13878,29273,-14430.0,81652,,85245,-0.09,-0.09,,-1433,-176.0,,2014年01月01日至2014年03月31日,-30606,51046,-31845,49446,-40164,8125,1257516,1322048,64532,64532,104696,,,-0.09,-0.09,104696,-30606,-32039,,,,7094,1239,1600
2014-08-13,2,2014,,-62578,,36951,29836,18769.0,-154578,,-110769,0.42,0.42,,29938,-250.0,10699.0,2014年第2季,152177,-2401,150438,-3541,122331,59784,1728939,1964575,235636,235636,113305,,,0.42,0.42,102606,152177,182115,,,,6753,1739,1140
2014-11-12,3,2014,,-4392,,-14533,53652,-17636.0,81712,,103740,0.18,0.18,,83671,-166.0,12846.0,2014年第3季,65264,146976,64259,145383,122459,26476,1676840,1905056,228216,228216,105757,,,0.18,0.18,92911,65264,148935,,,,12477,1005,1593
2015-03-24,4,2014,,-80691,,-80285,133230,-56175.0,195367,,332171,0.53,0.53,,156098,-1042.0,46743.0,2014年度,193073,388440,189476,383047,325196,23975,6222646,7002614,779968,779968,454772,,62.0,0.53,0.53,408029,193073,349171,,,,27928,3597,5393
2015-05-11,1,2015,,6008,,-36116,15108,,-61076,,-80824,-0.11,-0.11,-61076.0,-6808,-86.0,5077.0,2015年01月01日至2015年03月31日,-40984,-102060,-40483,-101559,-17645,-30147,1065097,1109786,44689,44689,62334,,,-0.11,-0.11,57257,-40984,-47792,,,-13740.0,9053,-501,-501
2015-08-13,2,2015,,-97094,,35917,20004,,-150259,,-64054,0.1,0.1,-150259.0,-1946,-83.0,5014.0,2015年第2季,33420,-116839,33758,-116501,-17218,48692,1145095,1221585,76490,76490,93708,,,0.09,0.09,88694,33420,31474,,,-10889.0,7146,-338,-338
2015-11-12,3,2015,,-68215,,-99271,41218,,104040,,207536,-0.18,,104040.0,-6651,-65.0,6584.0,2015年第3季,-62308,41732,-62471,41569,-3751,-65208,1213506,1310848,97342,97342,101093,,,-0.18,,94509,-62308,-68959,,,35281.0,7090,163,163
2016-03-24,4,2015,-4233.0,-213968,,-118399,91700,,-238817,,-24839,-0.51,-0.51,-234584.0,-38445,-323.0,23392.0,2015年度,-174231,-413048,-174043,-412860,-154781,-57895,4804998,5023379,218381,218381,373162,-5100.0,,-0.51,-0.51,349770,-174231,-212676,-867.0,,-4223.0,30873,-188,-188
2016-05-12,1,2016,,35789,,-2213,17443,,-39868,,-91153,-0.02,,-39868.0,2903,-68.0,9662.0,2016年01月01日至2016年03月31日,-7595,-47463,-7569,-47437,-11974,7282,1146215,1221705,75490,75490,87464,,,-0.02,,77802,-7595,-4692,,,-15496.0,7880,-26,-26
2016-08-11,2,2016,,-3832,,4615,18492,,-72093,0.0,-82242,0.05,0.05,-72093.0,7146,-61.0,7242.0,2016年第2季,15089,-57004,15243,-56850,6785,15450,1336008,1434409,98401,98401,91616,,,0.05,0.05,84374,15089,22235,,,-13981.0,7596,-154,-154
2016-11-10,3,2016,,11977,0.0,-5345,27962,,-116883,,-155253,0.06,0.06,-116883.0,7649,78.0,6708.0,2016年第3季,18244,-98639,18584,-98299,10704,15189,1168628,1264939,96311,96311,85607,,,0.06,0.06,78899,18244,25893,,,-26393.0,7506,-340,-340
