date,season,year,不重分類至損益之項目總額,什項支出,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他營業收入淨額,其他綜合損益,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,與不重分類之項目相關之所得稅,與可能重分類之項目相關之所得稅,處分不動產、廠房及設備利益,處分投資利益,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-03,1,2013,,4109,228217,57053,28877,22294,250946,-28115.0,369330,6583,3205,166445,1.52,31288,0.0,,200416,,2783.0,19677,,718415,2013年01月01日至2013年03月31日,866968,1236298,859867,1225352,964982,102402,3863638,6629587,2765949,2765949,1800967,613545,,,1.51,469007,866968,1067384,,,,-1035,34224,3205,11772,15087,6378641,7101,10946
2013-08-07,2,2013,,775,-474796,82776,26296,19343,191340,-9305.0,-432335,6953,2243,50956,1.98,30289,0.0,,296200,,810.0,20238,,790277,2013年04月01日至2013年06月30日,1126041,693706,1119093,689729,1295174,127067,4613672,7808637,3194965,3194965,1899791,665205,,,1.96,444309,1126041,1422241,,,,42770,22971,2243,8780,21259,7617297,6948,3977
2013-11-03,3,2013,,1423,-179892,14756,130350,15370,161438,10053.0,-234547,7000,871,-63585,1.95,11266,0.0,,303338,,-1123.0,19331,,772680,2013年07月01日至2013年09月30日,1108334,873787,1104256,875281,1248106,163566,4749048,7949357,3200309,3200309,1952203,676860,,,1.94,502663,1108334,1411672,107980.0,,,-9,8375,871,6615,10068,7787919,4078,-1494
2014-03-28,4,2013,,15246,-244478,185865,252253,101690,831241,-46247.0,-14730,30422,11402,282941,7.26,144682,0.0,,1041337,,3883.0,73680,,3084308,2013年01月01日至2013年12月31日,4127209,4112479,4106397,4087236,4668150,500396,18074403,30660034,12585631,12585631,7917481,2760937,,-10829.0,7.2,2072236,4127209,5168546,120141.0,,,41816,56542,11402,34883,76812,29828793,20812,25243
2014-05-08,1,2014,,825,216165,4870,37597,23024,262658,-14528.0,289447,14573,1283,85412,2.02,41299,,,278342,,2398.0,28038,,842957,2014年01月01日至2014年03月31日,1156255,1445702,1152741,1439838,1365375,69222,4767527,8146552,3379025,3379025,2013650,700197,,,2.01,470496,1156255,1434597,,,,158,18575,1283,1173,55510,7883894,3514,5864
2014-08-11,2,2014,,4014,252450,-81688,34016,22598,221472,24251.0,127951,11418,1120,-146111,2.1,-88865,,,280074,,-2639.0,25781,,983279,2014年第2季,1208583,1336534,1201847,1335894,1511668,-23011,5560706,9278013,3717307,3717307,2205639,719926,,,2.09,502434,1208583,1488657,,,,-996,-17944,1120,12830,-17301,9056541,6736,640
2014-11-07,3,2014,,1729,-254579,74258,161024,17174,190950,-15989.0,-179504,13134,1606,90374,2.1,21630,,,270357,,690.0,27935,,831544,2014年第3季,1327142,1147638,1319749,1143235,1335888,261611,5508412,9124537,3616125,3616125,2280237,861746,,,2.09,586947,1327142,1597499,130716.0,,,-2469,15376,1606,43429,1979,8933587,7393,4403
2015-03-31,4,2014,,13815,638811,184500,276277,91185,1069430,-41695.0,840008,54355,14420,243904,7.8,78206,,,1123096,,4711.0,100264,,3533354,2014年度,4932010,5772018,4907782,5750571,5508485,546621,21339035,35731699,14392664,14392664,8884179,3235226,,-5723.0,7.77,2115599,4932010,6055106,130737.0,,,56473,27143,14420,85664,49171,34662269,24228,21447
2015-04-30,1,2015,0.0,229,-123664,71601,35486,24262,206593,,-325714,11136,851,-238906,1.91,-141134,,-325714.0,274159,,,22977,-4132.0,917755,2015年01月01日至2015年03月31日,1206212,880498,1206870,883087,1351158,129213,5193888,8784667,3590779,3590779,2239621,848681,0.0,,1.91,473185,1206212,1480371,88.0,0.0,-40988.0,-1366,169150,851,55533,10353,8578074,-658,-2589
2015-07-30,2,2015,0.0,1666,-22517,-66895,41043,28637,271614,,-110779,12241,1195,-102908,2.1,-32238,,-110779.0,291900,,,19405,-963.0,963749,2015年第2季,1332693,1221914,1327917,1229196,1632235,-7642,6046484,10026947,3980463,3980463,2348228,869447,0.0,,2.1,515032,1332693,1624593,165.0,0.0,-15609.0,-733,-7996,1195,14947,39209,9755333,4776,-7282
