date,season,year,不影響現金流量之收益費損項目合計,停業單位稅前淨利（淨損）,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,員工執行認股權,存入保證金增加,存出保證金增加,存貨（增加）減少,已實現銷貨損失（利益）,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,按攤銷後成本衡量之金融資產到期還本,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現銷貨利益（損失）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分無活絡市場之債務工具投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,預付款項（增加）減少
2014-04-01,4,2013,109794,0,-29046,14431,0,9917,600,11711,51,0,-16233,3474,4688,-104799,-3930,-49735,,-7374,,1083,-94,26956,-453,-6188,-5580,-47642,-71,-41348,15517,1479,-1472,-158338,144478,,-11891,4379,-3760,12861,12098,,2013年01月01日至2013年12月31日,444561,460467,,15906,420945,,478906,514132,0,-170622,,-110765,-309350,420945,3193,-9587,-34811,18204,-16607,220,-192,,93187,460467,-56425,5032
2014-08-12,2,2014,66145,0,0,-14728,-158,-453,0,-7193,84,0,-11916,441,-12858,-27434,-554,-62905,,,,453,-308,4074,-1,-238,-1229,-46803,-467,-4693,1324,606,-1070,-91201,78614,,-4249,1758,-454,13583,0,,2014年01月01日至2014年06月30日,460467,488657,,28190,222248,,148561,201022,,,,-16765,-16312,222248,1396,,-71886,-15485,-87371,0,102,,-21226,488657,-65590,-16427
2014-11-10,3,2014,97989,0,0,-9933,-158,-4664,0,-8016,-187,0,-15262,658,2079,-53478,-560,-420223,,0,12600,603,-306,-35100,12,51906,-880,-46796,-467,-46984,-4948,484,-708,-474567,117823,,-9980,2542,-672,17356,0,,2014年01月01日至2014年09月30日,460467,460007,,-460,317942,,211034,284608,412380,-170622,6033,0,260994,317942,2095,,-15052,-116271,-131323,0,101,,-33334,460007,-90258,-24872
2015-03-23,4,2014,117920,0,0,17581,-158,-2214,0,12592,120,0,-26693,1097,48854,-77119,-641,-542558,,442,14600,947,-306,-52861,-13,103239,11459,-46801,-467,-135358,-6804,470,3073,-620624,158863,,-17043,3289,-1049,22737,9085,,2014年度,460467,519650,,59183,455774,,339894,424566,412380,-170622,33754,0,291059,455774,2793,-5097,100518,-249646,-149128,0,282,,-31208,519650,-115445,-52999
2015-05-11,1,2015,,0,,-21960,0,-279,,-17287,-146,0,-5560,352,-20704,-18063,-1026,,-58878,,2240,1347,-3,-4781,,-62232,-10555,-3,0,31071,4414,510,,-77970,41001,,-4611,748,-415,7695,,32337,2015年01月01日至2015年03月31日,519650,458813,17,-60837,142254,362,51826,76383,,,-17576,0,-13989,142254,390,,-111675,13467,-98208,,,,-65871,458813,-31837,-17322
2015-08-10,2,2015,,0,,-25328,0,1323,,-19553,-38,0,-12563,732,-42814,-47014,-2553,,0,12223,6160,1017,-3,-6631,-19,-105813,-13076,-4,0,102753,4156,484,,146429,80151,,-9217,1570,-795,19524,5094,73781,2015年01月01日至2015年06月30日,519650,834577,,314927,245999,727,214265,255025,,,,-10130,-2953,245999,779,,-163047,98292,-64755,,125,195999,9026,834577,-64583,-3755
2015-10-20,3,2015,,0,,-13893,0,-178,,-19223,-308,0,-18356,1048,28924,-100358,-3520,,150233,12341,21892,748,0,-35187,-33,-76486,-10563,-2,0,64899,-9239,414,,46355,120307,,-17287,2527,-1111,25738,5094,102162,2015年01月01日至2015年09月30日,519650,734546,,214896,437697,1101,369328,429350,0,-225761,-26590,,-229711,437697,1169,,-119066,8557,-110509,,446,,-8347,734546,-89743,-11844
2016-03-15,4,2015,,0,,17787,0,-17448,,-24043,-497,0,-38175,1350,37867,-132427,-6689,,135667,12426,22462,476,0,-48358,-29,-19787,-4018,-4,0,-50247,-1479,553,,-3449,161753,,-26099,3602,-1379,37046,14438,107986,2015年度,519650,836885,,317235,651449,6568,509032,600778,0,-225761,0,-23392,-226215,651449,1558,-9070,-23497,-135160,-158657,,670,,-50671,836885,-141851,-17684
2016-05-04,1,2016,,,,-43449,,4770,,-2362,378,0,-7662,163,-38779,-9203,0,,,,0,1671,-3,32183,-10,-69458,-5531,1,,-165,9869,0,,-91792,40425,-82586,-10345,968,-198,12786,,23710,2016年01月01日至2016年03月31日,836885,723943,,-112942,171356,-15919,64856,103970,,,-48898,,-47227,171356,161,,-136718,45622,-91096,,10,,-67386,723943,-51702,-1413
2016-08-12,2,2016,,0,,-16911,,10996,,-9168,406,0,-13716,281,-45755,-64910,-295,,-319820,0,0,1512,-3,34565,-16,-42495,-6342,0,,61615,-5373,0,,-385028,79533,,-18800,1800,-316,21376,0,49578,2016年01月01日至2016年06月30日,836885,695683,,-141202,312204,-15878,304016,374001,,,-15947,,-14435,312204,323,,-90794,103013,12219,,173,0,61797,695683,-91045,804
