date,season,year,不影響現金流量之收益費損項目合計,償還公司債,其他應付款增加（減少）,其他應收款增加,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他籌資活動,其他金融資產增加,其他金融資產減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,存出保證金增加,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資性不動產公允價值調整損失(利益),投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之收現類別合計,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分其他資產損失（利益）,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資損失（利益）,處分採用權益法之投資,處分無形資產,處分無形資產損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非金融資產減損損失,預付款項（增加）減少
2013-05-08,1,2013,1021.0,,6904,,-1538,7447,-1705,,0.0,,0.0,,,-991,,-295,-1044,,,-1183,396,-4102.0,21902,,1339,,,-25938,,41.0,,-6310,4697,8438,-3860,2268,,991,,2013年01月01日至2013年03月31日,401860,414946,13086,835,,19691.0,19691,18746,,,,,,835,15731,1159,16890,,19.0,,120,,,,,,17911,414946,-46,-1609,,
2013-08-09,2,2013,6403.0,,10696,,-2937,-3330,-2607,,-348.0,,,,,-2082,0.0,2093,-3571,,,-1895,10,,-16759,,7709,,0.0,16587,-7886.0,92.0,,-5795,9570,9346,-3700,4517,0.0,2082,,2013年01月01日至2013年06月30日,401860,390202,-11658,-27147,,-7956.0,-7956,-9833,,,,,,-27147,15167,-4256,10911,,19.0,,121,,,,,,17314,390202,-205,-2033,,
2013-11-06,3,2013,15026.0,,20326,,-4584,-5388,-1391,,104.0,,,,,-2990,0.0,1212,-5186,,,-1894,678,,14417,-42494.0,-18002,,0.0,-2666,-3459.0,137.0,,3599,14384,10681,-1653,6148,0.0,2990,,2013年01月01日至2013年09月30日,401860,283178,-118682,-52741,,-20987.0,-20987,-27644,-60012.0,,,,-102506.0,-52741,-2927,12998,10071,,19.0,,122,,,,10556.0,,25097,283178,3667,-1663,,
2014-03-27,4,2013,28460.0,,15619,,-1940,-954,1798,,621.0,,,,,-3800,1.0,-2256,-6618,,0.0,-1795,16049,,54305,-42494.0,-48679,,,21575,-2425.0,172.0,,10959,19223,11657,-1531,6544,-1.0,3800,,2013年01月01日至2013年12月31日,401860,265111,-136749,-129913,,-42946.0,-42946,-50325,-60012.0,,,,-102506.0,-129913,-33842,84970,51128,,0.0,,799,,,,18751.0,-8195.0,79588,265111,3580,-630,,
2014-05-13,1,2014,9043.0,,-8326,,1763,2674,-99,,,-32.0,,,,-728,1.0,-1143,0,,,-1200,0,,49864,,-51258,,,27484,3281.0,35.0,,-1232,4028,681,5288,434,-1.0,728,,2014年01月01日至2014年03月31日,265111,263409,-1702,-35120,,673.0,673,22,,,,,,-35120,-56875,82974,26099,,0.0,,0,,,,,,35142,263409,-76,20,,
2014-08-12,2,2014,14536.0,,-17798,,2441,-70,141,,,-287.0,,,,-1345,7.0,-882,-1635,,,-1951,0,,62472,,-45177,,,34564,-15846.0,66.0,,-4124,8212,1106,5992,936,-7.0,1345,,2014年01月01日至2014年06月30日,265111,231546,-33565,-68885,,,-28559,-32450,,,,,,-68885,-62979,84878,21899,,0.0,,608,-1898.0,499.0,1647.0,,,36435,231546,2553,-373,,
2014-11-11,3,2014,25016.0,,-5899,,1549,-2584,-2664,,,-438.0,,,,-2074,1537.0,-765,-1855,,,-1951,2466,,95772,0.0,-32671,,,16673,-23560.0,98.0,,-4495,12025,-2152,6562,1419,-7.0,2074,,2014年01月01日至2014年09月30日,265111,384815,119704,-117842,,,-44181,-48264,-30855.0,200000.0,,,169145.0,-117842,-41056,85618,44562,,0.0,,606,-1898.0,499.0,1647.0,0.0,,69578,384815,2016,1976,,
2015-03-24,4,2014,35587.0,,-19127,,2466,-2105,-424,,,-799.0,,,,-2843,3067.0,-447,-1855,,,-1651,3244,,100442,0.0,-57614,9.0,,24230,7742.0,151.0,,-4556,15934,-3845,9005,1921,-7.0,2843,,2014年度,265111,371510,106399,-150022,,,-57419,-62510,-30855.0,200000.0,,-324.0,168821.0,-150022,-78686,130611,51925,,,,602,-1898.0,1626.0,1647.0,0.0,0.0,87512,371510,2255,3031,,
2015-05-12,1,2015,,,-7320,,408,5764,786,2.0,,-150.0,,,,-819,1535.0,36,-927,,,-80,7964,,26105,,-35591,,-11.0,21459,3804.0,,,-1145,3214,-188,3874,484,-5.0,819,13693.0,2015年01月01日至2015年03月31日,371510,375672,4162,-24516,43.0,5269.0,5269,4436,,,,,2.0,-24516,-37115,52374,15259,,12.0,,380,,,,,,28952,375672,19,-2939,,
2015-08-12,2,2015,,,-13967,,622,2174,1884,2.0,,-98.0,,,,-1826,2827.0,113,-1150,,,-2989,3517,,37377,,-38252,-10.0,,40314,-1272.0,,119.0,2872,6211,-188,7153,1604,-38.0,1826,17267.0,2015年01月01日至2015年06月30日,371510,358408,-13102,-63991,86.0,,-16089,-17956,,,,,2.0,-63991,-49969,78737,28768,,12.0,,377,-603.0,-895.0,7700.0,,,46035,358408,79,-1820,,
2015-11-13,3,2015,,,38924,-15000.0,-82942,2018,-5972,2.0,,-59.0,,-4000.0,,-1711,4030.0,-411,-1411,,-6750.0,-3040,908,-145620.0,37901,,-44814,-9.0,,36188,3969.0,,119.0,-168770,9010,-20188,8917,2741,-306.0,1711,21129.0,2015年01月01日至2015年09月30日,371510,68131,-303379,-91622,-339.0,,-134200,-135552,0.0,0.0,,,2.0,-91622,-4220,-60839,-65059,,13.0,,378,-603.0,-895.0,7700.0,,,-43930,68131,-53,-2368,,-29795.0
2016-04-27,4,2015,,,-10743,-35000.0,2199,242,-35194,2.0,-415.0,,-56735.0,,263318.0,-1753,5180.0,-312,-2350,-1500.0,-6750.0,-10730,898,-119200.0,49950,,-48655,7164.0,,41344,5786.0,,15426.0,-226596,12000,9082,16687,4530,-605.0,1753,331036.0,2015年度,371510,45703,-325807,-451419,-668.0,,-98901,-99876,0.0,0.0,0.0,,2.0,-451419,-52660,73167,20507,,12.0,,379,-603.0,-895.0,6675.0,,,351543,45703,-173,-3606,18872.0,
2016-05-12,1,2016,,,-721,,3915,2890,-9032,0.0,,-594.0,,,,-1,1228.0,-106,-3046,,,0,1028,-35.0,12463,,-19530,,-28788.0,3562,3913.0,,,-3615,2308,-1157,-1029,1740,-378.0,1,9319.0,2016年01月01日至2016年03月31日,45703,29722,-15981,-32750,-15.0,,-56338,-55931,,,44078.0,,44078.0,-32750,-46164,13664,-32500,,0.0,,56,,,,60.0,-11.0,-23181,29722,-30,-884,4884.0,
2016-08-09,2,2016,,,-5282,,6321,-558,9052,0.0,,-619.0,,,,-34,2753.0,-86,-16957,,,0,379,,20544,,-20411,-35971.0,,8951,3145.0,,0.0,-7141,4371,2860,-1357,2656,-1335.0,34,20428.0,2016年01月01日至2016年06月30日,45703,14179,-31524,-66883,-32.0,,-59152,-57836,,,34855.0,,34855.0,-66883,-62254,50873,-11381,,2950.0,,-1159,0.0,-1626.0,7425.0,60.0,-11.0,9047,14179,-15,-215,14671.0,
