date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融資產增加,其他金融資產減少,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得無形資產,呆帳費用提列（轉列收入）數,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分無形資產,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預付設備款增加,預收款項增加（減少）
2013-11-14,3,2013,47523,-44655,19998,7537,-165,204,870,,-67702,0,0,2296,0,-3331,5958,6826,-19541,,-2382,-5241,,,5849,-45839,795,-54921,42451,70,-111644,47416,,1800,-5211,2202,,2013年01月01日至2013年09月30日,427479,523326,95847,108944,,94136,135725,,-136023,,63932,,106529,108944,,-24644,3902,-20742,223275,388,,259,0,26781,523326,-38580,0,662,0,2116,-24538,128
2014-03-18,4,2013,65747,-104055,53909,3520,-159,0,2727,,-149267,0,0,3393,0,-5704,8553,24705,-26141,,-2387,-4610,0,,11524,-29983,-314,-73839,40407,82,-208633,63086,0,2436,-8076,4574,,2013年01月01日至2013年12月31日,427479,506095,78616,161804,,157584,240312,171833,-136023,,-64635,,104960,161804,0,23753,-10992,12761,237840,560,,877,,78508,506095,-79226,-77,0,1186,4669,-34632,59
2014-05-12,1,2014,25895,-121412,-27596,3930,,34,-5721,,-108142,,,0,,-2535,2172,810,-8145,,0,9242,,,-47292,20220,-983,-33105,24374,30,-135143,16188,,644,-2427,1746,,2014年01月01日至2014年03月31日,506095,386638,-119457,60922,,-3825,14075,,0,,-11652,,18701,60922,,-7411,-65331,-72742,151765,313,,-146,,-46847,386638,-17219,330,0,,-7517,-19169,884
2014-08-12,2,2014,41852,-196203,-25185,6183,-2523,27,58,,-109942,,,0,,-5313,4367,-6808,-18666,,0,9076,,,-56022,67225,-5596,-66193,-13815,66,-172240,32356,-121,1274,-4406,4883,,2014年01月01日至2014年06月30日,506095,448789,-57306,147884,,57902,91658,,0,,33655,,63840,147884,,36635,-134713,-98078,226388,411,,-108,,-56226,448789,-34233,200,0,,-4803,-41520,98
2014-11-11,3,2014,56996,-271413,-25286,2948,-2518,33,168,,-137625,,,-354,,-8923,6578,3992,-31253,,-2152,7091,,950,-92045,8604,-5674,-9240,-16340,97,-229728,50082,-121,1953,-6733,7091,,2014年01月01日至2014年09月30日,506095,436380,-69715,223383,,82507,137948,,-33807,,62085,,73514,223383,,-21425,-121006,-142431,316649,747,,15,,-85435,436380,-55799,200,0,,-6376,-57523,801
2015-03-23,4,2014,76468,-273330,-3842,4420,-2512,-8,139,,-157552,,0,-2817,0,-12745,9065,18380,-68927,,-2369,9516,-404,,-98178,-5140,-5674,-48160,-7089,135,-307223,68138,-122,2601,-9247,10666,,2014年度,506095,500206,-5889,297709,,132769,203717,0,-33807,,138437,,150185,297709,,-13170,-157290,-170460,318885,1220,,-308,,-93992,500206,-72367,201,,0,-8300,-73862,1359
2015-05-11,1,2015,,0,-14673,-575,,264,6,0,-107667,,,-761,,-3901,2570,-2792,-30335,,,-673,,579,38745,-21015,0,48165,-15244,,-167156,18156,,608,-2779,3990,21302,2015年01月01日至2015年03月31日,500206,572251,72045,74003,3,113303,128488,157500,,,-28810,,128690,74003,4358,-35696,68879,33183,0,3896,,184,,54485,572251,-16396,0,,,-2218,-32868,-275
2015-08-03,2,2015,,-191480,-16158,362,,21,-115,,-25763,,,-515,,-7661,4977,-3252,-62369,-24883,0,-1199,0,575,51776,-33962,0,27450,-29640,,-147523,36155,-85,1188,-4068,9439,38318,2015年01月01日至2015年06月30日,500206,602690,102484,159394,5,165752,194219,173000,,398556,0,-292569,87507,159394,4358,-49058,45565,-3493,0,4320,,200,,34825,602690,-33838,300,0,,-4183,-38888,1036
2015-11-06,3,2015,,-138155,-20824,-242,0,483,-78,,8514,,,-231,,-11668,7389,10375,-85237,-90638,-3188,3798,,579,89201,-76785,0,75357,-35806,,-199786,56170,-205,1826,-4594,11587,62815,2015年01月01日至2015年09月30日,500206,681100,180894,242139,7,290939,337569,173000,-156188,398556,-197847,,79366,242139,4358,-97736,130351,32615,0,4690,,500,,95430,681100,-53623,442,0,,2124,-34275,-617
2016-03-14,4,2015,,-259570,-18383,-968,0,-43,-180,,-22693,,,-4633,,-15565,10068,-871,-128800,,-3195,8001,1389,,106628,-71245,0,92864,-22091,,-192667,76188,961,2510,-5797,16119,92595,2015年度,769709,991397,221688,317867,10,436486,496492,173000,-156188,398556,-229135,,-21260,317867,4358,-90564,176594,86030,52077,6501,,408,,178625,991397,-70328,-521,7148,,-620,-41236,-903
