date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,其他應付款增加（減少）,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他項目,利息收入,利息費用,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存出保證金增加,存貨（增加）減少,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,預付款項（增加）減少,預付設備款增加,預收款項增加（減少）
2013-05-09,1,2013,,23059,,-29393,108,-20,,,0,43019,-5518,-827,,-50005,0,-2248,,,1047,-1,-22455,-9196,-7425,40098,-3593,-122,-32237,33115,1203,21,,827,,,2013年01月01日至2013年03月31日,761306,838779,77473,42370,,108663,108745,,,1047,42370,,-13033,56349,43316,332,18858,-240,-4695,66375,838779,-82,-700,,32995
2013-08-08,2,2013,,46215.0,5389.0,-4556,20,-37,141358.0,,26274.0,-4853,-9570,-2137,0.0,-89022,0.0,-49094,-468.0,,17964,-117,-57350,-69937,-7509,91649,-87,-4040.0,-46002,66881,2179,45,0.0,2137,,,2013年01月01日至2013年06月30日,761306,1000454,239148,115632,,267186,298393,,0.0,17964,115632,,109405,27141,136546,332.0,60704,-240,-10943,182761,1000454,-33344,-2181,,54069
2013-11-14,3,2013,,42627.0,5389.0,-31552,418,-800,208555.0,,26274.0,200,-21168,-3250,0.0,-146939,0.0,-162935,-468.0,,19252,-117,-107144,-52748,-5198,143994,-4153,-8693.0,-149408,101864,2739,76,0.0,3250,17509.0,,2013年01月01日至2013年09月30日,761306,812737,51431,172508,,362115,421618,-181528.0,1000.0,-161276,172508,-17768.0,180800,25683,206483,332.0,111547,-264,-19602,249110,812737,-62753,-6414,,70018
2014-03-20,4,2013,,65253.0,5389.0,5706,-12,-1154,317850.0,,2260.0,268,-31373,-4494,1.0,-270157,0.0,-177033,-468.0,,19439,-236,-152383,37340,2057,-7068,-4,-13198.0,-251129,139449,3603,109,-1.0,4494,17767.0,,2013年01月01日至2013年12月31日,761306,922760,161454,251849,,574672,632961,-181528.0,,-162089,251849,-17767.0,482757,-166898,315859,332.0,171017,-244,-24031,381112,922760,-62782,-6557,,133014
2014-05-08,1,2014,,23095.0,,-31552,41,730,100567.0,,0.0,-63,-12154,-1156,,-75252,,-12315,,21.0,771,0,-46998,9426,-8147,-78946,-1374,-4300.0,-84735,37402,756,32,,1156,,,2014年01月01日至2014年03月31日,922760,887293,-35467,90921,,48497,47457,,,771,90921,,58941,-125500,-66559,0.0,4932,2,-1808,-43464,887293,-116,1151,-2100.0,-7094
2014-08-07,2,2014,,42873.0,10996.0,-16281,300,932,188913.0,,-16.0,-11213,-26326,-4671,,-182305,,-20824,0.0,22.0,5641,0,-79540,-77359,-8259,51090,-401,-4303.0,-184148,76405,735,64,,4671,500.0,,2014年01月01日至2014年06月30日,922760,1057370,134610,188976,,313117,313630,,,5641,188976,-500.0,119798,-38017,81781,732.0,6769,-683,-2173,124654,1057370,-5184,1115,,36787
2014-11-13,3,2014,,57657.0,10996.0,-33462,621,383,288836.0,,-16.0,-1631,-42099,-6144,,-282318,,-83050,0.0,22.0,7477,0,-118014,-85232,-571,101574,-155,-9681.0,-309624,117671,289,96,,6144,16275.0,,2014年01月01日至2014年09月30日,922760,931552,8792,259180,,503358,519623,-192419.0,0.0,-184942,259180,-16275.0,233001,-30215,202786,732.0,27757,-683,4780,260443,931552,-22409,-12372,,72490
2015-03-19,4,2014,,92242.0,11641.0,-7192,117,221,397046.0,,8968.0,-13,-59977,-7789,1.0,-372439,,-99839,0.0,22.0,7990,-20,-153454,796,2999,-33543,-264,-15368.0,-397432,163976,-642,128,-1.0,7789,16842.0,,2014年度,922760,1209058,286298,319818,,868159,882991,-192419.0,,-184429,319818,-16842.0,685846,-214915,470931,771.0,36644,1200,12165,563173,1209058,-22620,-27862,,307448
2015-05-05,1,2015,,,,-25553,-65,-186,73063.0,,,-47,-19519,-1782,,-133719,,-22708,,0.0,676,-7,-4775,-35956,-9471,14399,-5886,,-82487,42981,257,32,,1782,,10237.0,2015年01月01日至2015年03月31日,1209058,1231812,22754,101708,-44.0,104565,102962,,,676,101708,-10722.0,-3102,-5881,-8983,,73947,11,-1021,1254,1231812,-179,-9386,0.0,-5076
2015-08-13,2,2015,,,0.0,-16332,-205,-714,200811.0,,-302673.0,-29,-41222,-5764,,-255651,,-51379,,1.0,2098,-7,7376,-116308,-11122,110277,-6591,,-482192,87971,211,54,,5764,12122.0,25232.0,2015年01月01日至2015年06月30日,1209058,1033097,-175961,198316,-88.0,304133,331635,,,2098,198316,-12122.0,852,107235,108087,198.0,115198,19,-3916,133319,1033097,-33266,-3084,,-55904
2015-11-10,3,2015,,,0.0,-18801,300,-802,350093.0,,-302673.0,44,-65670,-7665,,-393366,,-69349,,2.0,3834,-7,9877,-88295,-11173,84461,-7032,,-619869,134931,-564,97,,7665,30121.0,27104.0,2015年01月01日至2015年09月30日,1209058,833394,-375664,296127,-2834.0,440487,491549,-200116.0,,-196282,296127,-30121.0,78254,90064,168318,207.0,115198,10,-3916,195422,833394,-58727,3516,,-151036
