date,season,year,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融資產增加,其他金融資產減少,其他非流動資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得無形資產,合併發行新股追溯調整,呆帳費用提列（轉列收入）數,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,非金融資產減損損失,預付款項（增加）減少,預付設備款增加,預收款項增加（減少）
2014-04-23,4,2013,109641,44119,,-927,-4974,,9840,,19168,-635,841,16792,-27902,-1155,0,13119,-12,,-31775,-12703,-9836,-139564,67986,-32862,60195,766,-841,635,,2013年01月01日至2013年12月31日,236053,300861,15826,64808,219891,174722,251643,,-93844,0,-93844,219891,20653,-98542,-77889,,361,31752,300861,-76080,0,9785,-14268,
2014-11-04,3,2014,48444,14609,171,-346,166,,0,,,-816,,5555,-33162,-639,,-3196,-296,,-7873,-15006,0,-3280,20171,-97436,48954,926,,816,,2014年01月01日至2014年09月30日,300861,283798,,-17063,147314,173710,218052,,-98892,,-98892,147314,-1022,23316,22294,,4,70738,283798,-44342,2572,13961,-64155,-279
2015-03-06,4,2014,86473,-4771,2,-298,166,,0,,0,-1001,0,12521,-85215,-633,,-4378,0,,-8662,-52799,0,199140,17066,-123960,66239,1348,0,1001,,2014年度,300861,616335,17413,315474,114915,318703,370984,207102,-98892,,108210,114915,-57430,227026,169596,,4,256069,616335,-52281,6848,19314,-39113,438
2015-05-08,1,2015,,-13659,1288,172,0,,,,,-580,,-5810,-39590,,,-1383,-293,,-1261,-607,,51432,5937,-28373,19696,449,,580,19704,2015年01月01日至2015年03月31日,616335,606398,-2694,-9937,-30913,24246,24196,,,,,-30913,-14552,49957,35405,647,-93,55109,606398,50,4309,-7439,10283,-458
2015-07-31,2,2015,,-13714,1294,115,0,,,,,-1824,,-14404,-17801,-210,,-1355,-288,,23368,5098,,42202,-367,-29171,39744,1047,,1824,45632,2015年01月01日至2015年06月30日,616335,590830,-6336,-25505,-78922,18070,13715,,,,,-78922,-9197,56202,47005,641,-92,92637,590830,4355,14448,-10295,-13337,-696
2015-11-03,3,2015,,-16974,1253,365,0,,,,,-3303,,10167,-37604,-508,,-2260,-300,,20099,-3101,,51410,1997,-34873,59711,1486,,3303,66429,2015年01月01日至2015年09月30日,616335,497318,-2223,-119017,-86986,19796,24782,,-114107,,-114107,-86986,-15075,60414,45339,642,-92,111768,497318,-4986,13110,-14345,-406,4635
2016-03-22,4,2015,,-25476,893,222,-2,,,,,-5515,,-11741,-45341,-512,,26025,,10,32709,-3654,,59796,3980,-48433,79826,1856,,5515,191790,2015年度,616335,463085,-5169,-153250,-222986,21031,24535,0,-114107,,-114107,-222986,-29741,85472,55731,648,-93,247521,463085,-3504,94860,-11904,-8753,-833
2016-04-28,1,2016,,-8549,141,-43,-1,,,-329,,-2030,,-2425,-8090,,,1182,-45,,751,-8173,,19398,5508,-7351,18809,358,,2030,22549,2016年01月01日至2016年03月31日,463085,452303,,-10782,-40541,-1006,-1006,,,,,-40541,-16335,33321,16986,0,0,39535,452303,0,4230,7524,-917,430
2016-08-11,2,2016,,-10867,164,6,,-192769,,-320,,-3111,,-18440,-8147,0,,3556,-33,,10162,-6001,,28710,2848,-201263,36784,707,,3111,102610,2016年01月01日至2016年06月30日,463085,252691,,-210394,-130458,9309,9381,,,,,-130458,-16044,53273,37229,0,0,139839,252691,-72,64674,11389,-3105,818
2016-11-02,3,2016,,-13436,112,-89,2,-188033,,,,-4528,,-37084,-6884,-269,,8756,-33,,7379,-6253,,57457,-20416,-195562,53750,964,,4528,126773,2016年01月01日至2016年09月30日,463085,215045,,-248040,-172152,-15394,-13845,,0,,0,-172152,-19168,50702,31534,0,0,158307,215045,-1549,67831,6168,-4871,610
