date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他金融資產增加,其他金融資產減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,其他預付款項增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,非金融資產減損損失,預付款項（增加）減少,預付設備款增加,預付費用（增加）減少,預收款項增加（減少）
2013-08-08,2,2013,28335,-4741,-11158,,1956,,,1436,-4058,,,0,0,-1059,-552,0,,0,-605,1195,790,-11271,-294,828,,,-1985,2472,-2650,0,-1485,-12762,-228,-2923,95,-13564,20914,1500,-2028,605,,2013年01月01日至2013年06月30日,121820,173692,51872,93650,,71718,90326,,,,-1660,-7072,93650,-15513,-16146,-31659,388,538,-3,-3324,173692,-17185,4506,-3336,,2733,-1751
2013-11-08,3,2013,41928,-10912,-9840,,1295,,,1424,-2022,,,0,,-1155,,146,,0,-660,1795,816,-14178,-294,3142,,,-2285,-5739,-2160,0,-578,-8570,984,-24375,82,-24536,31896,2211,-2569,660,,2013年01月01日至2013年09月30日,121820,107139,-14681,149939,,92999,126070,,-77400,,5253,-83960,149939,-14420,-51377,-65797,254,538,-3,-23869,107139,-31162,3547,-14776,-8463,1826,-3348
2014-03-27,4,2013,53402,-10440,-337,,2061,,,-1291,-9169,-4379,,-200,,,,310,,0,-921,2409,1550,-19100,-294,2141,-1436,,-2284,-2184,14690,0,419,-26118,-1228,18097,187,-32563,41652,2391,-3205,921,,2013年01月01日至2013年12月31日,121820,438361,316541,225303,,222531,254951,215700,-77400,,-1401,125023,225303,6882,-30636,-23754,0,538,20,29648,438361,-30136,5710,1451,-11533,-13546,-2407
2014-05-05,1,2014,13053,-5243,-26842,,926,,,-740,215,,,200,,0,,683,,,-172,420,1321,-9036,-1939,1398,7,,-164,-41662,-22608,,-2421,25258,433,-847,-23,-10958,10842,565,-457,172,,2014年01月01日至2014年03月31日,438361,408776,-29585,37970,,-18627,-20558,,,3915,,-1321,37970,-52209,-19372,-71581,0,,,-58528,408776,2216,0,-9721,-702,6026,425
2014-08-05,2,2014,27796,-5758,-17044,,1489,,,1390,-3939,,,-320,,0,322,,,,-470,1033,-1275,-19709,-2575,1684,,-1,-1263,-35893,-24182,,-987,12278,-556,991,30,-47747,21999,1380,-1070,470,,2014年01月01日至2014年06月30日,438361,423750,-14611,93932,,24472,58175,,,,15698,9939,93932,-41839,-21714,-63553,0,0,0,-35757,423750,-33103,2170,-6221,-24202,10137,-1046
2014-11-04,3,2014,41344,-11749,-15304,,437,,,-610,-9776,,,-1120,,0,-1213,,,,-530,1638,3056,-83867,-2575,762,5,0,-456,-65360,-10480,,-2249,8655,256,282,-11160,-122917,34631,2259,-1675,530,,2014年01月01日至2014年09月30日,438361,272742,-165619,165734,,59229,110183,,-116160,,3506,-104987,165734,-40986,-55909,-96895,19411,0,0,-55551,272742,-49809,2584,-3112,-33686,12709,-1183
2015-03-18,4,2014,57443,-12160,3943,,1738,,,-610,-13506,0,,200,,,,-5061,357,,-799,2104,16350,-107953,-2575,1682,15,0,-315,-96580,-352,,-2600,7728,685,483,-15544,-130812,46281,3162,-2141,799,,2014年度,438361,339302,-99059,240377,,136574,192302,0,-116160,,-14566,-121171,240377,-18373,-87145,-105518,21700,0,23,-48075,339302,-54386,4633,-1624,-15108,13931,-3210
2015-05-05,1,2015,,-5956,-21440,,-419,,-1183,-20,20620,,,0,,,,-28034,,,-131,422,-7099,-3477,-471,-198,0,-6,-113,-5832,-19448,,0,-488,1031,1421,,-43137,11982,776,-422,131,16270,2015年01月01日至2015年03月31日,339302,324936,-14366,55608,16,40566,48248,,,0,-6162,-4696,55608,-35361,11731,-23630,7428,,,-7360,324936,-7391,3419,-1021,-9859,-3581,5531
2015-08-05,2,2015,,-23778,-12722,17,367,,-1183,-35,15231,,,0,,,-69136,,1044,,-489,933,-15587,-15412,-471,218,,-15,-2802,-9492,-23006,,0,6055,-477,-52436,,-97638,24244,815,-933,489,32347,2015年01月01日至2015年06月30日,339302,289617,-49685,126081,28,60677,87980,,,,14075,2863,126081,-29943,-40505,-70448,12581,,55,-38101,289617,-26859,5527,-672,-8634,919,5775
2015-11-05,3,2015,,-28397,-19608,11,-1728,,-1183,-233,12039,,,0,,,-139546,,1566,,-632,1354,-42,-18104,-471,-191,0,-4,-2815,-20287,-11527,,0,-6494,1302,-47131,,-175525,36801,1204,-1354,632,45684,2015年01月01日至2015年09月30日,339302,156132,-183170,221494,39,117451,165457,,-130680,18543,,-125054,221494,-26815,-74906,-101721,15484,,55,-56037,156132,-47284,5527,-15696,-13406,3089,4503
2016-03-18,4,2015,,-32173,8934,5,-2550,,-1183,401,12723,,,0,,,,3634,2088,,-971,1757,1393,-177614,-2134,2863,0,-4,-1450,-8944,-804,,0,-39867,-2942,-6792,,-183940,49820,1912,-1757,966,63051,2015年度,339302,295043,-44259,321761,53,279119,338486,,-130680,1950,,-140831,321761,10766,-57092,-46326,20076,,55,16725,295043,-58576,5527,-10166,-5193,1446,2177
2016-05-05,1,2016,,-28034,-30057,-5,1358,,-17,-1139,7471,,,,,,1190,,529,,-976,313,-6139,-2802,0,-22,,-5,57,-34518,-11562,,,31571,-231,2408,,-11782,13284,568,-313,976,13696,2016年01月01日至2016年03月31日,295043,311269,16226,62947,-1255,31289,43044,,,30897,,2858,62947,-43454,9855,-33599,0,,,-19903,311269,-12418,0,2180,-10210,-384,564
2016-08-05,2,2016,,-27996,-15257,-5,826,-9,0,-1320,4483,,,,,,2282,,1029,,-2343,653,-344,-12495,-270,250,,-2,-39,-33289,-15916,,,17741,3314,-45576,,-20477,25879,1116,-653,2343,26584,2016年01月01日至2016年06月30日,295043,333451,38408,142749,-1244,42809,87271,,,,44418,16420,142749,-33904,-48158,-82062,0,,0,-55478,333451,-46152,0,4059,-9955,293,-162
2016-11-04,3,2016,,-32686,-18062,-5,343,,0,-869,4377,,-42826,,,,2840,,1510,,-3770,1039,-11497,-16036,-270,353,,-11,-664,-40988,-14726,,,6442,2556,-5494,,-65983,38203,1620,-1039,3770,39131,2016年01月01日至2016年09月30日,295043,291415,-3628,230452,-1232,152038,209605,,-145200,,99711,-78186,230452,-32931,-27047,-59978,0,180,-15,-20847,291415,-60298,191,3951,-9207,1766,1963
