date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加,其他應付款－關係人減少,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他金融負債增加,其他金融資產增加,其他金融資產減少,其他非流動資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,金融資產減損損失,非控制權益變動,預付款項（增加）減少
2013-05-10,1,2013,32119.0,,-2400,660,,,-1490,211,-1954,-6234,,,-205.0,,0.0,,-276,6959,-7539,-543,,,5492,,-4531,27413,2638,1246,-737.0,-17785,-8144,-818,-18,-105.0,-709,17881,-26,1955,-4518,276,,2013年01月01日至2013年03月31日,196749,196357,-392,-22278,-15155,-10913,25411,,23011,-22278,29161,-49915,-20754,,39,134,11365,196357,,,-11106
2013-08-09,2,2013,66249.0,,-4800,5245,26474.0,-26919.0,414,211,22499,-4361,,,-1690.0,6025.0,-748.0,,-539,14843,-10945,-577,-28570.0,0.0,11794,,21302,-3263,4254,7051,-737.0,-61617,-3119,-93,0,-199.0,-24910,35973,-26,2982,-9454,539,,2013年01月01日至2013年06月30日,196749,170505,-26244,-21787,11334,20249,3522,,-1723,-21787,34850,-59063,-24213,,650,1222,42036,170505,,0.0,-11800
2013-11-08,3,2013,107669.0,,-7200,-9818,38890.0,-26919.0,-197,211,10573,168,,,-2279.0,0.0,-10195.0,,-1405,23139,-1013,-7119,-28570.0,0.0,30141,,20113,-8881,2344,16751,-322.0,-60610,3776,274,0,-281.0,-45670,50732,-37,3890,-14047,1405,,2013年01月01日至2013年09月30日,196749,150292,-46457,-65777,-5931,6711,1386,,6157,-65777,10366,-45547,-35181,,2493,1209,72488,150292,,0.0,-9282
2014-03-26,4,2013,127483.0,,-9600,3432,0.0,,-1363,-56,17964,-1469,,,-1946.0,1498.0,-24861.0,,-917,29721,-12653,-7119,-28570.0,0.0,25755,,-32330,-19645,10742,2785,-737.0,-39568,-14114,-2032,0,-2806.0,-58499,65020,376,4770,-18800,917,,2013年01月01日至2013年12月31日,196749,77563,-119186,-49088,-26464,-8581,-11970,,-21570,-49088,11735,-98711,-86976,,2499,1258,40507,77563,1500.0,0.0,-7779
2014-05-08,1,2014,25841.0,,-2400,-7508,,,857,-655,33170,1592,-104.0,,3029.0,,,,-135,5939,-16979,-11,,,4480,,33722,21877,5639,-11297,0.0,-73391,-7409,1745,-1021,0.0,3018,14443,218,896,-4266,135,,2014年01月01日至2014年03月31日,77563,98726,21163,-21701,-1581,2550,39105,,36705,-21701,41881,-43471,-1590,,0,0,24251,98726,,,1193
2014-08-08,2,2014,58683.0,,-4800,-9703,0.0,0.0,1394,-977,29856,1702,-210.0,,-106.0,2653.0,-52.0,,-384,17098,5023,-15,0.0,,11194,,9079,24951,-6172,-27285,0.0,-54528,-2707,1007,-680,0.0,2510,28699,326,1780,-8917,384,,2014年01月01日至2014年06月30日,77563,43924,-33639,-25002,-15002,-6469,-21370,,-26170,-25002,11647,-51797,-40150,,30,-30,18533,43924,,,-5877
2014-11-05,3,2014,75899.0,,-7200,-4237,0.0,0.0,212,-982,291,3161,-301.0,15.0,0.0,2302.0,-61.0,,-508,23703,-3942,-15,0.0,,6931,,18881,-14699,-5342,-867,351.0,-22789,14220,1974,-340,0.0,2256,42843,315,2645,-13285,508,,2014年01月01日至2014年09月30日,77563,71949,-5614,-41005,-2796,9981,6053,,-1132,-41005,-24503,-410,-24913,,30,-30,50986,71949,,,-14446
2015-03-26,4,2014,75092.0,,-9600,-9086,4748.0,,8380,-632,-18784,89,-1048.0,15.0,-432.0,5574.0,-1602.0,,-661,28906,-17952,-2088,0.0,,-14728,,44766,-6178,-8640,-13513,0.0,20048,13625,1178,-1361,0.0,2480,57278,525,3513,-17932,661,,2014年度,77563,194242,116679,-66417,25686,42957,-119898,,106465,-66417,-56201,90483,34282,231200.0,1028,259,109374,194242,0.0,,5438
2015-05-05,1,2015,,,-2400,-883,,-490.0,618,-382,-4091,-4790,-87.0,,,5908.0,-1082.0,,-269,6281,4639,0,,,-8744,,20462,17383,1386,-8586,6.0,-4009,-7113,1132,340,,5142,14858,229,977,-4452,269,13016.0,2015年01月01日至2015年03月31日,194242,165955,-28287,-10604,7133,11316,0,-42311.0,-45201,-10604,5215,3689,8904,,316,-316,21920,165955,,,-2482
2015-08-07,2,2015,,,-4800,-3483,,-490.0,2539,-378,-504,-2545,-170.0,,-50.0,80.0,-1082.0,,-598,12892,5833,-1085,-28570.0,,-8220,,45961,17458,4370,14992,322.0,-3283,-32513,1132,681,,-30378,29315,581,1977,-9491,598,35713.0,2015年01月01日至2015年06月30日,194242,220281,26039,-26026,32945,41838,22929,0.0,17639,-26026,33155,-1004,32151,,329,-234,67864,220281,,,-12428
