date,season,year,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融資產增加,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,利息收入,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得無形資產,呆帳費用提列（轉列收入）數,員工購買庫藏股,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,金融資產減損損失,預付款項（增加）減少,預付費用（增加）減少
2013-05-07,1,2013,11679.0,-41680,-55677,-12840,18,3943,-17,-375.0,80894.0,,,,,,-1337,-116,-64018,0.0,109,,,,5230,,12298,12921,30841,8784,-21572,2617,,-64017,12875,,1337,,,2013年01月01日至2013年03月31日,803481,825003,21522,68505,,85655,84318,,,,68505,,,-68340,72474,4134,1,,32,,15813,-5000.0,825003,,,-16251.0,
2013-08-14,2,2013,17927.0,-69160,-53025,-6705,96,141,205,-350.0,,,,,,82301.0,-2443,130,-90094,-586.0,368,,,,-7104,,2970,1001,22302,11736,-11564,5181,,-7331,26765,,2443,5864.0,,2013年01月01日至2013年06月30日,803481,659959,-143522,125663,,13376,23111,,-149697.0,-149697.0,125663,,-5864.0,-130527,10048,-120479,1048,,-899,,-102552,-5000.0,659959,-18042.0,,-11203.0,
2013-11-14,3,2013,32581.0,-10670,-44135,-10162,84,5658,175,-323.0,,,,,,82527.0,-3372,-36,-101086,-3056.0,715,,,,-7043,,-1841,234,8512,21988,-1133,-3461,,-20534,41796,,3372,5864.0,,2013年01月01日至2013年09月30日,803481,741581,-61900,159721,,108367,138286,,-149697.0,-149697.0,159721,,-5864.0,-63120,9104,-54016,1081,,-694,,-21435,-5000.0,741581,-39155.0,,-6899.0,
2014-03-05,4,2013,47197.0,-22742,-24529,-2927,-7,4470,-135,,,-4931.0,,-400.0,,93200.0,-4643,-2763,-109355,-3056.0,2632,0.0,,0.0,-18017,,-1015,-289,2803,12458,-2214,1661,107.0,-22861,55507,,4643,5864.0,,2013年01月01日至2013年12月31日,629556,1035540,405984,222232,,184091,212866,397614.0,-149697.0,247517.0,222232,87.0,-5864.0,-67015,10452,-56563,1281,,-522,,-9366,-5000.0,1035540,-39282.0,,-1187.0,
2014-05-13,1,2014,12157.0,-42703,-966,2413,420,-139,-86,,,,0.0,,,4360.0,-1446,-93,-14750,,335,,,,-7623,399.0,-3639,4384,32734,21565,-27175,1946,0.0,-10390,13237,,1446,,,2014年01月01日至2014年03月31日,1035540,1058438,22898,51634,,33381,31935,,,0.0,51634,,,-50287,18431,-31856,0,,31,,-19699,0.0,1058438,,,-13386.0,
2014-08-12,2,2014,19237.0,-15299,-3005,5557,218,1496,-137,,,,,0.0,,2515.0,-3416,-156,-33365,0.0,108,,,,-3744,21.0,-8139,2553,-4115,6162,8225,2933,0.0,-30835,27361,,3416,5236.0,,2014年01月01日至2014年06月30日,1035540,1094606,59066,96655,,90057,98011,,0.0,0.0,96655,,-5236.0,-26117,8236,-17881,15,,420,,1356,0.0,1094606,-16606.0,,-10607.0,
2014-11-07,3,2014,32456.0,-19374,-533,2787,-163,1228,310,,,,700.0,0.0,-53128.0,0.0,-5083,93,-41989,-1889.0,395,,,,13561,185.0,-8028,831,-7760,13427,4972,-6764,0.0,-96961,41902,,5083,5236.0,,2014年01月01日至2014年09月30日,1035540,912685,-122855,118608,,116514,138386,,-143201.0,-142501.0,118608,,-5236.0,-12130,-548,-12678,45,,478,,19778,0.0,912685,-32191.0,,-7357.0,
2015-03-04,4,2014,23934.0,-8070,3018,4812,90,1569,398,,,,,0.0,-10648.0,0.0,-6973,526,-45455,-3939.0,655,,,,8537,-29.0,-6811,-98,-23755,11753,5426,-3775,228.0,-19105,53988,2630.0,6973,5236.0,,2014年度,1035540,1049303,13763,183485,,175543,195714,0.0,-143201.0,-143201.0,183485,0.0,-5236.0,-1656,-10049,-11705,48,40889.0,418,-21548.0,12229,0.0,1049303,-32380.0,,-4998.0,
2015-05-12,1,2015,,-30257,2228,1343,405,549,-46,,,,,-300.0,,217.0,-1713,-285,-33176,-114.0,340,,,,-5206,25.0,-1156,-157,28558,8402,-18480,4491,,-33044,14829,830.0,1713,,14303.0,2015年01月01日至2015年03月31日,1049303,1059023,9720,51327,81.0,43349,41636,,,-300.0,51327,,,-33893,9899,-23994,29,,17,,-9691,,1059023,,,,-14774.0
2015-08-10,2,2015,,-18430,-3151,2103,464,156,-72,,,,,32.0,-15189.0,0.0,-3621,-283,-82920,-24.0,144,,,,8946,-81.0,-1323,121,21099,2435,-11,1924,,-38656,30480,1697.0,3621,10295.0,-14774.0,2015年01月01日至2015年06月30日,1049303,1115581,66278,115889,163.0,105185,103566,,,32.0,115889,,-10295.0,-13599,16050,2451,90,59387.0,32,-33211.0,-12323,,1115581,-12297.0,,,-11892.0
2015-11-10,3,2015,,-32483,-3542,3362,269,-575,-210,,,,161.0,,-669.0,,-5267,210,-151349,-1914.0,372,,,,14120,-223.0,-1218,573,1679,7011,14517,-6680,,-94428,49303,2634.0,5267,10295.0,3730.0,2015年01月01日至2015年09月30日,1049303,960753,-88550,124371,,110521,121305,,-105014.0,-104853.0,124371,,-10295.0,-23348,16552,-6796,117,59387.0,194,-33211.0,-3066,,960753,-26346.0,,-3396.0,
2016-03-08,4,2015,,-26656,-5027,4254,386,1423,-72,,,,,-60.0,,4159.0,-6897,-192,-174197,-2063.0,103,,,,7085,-314.0,370,3263,9703,460,16965,171,,-112573,68720,3452.0,6897,10295.0,45327.0,2015年度,1049303,1005884,-43419,125154,328.0,174420,183729,,-105014.0,-105074.0,125154,,-10295.0,-19528,32776,13248,141,59387.0,380,-33211.0,58575,,1005884,-26501.0,23075.0,909.0,
2016-05-11,1,2016,,-13721,-235,-7802,215,-2557,55,,,,-54.0,,-3983.0,,-6741,-122,-9811,-54.0,-9676,,-1386.0,,4027,-149.0,-1510,-3377,9615,12374,-10678,-3383,,-13767,18473,759.0,6741,,2927.0,2016年01月01日至2016年03月31日,1005884,1016238,10354,55682,0.0,24297,17556,,,-54.0,55682,,,-28786,-12267,-41053,81,,112,,-38126,-11264.0,1016238,,,-11277.0,
2016-08-11,2,2016,,4210,-341,-504,264,-2598,71,,,,164.0,,-3307.0,,-7620,-249,-14379,-1.0,-9711,,-1143.0,,574,-155.0,-1354,-3165,19848,6464,-7681,-1279,,-17561,36184,1510.0,7620,8001.0,12562.0,2016年01月01日至2016年06月30日,1005884,1081626,75742,82059,172.0,93388,87227,,,164.0,82059,,-8001.0,-13921,6527,-7394,126,0.0,200,0.0,5168,-11264.0,1081626,-9460.0,,-9513.0,
2016-11-10,3,2016,,-59,-513,-306,-54,-3682,72,,,,425.0,,-3132.0,,-8488,-332,-40218,-1207.0,-9669,,-1093.0,,15850,-155.0,-1715,-3055,5139,9514,-3368,-6978,,-44362,51487,2145.0,8488,8001.0,27663.0,2016年01月01日至2016年09月30日,1005884,1013902,8018,92130,0.0,109567,111788,,-57280.0,-56855.0,92130,,-8001.0,-4593,-3412,-8005,195,0.0,189,0.0,19658,-11264.0,1013902,-18710.0,,-6338.0,
