date,season,year,不影響現金流量之收益費損項目合計,停業單位稅前淨利（淨損）,償還公司債,償還長期借款,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,利息收入,利息費用,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分無活絡市場之債務工具投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少
2013-08-05,2,2013,253,0,0,0,2043,,11417,-12322,,,137,-3691,,-1050,,,,,-2001,,,82277,,-2891,,-157030,,-17463,,-6742,35,,81,0,,,2013年01月01日至2013年06月30日,21400,329944,,308544,66844,-225751,-225751,331160,,,209900,0,541037,66844,90803,-383651,-292848,,,,,,,,-292595,329944,-24,,0,1,,,-198879
2013-11-12,3,2013,2349,,0,0,2043,,18220,-10909,,-259,2151,-4760,,-1051,,,,0,-4630,,-522888,193471,,-1423,,-278786,,-18580,,-10182,288,,169,-1872,259,,2013年01月01日至2013年09月30日,21400,486030,,464630,152839,-464648,-464648,331160,,,582900,-147200,939460,152839,210268,-830104,-619836,147500,0,0,0,0,0,,-617487,486030,-28,,0,27000,,,-984
2014-03-25,4,2013,5188,,0,0,2043,27000,44561,-21606,,-553,4991,-4841,,-1050,,,,0,-11438,0,-704728,345531,0,5114,-2964,-370064,-9200,-20696,,10224,585,-9766,256,-4757,553,,2013年01月01日至2013年12月31日,21400,465060,,443660,338326,-397809,-397809,331160,,,805900,-448500,831245,338326,392242,-1133565,-741323,147500,0,0,0,0,0,,-736135,465060,-58,-91,0,,,,452
2014-05-14,1,2014,2230,,,,-16332,,-12851,-17338,,-138,2173,,-182463,,,,,,-2151,,-243109,-24520,,15079,,83213,9200,-54713,,-184476,303,10053,88,-4027,138,,2014年01月01日至2014年03月31日,465060,680535,,215475,243480,-5608,-5608,0,,,450000,-320400,405559,243480,-22292,-229026,-251318,280000,,,,,,,-249088,680535,-14,-196,,,,,
2014-08-12,2,2014,49532,0,0,,-24991,,8409,-23013,-134152,-548,6140,-843,-182463,0,,,43346,,-9223,,-368374,15022,,5089,,167997,9200,-123057,,-191981,615,86,175,-7343,548,,2014年01月01日至2014年06月30日,465060,610768,,145708,344538,-73714,-73714,0,,,455000,-362400,411403,344538,28520,-496304,-467784,326200,,,,,,,-418252,610768,-54,-196,,0,,,
2014-11-12,3,2014,111371,,,516200,-9956,,32145,-20876,-131907,-667,10381,-843,-182463,0,-68660,,43346,,-12899,,-500945,-12413,,1220,,161879,7533,-126754,,-264198,970,99,263,-15617,667,,2014年01月01日至2014年09月30日,465060,587452,,122392,393995,-94609,-94609,0,,300000,600000,-919318,481199,393995,20952,-620927,-599975,,,,,,,,-488604,587452,-66,-123,,0,57201,,
2015-03-25,4,2014,86570,,0,0,-39176,0,26209,-16728,-131907,-1114,14126,-843,-182463,0,-76940,,43346,0,-15829,0,-296135,-105974,0,-2379,0,173765,5180,-108533,,-274961,1325,130,350,-20115,1114,,2014年度,465060,622050,,156990,352355,-56623,-56623,0,,300000,50000,-357400,488574,352355,-82144,-413404,-495548,516200,0,0,0,310,0,,-408978,622050,-111,-123,0,0,28350,,
2015-05-12,1,2015,,,,,31605,,-37864,446,,-133,3709,,0,,,,1796,,2582,,76394,-168431,,2736,,87258,4020,-14024,,2715,331,10070,88,-3464,133,5571,2015年01月01日至2015年03月31日,622050,664873,,42823,45799,43580,43580,0,,,50000,-50000,-3472,45799,-203559,195769,-7790,0,,,,,,,-2219,664873,-8,-220,,,,,
2015-07-31,2,2015,,0,0,-106400,33608,,-35006,7742,-278,-625,15317,0,0,0,,11004,1604,,6988,,109293,-158605,,-1004,,104613,-4854,31404,-9860,19426,542,7166,175,-9411,625,-15358,2015年01月01日至2015年06月30日,622050,751132,-4563,129082,56606,125467,125467,0,,,50000,-50000,-15811,56606,-194615,278834,84219,100000,809,,,793,,,68861,751132,0,-251,,0,,-28350,
2015-11-12,3,2015,,,,-252800,29989,,-77360,7294,-278,-790,18599,0,0,0,,16100,11647,,11693,,266717,-143711,,-1528,,-130716,4020,34599,,29392,693,2084,263,-25778,790,2604,2015年01月01日至2015年09月30日,622050,575643,,-46407,101889,95603,95603,0,-42800,0,150000,-100000,-171402,101889,-222599,213709,-8890,100000,809,,,793,,,-6286,575643,-24,-251,,0,-28350,,
