date,season,year,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他應付款－關係人增加,其他應收款（增加）減少,其他應收款－關係人減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他金融資產（增加）減少,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,原始認列時指定為透過損益按公允價值衡量之金融負債減少,取得不動產、廠房及設備,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付短期票券增加,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預付設備款增加,預付設備款減少,預付費用（增加）減少,預收款項增加（減少）
2013-08-14,2,2013,107797,16415,-4381,885,,74,-134,-65,1294,,659,-2833,34878,83026,,-36458,-573837,,,,,-15349,,8215,-9066,0,-3110,,-499,-34211,43225,-103563,62274,,-114,690,-28135,2833,692,,2013年01月01日至2013年06月30日,323414,753263,429849,167440,295208,307414,,,187694,,155178,167440,-692,15465,16712,32177,1629,493577,2135,,-1513,,,139974,753263,-12206,3033,,24629,0,15575,-214,,-791,2585
2013-11-08,3,2013,135884,104,-4346,-554,33,73,-72,,609,18,989,-4884,44210,71121,,-55547,-1535737,-1933,,,,-14111,0,7914,207848,0,81400,,-2254,-11359,-1663,-44948,95570,,-477,1038,-41423,4884,2500,,2013年01月01日至2013年09月30日,323414,832650,509236,182798,444381,471391,,,84451,,38682,182798,-2500,84971,67738,152709,1833,1526987,2740,,-2749,,,288593,832650,-27010,964,,15094,,-119214,,4100,-7857,5648
2014-03-14,4,2013,163383,25393,-4361,-7761,,88,-56,,-29011,13,1325,-7986,52663,103708,-14,-73462,-2935,-1968,,-200937,,-17537,-335,8243,161300,0,51082,,-7008,-22523,-44732,-247319,132961,,-829,1395,-47315,7986,2914,,2013年01月01日至2013年12月31日,355102,983314,628212,292131,475313,500643,392915,-450000,406519,,296510,292131,-2914,82629,-37500,45129,2007,8975,4140,-2391,-1115,,,208512,983314,-25330,1280,-1234,,,-78766,,4571,-15951,13074
2014-08-08,2,2014,52645,-56886,0,3931,,-21,-90,,44178,52,672,-11025,23772,-49458,,-16032,-7813,,,-1185,,3911,,379,-329119,,24002,,7240,4989,17086,-12212,68766,,-805,699,-24360,11025,0,,2014年01月01日至2014年06月30日,983314,828433,-154881,308419,21198,104591,,,-90049,,-114409,308419,0,-17640,-238833,-256473,713,6837,268,,-12,,,-203828,828433,-83393,138,,0,-33739,8595,-6188,,11597,8025
2014-11-05,3,2014,103288,-31808,391,-4676,69,31,-40,,52284,103,1007,-12517,37635,7685,,-30643,-8443,0,,,,6693,,5041,-403029,,16080,,10577,-86297,16077,185605,99778,,-1008,1046,-36732,12517,641,,2014年01月01日至2014年09月30日,983314,793707,-189607,579971,146644,291959,,-210000,-283200,,-529541,579971,-641,-10275,-381025,-391300,785,8284,1290,,-12,200937,,-288012,793707,-145315,-323,,0,-29660,30821,-3686,,13835,-5155
2015-03-19,4,2014,199522,29098,407,-480,69,98,-16,,74804,92,1350,-15671,53160,88427,-25,-56278,-34463,0,,0,,4993,-20,5173,-315150,,33754,,6795,-24252,6914,195628,133201,,-1309,1400,-57719,15671,652,,2014年度,983314,1038610,55296,652640,605869,759437,0,-210000,-567291,,-834628,652640,-652,52702,-145427,-92725,1631,60455,3801,0,-1117,200937,,106797,1038610,-153568,-5506,0,25872,,99721,,1709,13032,-17043
2015-05-08,1,2015,,-36662,,-1924,-34,100,-37,,8797,-58,345,-2064,7922,-24758,-4,-6547,0,,,,-286768,8600,,1,239337,,37228,,-3633,-27810,35592,-292244,32395,,267,360,-7805,2064,,13930,2015年01月01日至2015年03月31日,1038610,786707,-251903,104666,273105,294272,,,-200197,,-208006,104666,,-6978,182654,175676,551,12,-202,,0,,0,189606,786707,-21167,-4,,,-33689,-71301,,-1465,,-4011
2015-08-07,2,2015,,-48930,,-132,,-3,-31,,6394,86,691,-5735,12871,-62157,-4,-17234,-861655,,,,0,1263,,0,250905,,-8471,,4675,14897,13483,-285951,67478,613,-169,714,-12972,5735,,40689,2015年01月01日至2015年06月30日,1038610,940892,-97718,215144,332342,366074,,,-68976,,-81952,215144,,-53956,164197,110241,597,677116,357,,-805,,-91209,150930,940892,-33732,57,,,-36033,-121319,,0,,-1227
2015-11-06,3,2015,,-22981,,1549,,64,-72,,5548,107,1037,-5376,15284,28283,-3,-25610,-1614203,,-2512,,-98778,-1281,,0,160920,,-12024,,-2454,18596,1011,-526871,99990,613,-479,1136,-15521,5376,0,110515,2015年01月01日至2015年09月30日,1038610,597530,-441080,280144,470317,521263,,-369600,,-27685,-412809,280144,0,-32564,163168,130604,1385,12,1032,,-3283,,1206739,241119,597530,-50946,292,,,2163,-24384,,0,,4831
2016-03-14,4,2015,,-47341,,1698,,63,-122,,18500,251,1385,-6987,19360,-47224,0,-34759,-2208915,,-3140,,-259484,282,-188,0,154716,,-12574,,-3901,2616,-18565,-586869,134037,614,-1262,1460,-20487,6984,0,167102,2015年度,1038610,626506,-412104,323110,516904,584078,,-369600,,95172,-294915,323110,0,-53021,146887,93866,2470,1912926,1516,,-8213,,0,260968,626506,-67174,39,,,25485,-11956,,-3628,,10732
