date,season,year,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他金融資產增加,其他金融資產（增加）減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,長期應收租賃款增加,非金融資產減損損失,非金融資產減損迴轉利益,預付投資款增加,預付款項（增加）減少,預付設備款增加,預收款項增加（減少）
2013-05-07,1,2013,8960.0,-27649.0,,-2132,2100,-9528.0,,-57839.0,,-2826,1,-200,,,,,,,-25549,,-26397.0,,-24793,,16930.0,10179,971.0,797,7628,68590,-54893,206,-1,797,,,2013年01月01日至2013年03月31日,11941,20726,8785,54975,,8188,14023,,,,54975,59066.0,-72365,22453,-49912,0,0,-267.0,-40952,20726,-5834,45,,,,,17570,,7635
2013-08-01,2,2013,-53282.0,,,-19327,1065,-25038.0,,-47231.0,,-2899,2,-246,-327.0,,,,,,-16068,-18861.0,,,2335,11047.0,,-2408,1715.0,1355,15194,61604,-127740,567,-2,1619,,,2013年01月01日至2013年06月30日,11941,14650,2709,140574,,1600,30442,,,,140574,59066.0,-58583,1733,-56850,63,-63,-335.0,-110132,14650,-28840,-74,,3000.0,,,18762,,-24445
2013-11-06,3,2013,-99632.0,,,-14400,1090,-36211.0,,-27937.0,,-5261,3,-1344,-327.0,,,,,,18109,-29283.0,,,1781,-2143.0,,6738,2598.0,5301,23032,132498,-215381,1149,-3,5545,,,2013年01月01日至2013年09月30日,11941,17124,5183,244168,,112019,149380,-110793.0,,-110793.0,244168,93422.0,-108963,113807,4844,83,59,-426.0,-94788,17124,-37358,-149,,3920.0,,,21663,,-69659
2014-03-20,4,2013,-149207.0,2204.0,,-1392,5865,-41369.0,,-87984.0,,-7433,5,239,-449.0,,,0.0,,,83560,,-17689.0,,-9889,-21147.0,,1383,3482.0,7678,31110,113498,-321458,1778,-5,8021,,,2013年01月01日至2013年12月31日,11941,19536,7595,364460,,110471,158008,-110793.0,,-110793.0,364460,143289.0,-139136,81891,-57245,106,237,-454.0,-206452,19536,-47532,-201,,,3920.0,,28085,,-115852
2014-05-08,1,2014,-43316.0,-18805.0,,-1044,695,-4562.0,,91469.0,,-2042,0,-324,,-164982.0,,,,,-22606,,7329.0,,-2657,,45477.0,-462,-5338.0,-159285,8100,1071,-79651,742,0,1182,4457.0,,2014年01月01日至2014年03月31日,19536,41109,21573,80530,,131662,135553,,49520.0,49520.0,80530,29687.0,-5714,104053,98339,58,-58,,55023,41109,-3891,-94,,,,,-7029,,14801
2014-08-07,2,2014,-122145.0,-16046.0,,1793,735,-10181.0,,110504.0,,-4049,60,-38,0.0,-162884.0,,,,,-22948,10268.0,,,9673,-14521.0,,2499,-4574.0,-154480,16054,35241,-164620,1445,-60,3458,4397.0,,2014年01月01日至2014年06月30日,19536,17472,-2064,174588,,152454,170927,,,,174588,29285.0,25544,92940,118484,547,-159,,-3661,17472,-18413,-161,2.0,0.0,,,-8389,,24430
2014-11-06,3,2014,-183817.0,-3474.0,,5237,1038,,,183539.0,,-5137,103,-2,-2110.0,-305257.0,,,,2.0,-23152,3865.0,,,1487,84470.0,,-5870,-3809.0,-316892,23918,51338,-240998,2166,-103,6587,4385.0,,2014年01月01日至2014年09月30日,19536,13257,-6279,260552,,361408,390747,-110793.0,60000.0,-50793.0,260552,36515.0,30563,283449,314012,568,-172,,130195,13257,-29236,-212,,0.0,,,-7914,-21067.0,27257
2015-03-19,4,2014,30470.0,11465.0,,2019,2897,-27862.0,,86035.0,,-7394,298,3074,0.0,-412218.0,-4871.0,,,2.0,5178,,6145.0,,2447,,-1636.0,601,-3032.0,-404432,31657,61351,-317308,3097,-298,7394,4412.0,,2014年度,19536,33816,14280,356304,,476431,527942,-110793.0,50000.0,-60793.0,356304,321890.0,20119,121049,141168,849,-443,0.0,171638,33816,-51213,-227,,,-1100.0,,-5515,,1075
2015-05-06,1,2015,,-13773.0,,-131,-6036,-3298.0,,-43663.0,,-2420,175,-6,-150.0,0.0,-195.0,,,,-3452,,-10905.0,,-10213,,6536.0,9230,,2075,7653,-8977,-86340,1025,-175,2420,0.0,-48241.0,2015年01月01日至2015年03月31日,33816,16633,-17183,93376,-3263.0,-19252,-12903,,0.0,0.0,93376,31689.0,-14002,-44036,-58038,0,0,,-106279,16633,-6174,-23,,,,,5624,,24283
2015-08-06,2,2015,,-3521.0,,5149,-7854,,-67337.0,,,-4987,355,-315,0.0,0.0,-552.0,,,,-29428,9415.0,,,10164,-38972.0,,10422,,-41571,15321,-5959,-180842,2082,-355,4987,31689.0,-167784.0,2015年01月01日至2015年06月30日,33816,19355,-14461,204208,-4761.0,27425,48884,,,,204208,,75482,-63022,12460,110,-106,,-155324,19355,-21104,-49,0.0,442.0,,,8769,-10468.0,59036
