date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,遞延貸項增加（減少）,非金融資產減損損失,預付款項（增加）減少,預付費用（增加）減少,預收款項增加（減少）
2014-08-12,2,2014,,99163,-158610,-537,-383,0,-542,1,0,,-94572,0,,-41335,,1165,-513,11235,3500,-23253,,-1681,,19134,,16471,13544,,-16992,8655,-7958,-20460,3619,-136980,69424,-14707,19809,-10976,520,,2014年01月01日至2014年06月30日,143359,294233,150874,162170,,260940,300349,,,21924,,23414,162170,81882,-42866,39016,178773,3046,-1454,138179,,294233,-28953,-503,,0,,-15287,56600
2014-11-11,3,2014,,151956,-135925,-11881,-506,65182,6780,,,-74135,9246,-9127,,,,1762,-566,19091,-488,-70818,-263,-4309,,,,-4381,13414,4997,,7728,-47223,-29338,948,-130324,103729,160598,31164,-18949,542,,2014年01月01日至2014年09月30日,143359,286814,143455,264986,,462376,527656,,-200000,50008,,-188109,264986,77324,33390,110714,97120,5383,-1871,262670,1933,286814,-46873,-1090,,0,-43413,,
2015-03-19,4,2014,,197300,-285942,34243,-473,89847,0,,,-77610,-11146,-1594,0,-12378,,,-1548,22627,-8197,-50468,-263,4065,,-657,,-10709,-5263,10994,,9214,4226,-42328,-3600,-148125,137973,83185,41602,-22536,1564,,2014年度,143359,393977,250618,374183,,624131,691083,,-200000,43325,,-217191,374183,126989,-7389,119600,210367,4134,-2319,316900,2548,393977,-45980,-772,,0,-39696,,
2015-05-12,1,2015,,,-573069,-22076,-469,10212,365,,,4513,-7461,1852,,-3058,,,-473,5042,-508,-23608,,-4013,,-1946,,-11212,9089,,-1001,2798,-70064,11170,,-31070,32883,-45812,14718,-4888,465,52078,2015年01月01日至2015年03月31日,393977,349718,-44259,116019,-128,53902,58325,517500,,,-6000,-66583,116019,5900,-115672,-109772,,490,332,-57694,830,349718,,-424,-2297,,-1502,,7472
2015-08-11,2,2015,,,-598335,-6366,-786,22733,996,,,-3058,4817,51689,,-13892,,931,-1308,6639,3410,-52259,,-3861,,-1731,,-22339,14651,,-1000,7224,-61358,10662,,-65405,64714,-147522,28672,-7087,1200,99753,2015年01月01日至2015年06月30日,393977,413948,19971,274009,-122,210558,264390,517500,,,-42896,-128592,274009,59906,-169278,-109372,0,718,628,-9619,1760,413948,-47945,-523,-3067,,-620,,23093
2015-11-12,3,2015,,,-619384,-15871,-686,26752,-1457,,,-11255,7055,53948,,-17206,0,2004,-1948,8021,7053,-84596,0,-3944,,-3812,,-27599,8561,2985,,11733,-65058,19950,,-108664,99401,-41962,42615,-8886,1948,149859,2015年01月01日至2015年09月30日,393977,389326,-4651,435395,-116,487999,569011,517500,-245300,0,-42896,-391039,435395,39146,-55389,-16243,0,1150,474,133616,2852,389326,-74074,-708,-1692,,7475,,6927
2016-02-26,4,2015,545,,-667237,4176,-395,16652,1553,,,-17878,38230,17061,,-23278,,2160,-3602,9223,5746,-127708,745,490,,,1756,-15981,8358,14975,,11053,-34815,15132,,-127454,134779,-159936,54765,-10112,3340,197906,2015年度,393977,482821,88844,623866,-435,627279,710866,517500,-245300,,-37155,-416727,623866,47302,-158208,-110906,0,1424,257,87000,3514,482821,-76815,-966,-4355,,19173,,8339
2016-05-06,1,2016,0,,-20276,-14288,151,-6354,-448,,,-3363,1979,-12225,,-11732,,528,-1391,923,-1783,-25352,-150,-3837,,0,1641,3449,-605,-1,,-2549,-11321,-183,,-36641,35474,1507,11891,-981,1560,46997,2016年01月01日至2016年03月31日,482821,579280,96459,184581,-538,154997,154418,0,0,4000,0,-20114,184581,-54802,-22358,-77160,0,186,-16,-30163,822,579280,0,-262,-991,,-3288,,-30299
2016-08-12,2,2016,,,-39871,24977,579,3254,-8263,,,0,30791,-11696,,-30146,,1181,-2620,1700,-1706,-97385,-162,,-3613,0,2016,-5013,7845,,-3976,-3887,-29159,-1099,,-94419,71230,21572,25278,-1769,2867,96059,2016年01月01日至2016年06月30日,482821,715562,232741,356229,-536,364326,430593,0,,12000,0,-35460,356229,11376,-33071,-21695,0,305,-71,74364,1575,715562,-67365,-477,-3024,,8,,-18828
2016-11-11,3,2016,0,,-44480,-6829,573,13763,-7945,,,0,21638,-11694,,-30476,,1741,-3785,2507,-4694,-155474,-667,,-2102,,2332,894,3574,9976,,-6742,-64454,22812,,-161543,107182,134965,40289,-2610,4005,146493,2016年01月01日至2016年09月30日,482821,529210,46389,527916,-538,627481,742825,0,-390249,,12000,-414855,527916,-10015,78431,68416,0,437,-192,214909,2615,529210,-116739,-582,-5267,,3280,,-10591
