date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,停業單位稅前淨利（淨損）,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融資產增加,其他金融資產減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,呆帳費用提列（轉列收入）數,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,金融資產減損損失,預付款項（增加）減少,預付設備款增加
2013-05-08,1,2013,,22783.0,,-24979,274,-315,,2270,835,0.0,-6815,,105.0,,329,-141,7052,4311,-5376,114,50752,,28808,,-7541,16061,707,-20834,-4503,-167.0,-17455,15256,,173,-7259,141,,2013年01月01日至2013年03月31日,111922,110860,-1062,7589,,90688,97806,,,-93627,-78606,7589,23644,43790,67434,40000,1061.0,,,,90217,110860,,,1087,-6430
2013-08-06,2,2013,,24690.0,,-114542,3323,-119,,4221,-3745,0.0,9321,,234.0,,-20834,-361,14491,6984,-20710,225,7422,,14548,-40000.0,1963,-9260,-5403,-24003,-2327,-1145.0,-10515,30804,,365,-14400,361,,2013年01月01日至2013年06月30日,111922,125849,13927,32233,,30013,44052,,,51987,-12555,32233,22910,-35781,-12871,90000,1073.0,,,,11819,125849,,,1654,-433
2013-11-06,3,2013,,45909.0,,-193354,5438,-154,,6329,901,0.0,-31059,,-415.0,,-23495,-591,21752,5620,-24675,125,68846,,53459,-70000.0,-5409,1747,-2414,-1005,-3217,-2123.0,-71422,47579,,539,-22218,591,,2013年01月01日至2013年09月30日,111922,146447,34525,41115,,189138,210765,,,-45457,-88811,41115,57694,66047,123741,220000,1083.0,,,0.0,169650,146447,,0.0,1343,-16356
2014-03-20,4,2013,,98800.0,-20537.0,-252167,14798,-241,186821.0,4013,-2467,28837.0,-10292,0.0,-519.0,,1342,-1082,28488,7939,-60218,5146,-59301,,60315,-70000.0,-4857,5805,-3848,6630,-1186,-3101.0,112038,64199,-1992.0,707,-28616,1082,,2013年01月01日至2013年12月31日,111922,206775,94853,45907,,133375,160977,0.0,,-106332,-158499,66444,71168,-54898,16270,270000,1085.0,0.0,,0.0,115070,177938,-68.0,0.0,1702,-4839
2014-05-08,1,2014,316.0,24174.0,-2314.0,-68812,-8036,-513,,2997,-101,16459.0,-23136,,-329.0,,344,-583,5575,-1745,-8659,806,29818,,-15090,,166,6545,285,1412,-8300,-629.0,-35870,17522,81.0,194,-5726,583,,2014年01月01日至2014年03月31日,206775,126826,-79949,19795,,46126,51366,,,-36988,-88460,22109,-20592,27989,7397,17340,0.0,,,,31571,110367,-97.0,,-1238,-3746
2014-08-06,2,2014,316.0,47486.0,-6925.0,-152958,-2417,-3241,,7834,-1473,0.0,-23592,,1239.0,,610,-1346,10239,-3090,-25416,2017,-21431,,67192,0.0,2380,-10040,-5465,-22903,-2793,-1258.0,-51547,35258,47.0,392,-10783,1346,,2014年01月01日至2014年06月30日,206775,121004,-85771,42760,,83955,96330,,,-29471,-115089,49685,73731,-67647,6084,67340,0.0,,-1855.0,,53570,121004,-2938.0,,-348,-1923
2014-11-06,3,2014,316.0,69315.0,-6925.0,-197770,-4130,-893,,8119,-1185,0.0,-16842,,0.0,1238.0,610,-2087,14894,-3090,-40244,3174,-59568,-77062.0,52706,0.0,4267,-30112,10224,-47935,14769,-1886.0,-59618,51927,-126.0,481,-15046,2087,,2014年01月01日至2014年09月30日,206775,113487,-93288,76102,,71097,89162,,35815.0,0,-101677,83027,59076,-115331,-56255,137340,0.0,,-1855.0,,13060,113487,-5106.0,,-505,-1915
2015-03-16,4,2014,316.0,90887.0,-6925.0,-225223,-12684,-1126,,8416,2387,0.0,-9496,,-255.0,,610,-2901,19455,-3090,-37912,4197,-5129,-77062.0,55814,0.0,1228,-13413,10184,-36040,13342,-2884.0,-36500,68649,-478.0,561,-19770,2901,,2014年度,177938,140110,-37828,90597,,181195,203362,,,-14488,-179433,97522,49890,-28012,21878,137340,0.0,,26982.0,,112765,140110,-5298.0,,2261,-15819
2015-05-06,1,2015,0.0,,0.0,-37452,-17644,544,,-472,-2671,0.0,9854,,-4625.0,,0,-708,4213,0,-13549,69,-28773,,36028,,-1461,18203,-503,15202,984,,-10196,16999,1369.0,80,-4193,708,20653.0,2015年01月01日至2015年03月31日,140110,127068,-13042,12739,-1172.0,48333,51959,,,-13727,-51179,12739,15279,3288,18567,0,,,,,39220,127068,-141.0,,-1067,-1876
2015-08-06,2,2015,0,,0,-74905,-4909,14,,-276,-2151,0,8302,0,0,-204,0,-1548,8221,0,-29366,55,23004,,49846,,-3191,20944,-120,-1113,-7,,-59130,34201,1418,160,-8239,1548,41089,2015年01月01日至2015年06月30日,140110,151803,11693,20763,-2343,136110,142801,,9618,0,-65287,20763,39127,41822,80949,0,,,0,,122038,151803,0,,-167,-37862
