date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他非流動資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付短期票券增加,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,金融資產減損損失,非控制權益變動,非金融資產減損損失,預付款項（增加）減少
2013-05-08,1,2013,14975.0,-80000,10507,-43321,-230,,-1193,171,-2297,3884,29106,-8224,,-139.0,,-21577.0,-42922,-10902,,-3849,84901,0.0,-3283,351.0,-28840,21224,-632,912,-3656,2154,,,2013年01月01日至2013年03月31日,889984,818356,-12251,-71628,24986,,6610,31213,,1635,,-78504,24986,-57721,48973,-8748,0,,204,6227,818356,-20947,1623,,2137.0,
2013-08-14,2,2013,45137.0,-220000,10334,-25547,-1541,,-1575,346,-6237,7947,42722,-13952,,-139.0,-21642.0,0.0,-9012,-10955,,-610,-85557,0.0,21669,728.0,-30386,42226,-2062,1943,-6730,4900,,,2013年01月01日至2013年06月30日,889984,835069,-3590,-54915,72355,,-21527,17001,,181538,0.0,-45724,72355,-36384,-64107,-100491,0,1883.0,777,-55354,835069,-31798,1623,-7123.0,2164.0,
2013-11-13,3,2013,81421.0,-350000,9759,-36428,4751,2869.0,-2375,522,-9950,11921,36990,-19613,,-137.0,-21972.0,0.0,-16034,-48078,,-3187,-62378,0.0,5959,-4377.0,-32292,62508,-1570,2830,-10313,7052,1714.0,,2013年01月01日至2013年09月30日,889984,950663,3229,60679,104878,,-1962,49829,-42925.0,283662,0.0,57943,104878,-89201,-47269,-136470,174466,2902.0,188,-55049,950663,-41478,1623,-7123.0,10120.0,10674.0
2014-03-26,4,2013,117489.0,-718357,7033,-4447,4355,4378.0,-3875,697,-13602,15964,57669,-27790,0.0,-137.0,-31393.0,0.0,-28564,-9452,,-3730,-164527,0.0,-3229,-7903.0,-42120,82030,-1144,3654,-14090,11596,1714.0,,2013年01月01日至2013年12月31日,889984,913527,-2488,23543,148853,,-603,69513,-46811.0,247427,0.0,8597,148853,-21154,-175675,-196829,533598,7628.0,13525,-79340,913527,-56026,1623,-7123.0,17230.0,9257.0
2014-05-09,1,2014,26631.0,0,-5090,-15745,-26758,,-79,180,-4142,4890,11358,-19422,491.0,0.0,-27293.0,3530.0,-16971,-112344,,3649,137762,,-14640,3529.0,-36519,26998,53,1146,-4623,5844,,,2014年01月01日至2014年03月31日,913527,910988,-2112,-2539,32990,,-7748,13013,,0,-38045.0,30370,32990,-120911,74303,-46608,67924,901.0,-382,-19977,910988,-16138,0,,0.0,
2014-08-13,2,2014,62418.0,0,-2035,-1420,-14767,3244.0,-818,358,-9282,9845,-8505,-41916,490.0,0.0,-26988.0,3718.0,398,-64954,,980,14057,,-22620,7080.0,-53051,53781,1655,2153,-9704,10358,,,2014年01月01日至2014年06月30日,913527,875783,2229,-37744,80224,,20188,62605,,-67120,,3624,80224,-55070,-24967,-80037,70254,2595.0,1679,-17619,875783,-32713,0,0.0,0.0,
2014-11-12,3,2014,89854.0,0,3612,-8838,0,-852.0,-2434,535,-12163,13548,8986,-61779,490.0,0.0,6867.0,,-18439,-121733,,1500,82709,,-5962,10635.0,-40244,80076,-7,3131,-15173,10409,1715.0,,2014年01月01日至2014年09月30日,913527,991744,342,78217,137083,,105646,169082,-85000.0,10753,,3829,137083,-119288,61433,-57855,77586,4978.0,4392,31999,991744,-48263,0,0.0,0.0,-487.0
2015-03-25,4,2014,112561.0,0,-3025,51294,-703,753.0,-5461,718,-17325,18620,65815,-73566,490.0,0.0,-1912.0,,34794,-176338,,-602,209624,-339.0,-6515,14797.0,-55381,106797,-2344,4321,-20614,18104,1715.0,,2014年度,913527,1155007,-9502,241480,178731,,336517,418169,-85000.0,-45249,,-105471,178731,-110096,236973,126877,24288,5739.0,11276,239438,1155007,-61038,0,0.0,0.0,3137.0
2015-05-13,1,2015,,-171105,77,-40595,-506,275.0,-287,187,-4306,3643,-31487,-19469,0.0,,-1050.0,,-38237,34983,,-5264,187022,339.0,-35211,,-6029,25731,1116,1106,-3406,4813,,31454.0,2015年01月01日至2015年03月31日,1155007,1188520,-128,33513,17050,399.0,126833,141536,,115301,,-55804,17050,-10202,103234,93032,0,9964.0,4105,124486,1188520,-11297,0,,0.0,-10250.0
2015-08-11,2,2015,,-164368,6017,-51829,779,1407,-1381,370,-9526,7288,-44991,-41221,0,,0,16615,-26123,-11307,,-7683,186619,249,20087,,-9522,49950,2817,2221,-6822,6063,,65151,2015年01月01日至2015年06月30日,1155007,1341643,2815,186636,48590,798,198152,232767,,207365,,42997,48590,-68614,187640,119026,0,10402,6304,184177,1341643,-27793,2912,,,12
2015-11-11,3,2015,,-1423391,2779,-45149,-373,-2823.0,-1836,556,-15030,11076,41510,-52170,-116.0,,,16020.0,13522,-16161,,-7683,178573,339.0,43342,,-18068,73691,2192,3099,-10563,9284,0.0,22325.0,2015年01月01日至2015年09月30日,1155007,1378392,-67237,223385,109734,1196.0,246389,300419,-85000.0,219437,,-46446,109734,-70620,238980,168360,1247798,10634.0,11066,190685,1378392,-43467,2912,-5174.0,,798.0
2016-03-28,4,2015,,-1823391,5501,-8715,3234,-2059.0,-2028,742,-20329,14678,24113,-54759,0.0,-377.0,0.0,15360.0,43076,-13953,,-7683,99017,339.0,35060,,-14139,96626,2711,4076,-14077,15722,0.0,72796.0,2015年度,1155007,1300003,-58778,144996,141523,1593.0,288082,362072,-85000.0,122124,0.0,-153060,141523,-30817,178570,147753,1647798,11566.0,16721,220549,1300003,-59913,16349,-14214.0,,-7657.0
2016-05-09,1,2016,,-400000,-1700,-35397,-1969,0.0,-1022,185,-4859,3157,-41926,-23564,1184.0,,7065.0,,6953,-52635,,0,187706,0.0,16168,,-9673,22799,604,1059,-2734,7710,,52923.0,2016年01月01日至2016年03月31日,1300003,1402802,13419,102799,11127,354.0,153706,176977,,-492,,692,11127,-87678,200605,112927,400000,138.0,-39,165850,1402802,-20537,16598,,,-6553.0
2016-08-10,2,2016,,-800000,1563,-23747,1188,2782.0,-1192,365,-12475,6427,-97195,-34934,1141.0,,,6971.0,33505,-30842,,0,210210,0.0,-4947,,-13819,44880,1646,2049,-7259,14941,,79913.0,2016年01月01日至2016年06月30日,1300003,1416314,14118,116311,74285,745.0,295799,345069,,-69615,,-68474,74285,-51062,241933,190871,800000,395.0,6305,270784,1416314,-42011,16598,,,414.0
2016-11-10,3,2016,,-800000,4037,-16627,1190,-937.0,-2414,538,-16913,9502,-178750,-45427,924.0,,,9104.0,11861,-33043,40000.0,0,151228,0.0,24821,,-19780,66911,1908,3219,-10186,17892,,125695.0,2016年01月01日至2016年09月30日,1300003,1371510,28431,71507,118358,1136.0,323728,395464,-85000.0,-9615,,-53691,118358,-49471,200882,151411,800000,1065.0,9690,277106,1371510,-61550,16598,0.0,5811.0,7745.0
