date,season,year,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融資產增加,其他金融資產減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付票據增加（減少）,應付租賃款減少,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,攤銷費用,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分無形資產損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,預付投資款增加,預付款項（增加）減少,預付設備款增加,預收款項增加（減少）
2013-05-09,1,2013,21479.0,-107138,-51,330,113,-9913,0.0,-1429,257,1182,-15382,,-24,1894,0.0,-9094,,2200.0,9,,-96744,-5071,,276879,149,1903.0,-23119,16194,0.0,4813,509,,,2013年01月01日至2013年03月31日,269731,493756,224025,43626,,255056,254595,,-9094,43626,,-71797,261287,189490,0.0,0.0,,,,210969,493756,-48,-250,,-15812,,134923
2013-08-08,2,2013,41205.0,-85621,-285,-92,682,-49297,0.0,-3218,502,1660,-17400,,-274,1995,0.0,-9278,-956.0,0.0,73,,-72494,-5368,-577.0,202965,-215,-2457.0,-67927,32428,0.0,9457,3232,,,2013年01月01日至2013年06月30日,269731,465163,195432,138607,,271554,295188,,-9855,138607,,-139127,254503,115376,0.0,41.0,,,,156581,465163,-26866,0,,51283,,26905
2013-11-07,3,2013,60059.0,-93981,-573,242,-4,-260044,0.0,-4985,735,1377,-22170,,-1244,3113,0.0,-11224,-567.0,0.0,132,,-81659,-4629,-1155.0,407207,-405,-554.0,-287236,48755,0.0,13967,4168,1095.0,,2013年01月01日至2013年09月30日,269731,315701,45970,208872,,495708,541499,-151500.0,-163879,208872,-1095.0,-159254,431822,272568,0.0,41.0,,,,332627,315701,-49959,-472,,25465,-4306.0,21327
2014-02-20,4,2013,78091.0,24666,-458,112,341,-255690,0.0,-7233,954,1944,-23122,,-5134,2599,0.0,-14287,-458.0,0.0,140,,-72708,-4963,-1731.0,244806,1208,1347.0,-287341,64997,0.0,18562,6712,1095.0,,2013年01月01日至2013年12月31日,269731,377856,108125,238539,,561040,604503,-151500.0,-167518,238539,-1095.0,-21697,309570,287873,0.0,41.0,,,,365964,377856,-50175,-734,,63533,-4032.0,29849
2014-05-08,1,2014,19846.0,-124387,74,167,754,-11831,,-2454,206,-139,-8768,,-1638,1134,,-1589,,6919.0,-94,,-121633,-231,-577.0,283456,-338,-1932.0,-15318,16080,,4801,1321,,,2014年01月01日至2014年03月31日,377856,594712,216856,47708,,234479,233821,,-2166,47708,,-109880,276147,166267,,,,,,186113,594712,-663,79,,-7705,,138136
2014-08-07,2,2014,35177.0,-116419,404,446,508,-138865,,-5518,398,-734,-10303,,-2768,-556,,-2410,0.0,5852.0,-91,,-109012,-980,-1154.0,252873,20,-349.0,-145996,31832,1263.0,9746,4995,88.0,,2014年01月01日至2014年06月30日,377856,560032,182176,140416,,332470,346601,,-3564,140416,-88.0,-58580,229588,171008,,0.0,,,,206185,560032,-19126,-637,,-25389,,167734
2014-11-05,3,2014,50904.0,-124215,188,590,-266,0,8715.0,-8239,576,127,-12256,,-3373,-814,,-3575,0.0,3541.0,-87,,-102328,-130,-1731.0,247581,-1437,1249.0,-2784,46507,1449.0,14570,7371,1242.0,,2014年01月01日至2014年09月30日,377856,567883,190027,204253,,358340,390620,-160350.0,-165656,204253,-1242.0,-66637,202100,135463,,0.0,,,,186367,567883,-39651,-454,,-45328,-653.0,158197
2015-02-02,4,2014,69017.0,-13628,340,-8,-523,0,106402.0,-10859,738,1399,-24849,,-4564,-692,,-1623,-122.0,,-1597,,-93687,2924,-2884.0,214040,400,-10493.0,127843,61031,1449.0,19199,10935,1242.0,,2014年度,377856,887127,509271,231572,,544886,573906,-160350.0,-164857,231572,-1242.0,60640,212677,273317,4.0,1168.0,123.0,50000.0,,342334,887127,-39955,-449,,-1432,-270.0,175532
2015-05-07,1,2015,,-109891,-2408,1662,515,-214959,,-2544,147,-392,-3622,,-95,-65,,-4557,,3988.0,-674,,-14163,-3065,0.0,78674,-106,,-221482,13986,-40000.0,3202,2139,,14656.0,2015年01月01日至2015年03月31日,887127,615823,-271304,67267,1348.0,-44873,-45610,,-4557,67267,,-156682,29149,-127533,,,,,,-112877,615823,-1402,-70,,-6852,-6794.0,-32573
2015-08-06,2,2015,,-104638,-157,1454,734,-165743,,-5458,278,-991,-34440,-6000.0,-2370,424,,-6895,,4106.0,211,,-11270,-3593,-577.0,36098,372,,-231637,28049,-40000.0,6384,5441,97.0,29525.0,2015年01月01日至2015年06月30日,887127,624937,-262190,148665,2694.0,-22090,-11993,,-7472,148665,-97.0,-164584,-25599,-190183,,,,,,-160658,624937,-15538,-55,-5483.0,-22857,-21804.0,-49231
