date,season,year,不影響現金流量之收益費損項目合計,備供出售金融資產減資退回股款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人增加,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融資產增加,其他金融資產減少,其他非流動資產增加,利息收入,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得無形資產,呆帳費用提列（轉列收入）數,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,預付款項（增加）減少
2013-05-08,1,2013,-1635.0,,-6077,-24,767,0.0,52,42,1,,57054.0,-346,-2060,12586,-275,-30857,,-15,12377,-17080,-5898,-2417,163.0,2861,9879,0,22.0,45521,3238,12303.0,-1020,97,3563,650,,2013年01月01日至2013年03月31日,399937,465357,-1030,65420,2891,,7313,8306,,,2891,678.0,-650,-31269,38319,7050,15732,,-936,5415,465357,-993,63.0,,79
2013-05-08,1,2014,-11399.0,,-10039,494,-4849,,-39,727,-12,,-4253.0,-307,-2521,7752,-1411,-128593,,-27,25432,-13134,-8744,-840,0.0,1150,4084,897,19.0,-15764,3681,0.0,-2421,111,3203,405,,2014年01月01日至2014年03月31日,502992,520519,6511,17527,38862,,25539,25752,,,38862,293.0,-405,-31517,29806,-1711,115192,80.0,-16509,-13110,520519,-213,-192.0,,3143
2013-08-07,2,2013,-10554.0,,363,-45,-340,0.0,36,2612,3,,48938.0,-319,-4876,14675,-10448,-92979,-120.0,150,14119,-255,-6176,-1315,-49.0,5713,10050,684,41.0,-9414,6530,31457.0,-5591,191,5073,1023,,2013年01月01日至2013年06月30日,399937,476964,-693,77027,27558,,71766,73210,,,27558,1356.0,-1023,-4824,61030,56206,39418,,-7471,45652,476964,-1444,873.0,,-692
2013-11-08,3,2013,-17167.0,,2502,154,-542,0.0,45,1171,-29,,59534.0,-1460,-7368,3550,-11902,-114065,-377.0,314,-1853,-7491,768,-5729,-190.0,-11347,6103,684,62.0,92711,9838,-3028.0,-6774,300,8300,3417,,2013年01月01日至2013年09月30日,399937,466107,258,66170,52288,,10709,15158,-40800.0,-40800.0,52288,1885.0,-3417,-8753,-11210,-19963,149264,,-13636,-37130,466107,-4449,1433.0,,-1243
2014-03-14,4,2013,-19818.0,,11258,461,-1396,-5000.0,22,1952,-11,,41363.0,-734,-10599,10134,-14997,-152903,-377.0,281,-14232,5136,-1979,-4940,-190.0,-6666,11076,-213,79.0,73009,13317,31480.0,-6765,409,10968,3790,,2013年01月01日至2013年12月31日,399937,502992,15,103055,61305,,60712,67230,-40800.0,-40800.0,61305,1714.0,-3790,11777,13966,25743,190899,,-15358,5925,502992,-6518,958.0,0.0,-6094
2014-08-11,2,2014,-24710.0,,-8497,602,2156,,-60,46,-13,,-3051.0,263,-6314,-301,-2326,-227282,0.0,43,34644,-23204,972,-1090,0.0,-7214,-1286,897,35.0,37646,7295,0.0,-4362,222,5927,793,,2014年01月01日至2014年06月30日,502992,570251,-704,67259,52472,,29914,31437,,,52472,121.0,-793,-31136,34811,3675,263322,80.0,-19403,-21035,570251,-1523,-895.0,,5687
2014-10-31,3,2014,-49790.0,,-6180,614,1988,0.0,-55,2050,3,,-1607.0,-911,-9427,9276,-4526,-299761,-60.0,-131,25800,-13865,2470,-1021,0.0,11633,403,829,58.0,116931,10659,0.0,-3474,333,8617,3705,,2014年01月01日至2014年09月30日,502992,579111,-4751,76119,76510,,51912,55506,-102000.0,-102000.0,76510,-149.0,-3705,-15874,44660,28786,411474,80.0,-38253,-21004,579111,-3594,-972.0,,4059
2015-03-11,4,2014,-48454.0,,-6597,666,1958,0.0,27,798,-1,,-19267.0,376,-12558,26786,-5413,-393969,-60.0,200,10722,-2964,-4898,183,0.0,-16496,14475,897,84.0,55886,14052,0.0,-4148,448,11753,4088,,2014年度,502992,522206,-2231,19214,93220,,38542,42341,-102000.0,-102000.0,93220,-149.0,-4088,-12728,10303,-2425,458378,80.0,-39082,-50879,522206,-3799,-978.0,,-1279
2015-05-08,1,2015,,,-8386,36,-1114,,4,1362,5,-503.0,,528,-3371,-5327,-2401,-53399,-12.0,-337,14261,-28183,-2867,-1286,0.0,33360,488,-63,,-829,3372,,532,118,2786,0,-319.0,2015年01月01日至2015年03月31日,522206,540744,3495,18538,13965,14.0,24694,26142,,,13965,0.0,0,-39310,51806,12496,52172,0.0,-4128,12177,540744,-1448,0.0,,4865
2015-08-14,2,2015,,,-4373,376,-1021,,10,444,16,-27890.0,,-164,-8667,-9760,-3243,-336607,-35.0,3987,22401,-14514,4633,-1143,0.0,21264,-3022,-178,,-232727,6640,,-54,235,5557,399,-9708.0,2015年01月01日至2015年06月30日,522206,311023,-2539,-211183,26111,24.0,31304,38574,,,26111,0.0,-399,-14553,36724,22171,129256,0.0,-8911,12463,311023,-7270,0.0,,-2746
2015-11-12,3,2015,,4916.0,-4341,-1796,-36,,16,563,15,,-31331.0,-575,-14787,6865,-4843,-394175,-36.0,4000,23432,-17269,-16677,-1089,,20057,13779,0,,-190629,9526,0.0,-982,349,10276,2293,6990.0,2015年01月01日至2015年09月30日,522206,307440,10405,-214766,33410,33.0,50598,60679,-81600.0,-81600.0,33410,0.0,-2293,-40576,60855,20279,222846,0.0,-9774,27269,307440,-10081,0.0,10546.0,3592
2016-03-25,4,2015,,4916.0,-1901,-2176,179,,12,-55,7,,3283.0,913,-21003,9848,-7612,-449323,-36.0,7715,11140,-7995,-11855,-641,0.0,5970,12866,0,,-147719,12158,,520,460,18427,2682,4357.0,2015年度,522206,353744,7094,-168462,49681,43.0,51009,61298,-81600.0,-81600.0,49681,0.0,-2682,-24580,31840,7260,279031,0.0,-10451,11617,353744,-10289,0.0,10546.0,1666
2016-05-12,1,2016,,,-4559,89,-208,,-30,299,7,-3236.0,,833,-6493,-9936,-986,-33400,0.0,1007,12971,-15344,-85,-777,0.0,9012,-7168,0,,-8452,2694,,765,103,3837,0,-684.0,2016年01月01日至2016年03月31日,353744,339081,1255,-14663,17080,-9096.0,3725,3925,,,17080,0.0,0,-29473,17002,-12471,24500,0.0,-15,-13155,339081,-200,,,2418
