date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款－關係人減少,其他應收款－關係人增加,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他金融資產增加,其他金融資產減少,其他非流動資產增加,其他項目,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得採用權益法之投資,呆帳費用提列（轉列收入）數,員工執行認股權,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應收帳款（增加）減少,投資活動之淨現金流入（流出）,折舊費用,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,支付之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分採用權益法之投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,非金融資產減損損失
2013-08-09,2,2013,59929,0,-11355,-4027,-38200,-14319,-2125,1610,,-4965,,3604,296,-58392,,,,,-6725,,14073,12900,-5151,-52479,44139,,-5688,-4352,,,2013年01月01日至2013年06月30日,502235,447512,-54723,57065,67433,84172,,0,-58618,,-69973,57065,,-25300,-7522,-32822,,20020,17874,,27107,447512,-12387,
2014-03-07,4,2013,95840,0,0,,10607,48129,-4365,16782,,-17960,,7975,1926,-95386,,0,-4909,0,,,30496,24729,-150977,-63870,88616,10536,-14344,-8568,,,2013年01月01日至2013年12月31日,502235,669220,166985,295373,315032,349832,,-11926,-74177,,-86103,295373,,35336,-76717,-41381,,22158,18502,0,54459,669220,-26232,
2014-08-07,2,2014,42202,,0,0,-1445,-38078,-2689,-13659,,-1289,,3601,4306,-68885,,,,,-338,,-115287,102420,-3195,-76453,44431,,-8348,-3812,,,2014年01月01日至2014年06月30日,669220,637834,-31386,203741,127605,187669,,,-86844,,-86844,203741,,100975,-159249,-58274,,7718,2518,,-16072,637834,-56252,
2015-03-25,4,2014,87319,,,,235824,-8467,-5745,12448,,-9191,0,6927,8823,-146520,,,,,,,-210858,89619,-114908,-134992,91476,0,-24520,-7547,,,2014年度,669220,656684,-12536,622384,601806,695168,,-157080,-331093,,-488173,622384,,325443,-339978,-14535,,8271,5374,,72784,656684,-85815,8062
2015-08-07,2,2015,,,,,-40034,-6544,-1462,339,,-7197,,2079,-5622,-134025,,,,,-2527,,-72745,6631,110938,-138554,51185,,-13882,-1845,18450,38845,2015年01月01日至2015年06月30日,656684,825977,169293,297114,280037,332743,,,-16568,,33432,297114,,-33403,30187,-3216,50000,4856,1684,,35629,825977,-69311,-2221
2015-11-11,3,2015,,,,,-13850,-564,-1723,0,6070,-9735,,3063,8028,-182380,,,,,-2887,,-18198,10750,-64121,-184124,82290,,-26003,-2827,18450,58503,2015年01月01日至2015年09月30日,656684,761376,104692,555804,427233,526601,,-382602,186157,,-146445,555804,,-3100,-84606,-87706,50000,4808,1678,,-29203,761376,-114991,-2525
2016-03-15,4,2015,,,,,45005,-929,-2712,,6103,-13164,,3983,2896,-251768,,,,,-2544,,77902,-117458,133100,-256396,116071,,-26578,-3937,18450,100586,2015年度,656684,954913,298229,652615,762743,888109,119064,-382602,2524,0,-211014,652615,7929,-72453,207361,134908,50000,4977,6826,,235494,954913,-139879,-7645
2016-05-10,1,2016,,,,,-167205,-4047,-658,,6581,-102,-87,684,-2561,-25533,-10000,,,,0,2363,21922,-17640,95426,-23884,36679,,3442,-677,,40981,2016年01月01日至2016年03月31日,954913,1637633,682720,70445,29435,39224,679408,,322,,679730,70445,,-184845,112643,-72202,0,2807,263,,-31221,1637633,-9112,0
2016-08-04,2,2016,,,,,-180046,-3533,-965,,6887,-182,-95,1324,-6323,-43911,-14500,,,,0,1875,17107,26613,83952,-35157,72549,,6431,-1308,0,78412,2016年01月01日至2016年06月30日,954913,1740955,786042,158893,134558,180433,679408,,13556,,692964,158893,,-153433,96561,-56872,0,14674,-1797,,21540,1740955,-44567,0
2016-11-07,3,2016,,,,,-181271,5402,-1263,,6887,-182,-105,2047,-22597,-50856,-14500,,,,0,2327,15534,57492,66195,-40340,106128,,8212,-1926,0,114494,2016年01月01日至2016年09月30日,954913,1347088,392175,204860,185719,281443,679408,-423500,13485,,269393,204860,,-123779,85868,-37911,0,15984,-1788,,76583,1347088,-93798,0
