date,season,year,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應付款－關係人減少,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他非流動負債增加,其他非流動資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得無形資產,呆帳費用提列（轉列收入）數,因合併產生之現金流入,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,非控制權益變動,預付款項（增加）減少
2014-04-15,4,2013,63244,34900,,0,-11015,,,2430,103,13595,10859,-372,14866,20669,-90276,-3328,2634,,-59316,28811,,916,-75962,1630,33402,-78902,33789,-17361,930,-14866,372,,2013年01月01日至2013年12月31日,136046,154115,18069,197158,128162,195599,113080,,-108044,-51860,197158,67057,-131860,-64803,1107,538,-1559,154115,-52943,-56999,-3238
2014-08-12,2,2014,34287,-3554,,,8506,,-16519,2347,94,,8143,-426,6338,-11154,-35544,-1036,-2663,,-112306,68197,,1763,-93784,-1130,-18493,-51289,22172,17361,564,-6338,426,,2014年01月01日至2014年06月30日,154115,92399,-61716,162920,-5850,41939,,,6483,6577,162920,68753,-224021,-155268,1810,159,-120981,92399,-41877,,-24175
2014-11-08,3,2014,52213,-756,,,11749,,-23622,1014,-84,,12186,-529,9561,2124,-59321,-1049,-3849,,-143440,40934,,2640,-115454,-2385,14072,-81950,34029,17361,844,-9561,529,,2014年01月01日至2014年09月30日,154115,55337,-98778,244880,26944,105183,,,-45812,-45896,244880,43832,-235742,-191910,2042,-29,-139697,55337,-69207,,-17645
2015-03-15,4,2014,59230,2139,,,4305,,-15945,-128,467,,2670,-602,11395,24165,-78964,-1057,-3063,,-112503,14641,,-352,-149988,-2912,-45277,-93911,47360,17361,1141,-11395,602,,2014年度,154115,266346,112231,333069,15943,118831,241360,-42000,-33793,166034,333069,16300,-289768,-273468,2055,329,-214238,266346,-92095,0,-754
2015-05-12,1,2015,,-26078,,,656,,-34,1513,-34,,0,-129,3360,-9729,-8176,-61,906,,44650,-39398,,653,54763,870,38570,-8271,14052,0,301,-3360,129,19036,2015年01月01日至2015年03月31日,266346,311972,45626,55945,125846,154888,0,0,-62186,-62220,55945,-63310,143217,79907,0,546,98943,311972,-25811,0,3708
2015-08-07,2,2015,,-9426,,,-50,,-5935,-426,-450,,0,-515,3820,-24333,-18108,-638,903,,14213,33279,,523,18591,136,-10965,-24681,28592,0,589,-3820,515,33975,2015年01月01日至2015年06月30日,266346,324963,58617,132238,172818,216730,0,,-64737,-65187,132238,23950,26567,50517,0,586,84492,324963,-40607,0,4642
2015-11-11,3,2015,,5845,,,-713,,-4218,3091,1340,,0,-1055,4297,17344,-47017,-1417,1025,,-4108,-8910,,941,2534,-805,-3280,-49935,44090,0,891,-4297,1055,49110,2015年01月01日至2015年09月30日,266346,251667,-14679,213700,205683,253175,0,-104718,-84393,-187771,213700,967,-10602,-9635,2717,-138,39475,251667,-44250,0,-4230
2016-03-28,4,2015,,15857,0,,-391,0,-13042,1033,1460,,0,-1424,5020,-23541,-57911,-1481,2537,,25782,37932,0,1667,-50447,1663,-41440,-69525,60456,0,1209,-5020,1424,67673,2015年度,266346,274919,8573,317423,289290,357168,0,-104718,-84393,-187651,317423,56489,-84417,-27928,2909,-125,39745,274919,-64282,0,-19584
2016-05-10,1,2016,,-23978,,,-149,,-3154,3074,275,,0,-216,350,-5477,-8839,-61,343,,-44397,25794,,2260,701,-1697,36437,-12054,16585,0,308,-350,216,17389,2016年01月01日至2016年03月31日,274919,322338,47419,73403,50190,75265,0,,14485,14760,73403,7150,-22677,-15527,,19,1862,322338,-24941,0,-13572
2016-08-10,2,2016,,-8455,,,-24,,-14235,-16959,-52,,0,-637,573,-33890,-15800,-97,4691,1101,-92681,40959,,504,-39403,-470,4743,-28999,33173,0,611,-573,637,38696,2016年01月01日至2016年06月30日,274919,337199,62280,170492,61364,104394,0,,63857,63805,170492,16049,-120843,-104794,32,285,-66098,337199,-43094,0,6992
2016-11-08,3,2016,,1887,,,-14024,,0,-13390,-535,-65038,0,-1042,2547,-72886,-32954,-1349,2338,1101,-55728,-10238,,1347,-48746,3815,2798,-98210,49381,0,1088,-2547,1042,54635,2016年01月01日至2016年09月30日,274919,262319,-12600,279249,144623,210437,0,-128280,142688,13873,279249,-20394,-103053,-123447,30,323,-68812,262319,-64309,0,8832
