date,season,year,不影響現金流量之收益費損項目合計,停業單位稅前淨利（淨損）,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融資產增加,其他金融資產減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得無形資產,呆帳費用提列（轉列收入）數,員工執行認股權,存入保證金增加,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發行特別股負債,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,非金融資產減損損失,預付款項（增加）減少
2013-08-01,2,2013,6722,0,,-6548,237,-205,-3110,-198455,,-1287,859,144,-2980,0,8,2400,19,-129,20,-6191,,3148,,73,-8876,-5911,4114,-201544,3449,2049,184,-859,1171,,,2013年01月01日至2013年06月30日,55685,67792,12107,619,-13912,-13912,225000,,227419,619,1474,,-3532,-17721,-21253,,,-14531,67792,-312,2035,-33
2014-03-18,4,2013,8216,,,-5166,686,1532,-5385,-164088,,-3310,1683,430,-57536,-450,169,2400,19,-149,290,-16542,,9320,,-48,-14305,-2400,62,-221933,6170,-2852,481,-1683,3197,,,2013年01月01日至2013年12月31日,55685,308916,253231,3415,-22336,-23534,494651,,497070,3415,2979,,5638,-40803,-35165,,44,-26949,308916,-316,,-67
2014-05-02,1,2014,3487,,,-2867,236,4093,-6300,-208814,,-1330,412,33,-35099,-63,2109,0,0,-205,,-12216,,5691,,15,1477,-4991,4234,-244181,1395,-455,172,-412,1240,,,2014年01月01日至2014年03月31日,308916,60666,-248250,2806,-4102,-4807,0,,0,2806,729,,6932,-18032,-11100,,,-7613,60666,-123,,-17
2014-08-05,2,2014,3646,,,1041,235,3060,-8676,-183830,,-2940,825,-49,-67773,-125,1321,2525,0,-190,0,-6652,,-1212,,718,8561,2297,-5379,-251918,2716,-1201,344,-825,2868,,,2014年01月01日至2014年06月30日,308916,58321,-250595,685,-1153,-2911,0,,2525,685,1380,,3607,-10849,-7242,,,-3596,58321,-285,,-34
2014-10-29,3,2014,2090,0,-1473,4329,230,1737,-11228,-134860,,-4336,1234,34,-112754,-1886,-1309,4956,450,-598,0,-12634,,5002,0,718,10434,2232,-9524,-250086,4024,-517,763,-1234,4286,,,2014年01月01日至2014年09月30日,308916,57719,-251197,-523,-5078,-7705,0,,3933,-523,1697,,11786,-21058,-9272,12,17,-7182,57719,-425,0,-51
2015-03-23,4,2014,2448,,-2954,4571,-1537,6479,-6232,-120770,,-5717,1636,152,-127836,-3149,-2257,5891,450,-868,0,-12260,,-3414,,719,16256,4249,-10143,-252611,5628,-93,1121,-1636,5667,,,2014年度,308916,45393,-263523,-18897,-14451,-17922,0,,3387,-18897,2013,,8355,-9828,-1473,12,24,975,45393,-560,,-68
2015-05-05,1,2015,,,-1488,-3745,687,-1112,-6121,0,75365,-1166,394,-169,-10080,0,583,4818,1570,0,269,-687,,-2386,,-601,491,2171,4189,65557,2373,-50627,188,-394,1166,,2580,2015年01月01日至2015年03月31日,45393,48471,3078,-12647,-67210,-67823,,,4900,-12647,211,,-7844,-49912,-57756,3,-3,-55176,48471,-159,,-15
2015-08-11,2,2015,,,-2984,-162,699,3006,-777,-122221,276155,-2100,781,-186,-36326,-215,2486,9242,1570,-33,239,-9196,,9488,,-717,-15980,-3664,1122,117614,5103,-42210,381,-781,2191,,6847,2015年01月01日至2015年06月30日,45393,92532,47139,-28105,-78117,-79679,0,,7828,-28105,211,,11615,-70036,-58421,15,-15,-51574,92532,152,,-30
2015-11-06,3,2015,,0,-4488,-1246,1694,-4690,342,-122221,384623,-2570,1160,-27,-104814,-215,2546,9242,1570,-73,239,-12806,,3223,0,-696,-15850,-4213,1076,157573,7860,-48950,569,-1160,2660,427,9316,2015年01月01日至2015年09月30日,45393,104460,59067,-33986,-104803,-106831,0,,6324,-33986,211,-427,-3409,-78752,-82161,34,-33,-72845,104460,101,0,-45
2016-03-22,4,2015,,,-6006,4088,239,-5092,4837,-131900,396857,-3073,2263,-45,-126260,-980,883,9242,1570,-200,254,-7664,,3003,,-719,-3227,-3274,2077,137805,11370,-56212,853,-1517,3213,427,12047,2015年度,45393,292648,247255,-62063,-109850,-112020,,214539,219345,-62063,211,-427,1280,-63284,-62004,34,-33,-49957,292648,47,,-60
