date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款－關係人增加（減少）,其他應收款－關係人（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融資產增加,其他金融資產減少,其他非流動資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,員工執行認股權,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,逾期未領股利及董監酬勞轉列其他收入
2014-08-08,2,2014,49985,-9998,-3874,258,-23805,-29009,-3285,,-5755,901,-607,7827,1815,-52635,,,12200,-33191,,11176,,-1803,-22544,32292,,-61625,41864,-5822,607,,,2014年01月01日至2014年06月30日,245438,455537,210099,123238,77278,102723,,,110429,0,192631,123238,,-18306,-52194,-70500,80000,50,,-20515,455537,-20230,
2014-10-30,3,2014,76553,-14165,-8394,257,-14625,-16427,-3360,,-2550,2404,-811,11973,-859,-80225,,,12200,-41154,,15032,,2153,-40077,32570,-19,-86025,62987,-11266,811,,,2014年01月01日至2014年09月30日,245438,458192,212754,197943,145535,203812,,-53032,,129100,154103,197943,,-5834,-64850,-70684,80000,110,,5869,458192,-47822,
2015-03-19,4,2014,104356,-18332,-8969,258,-2751,-40338,-591,,-1818,2171,-1126,15507,-9047,-91351,,,12200,-54521,,9455,,,-21707,583,,-93339,86299,-15297,1126,,,2014年度,245438,518268,272830,287725,204714,274091,220800,-53032,,-71134,170502,287725,,-2265,-115725,-117990,80000,421,1505,-13634,518268,-55206,
2015-05-08,1,2015,,-22629,-236,,1365,10914,-10248,,-4171,169,-323,2926,-6026,-42380,-545,,0,8510,,-30029,,,20082,54545,,-57344,23863,-3301,323,,26637,2015年01月01日至2015年03月31日,518268,539328,21060,52278,141084,144066,,,0,-34025,-56654,52278,,-28900,94051,65151,0,,2,91788,539328,-4,
2015-08-06,2,2015,,-45259,-355,0,-9526,9984,-10126,,-21646,-1350,-742,5158,3070,-75036,-545,,0,-23492,,-32278,,,53553,38372,,-107353,47821,-5547,742,,50908,2015年01月01日至2015年06月30日,518268,526358,8090,95511,151717,182677,,,5915,,-39344,95511,,-42159,78417,36258,0,0,21,87166,526358,-26155,
2015-11-11,3,2015,,-67888,-388,0,20174,17195,-10508,,-4289,-793,-984,7941,4307,-123837,-545,-2363,0,7807,-46959,-45710,,,-48755,42896,,-141542,73545,-7889,984,,79730,2015年01月01日至2015年09月30日,518268,525860,7592,190843,212008,263792,,-117104,164770,,-67181,190843,,-25924,19143,-6781,0,0,21,72949,525860,-44879,
2016-03-16,4,2015,,-90518,,0,18384,43770,,2530,-38044,13581,-1254,11041,3142,-187225,-545,-2363,0,-16108,-71286,-19990,-561,,-77037,58480,,-225647,99508,-10826,1254,100,123201,2015年度,518268,503119,-15149,260202,324164,390341,0,-117104,,162100,-116808,260202,-100,-2167,9105,6938,0,0,425,130139,503119,-56705,0
2016-05-03,1,2016,,-22815,31,,-9801,6806,2002,,736,-8543,-147,2965,-487,-36476,0,,,13199,,-28940,,,52435,11315,,-33738,29674,-2750,147,,23949,2016年01月01日至2016年03月31日,503119,606647,103528,32862,97263,101856,,,,48305,40490,32862,,-38710,83755,45045,15000,,,68994,606647,-1990,
2016-08-10,2,2016,,-22815,0,,158,-4670,2090,,1787,-13231,-401,6377,-1762,-51932,-20000,,,-33906,,1677,,,26605,38148,,-68055,57177,-6134,401,,49922,2016年01月01日至2016年06月30日,503119,611142,108023,95663,136387,173597,,,,49268,41453,95663,,1835,26177,28012,15000,,,77934,611142,-31477,
2016-11-09,3,2016,,-22815,31,,15155,-639,2150,,-4089,-21644,-524,9708,-5015,-73678,-20000,0,,18516,0,36726,,,-95086,14100,,-95617,83630,-9904,524,,71170,2016年01月01日至2016年09月30日,503119,604240,101121,162116,163195,222089,,-113104,,159477,38558,162116,,51912,-63109,-11197,15000,,,59973,604240,-49514,
