date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,停業單位稅前淨利（淨損）,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他金融資產增加,其他金融資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應付租賃款增加,應付租賃款減少,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分待出售非流動資產,處分待出售非流動資產損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,處分無形資產損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,非金融資產減損損失,預付投資款增加,預付款項（增加）減少,預付設備款增加,預收款項增加（減少）
2014-01-21,4,2013,63,143127,,111156,-3278,27906,112507,65506,27046,-2434,0,252933,-16724,-50418,14814,2060,-478105,,-1000000,0,-7161,,3071,58152,-35939,-48065,85139,236493,,343110,31811,-383,,,-62043,442,-114,,-823536,161246,,-21285,13610,-14863,51191,10320,,2013年01月01日至2013年12月31日,2137226,2316323,,179097,680164,,1556208,1714036,,-501205,273436,-335216,-555635,680164,,548283,342462,890745,103080,194277,38573,,,5723,12855,-5874,328,1033872,-452,2316323,-157828,0,,,,225,0,3247
2014-07-25,2,2014,,68390,-94363,-38989,10223,140048,-145467,305,19318,,-99399,207464,-4,-30761,5395,803,-1828034,,0,-148118,-9930,,1152,20826,-31906,-183,17476,157740,,-14406,7812,545,,-941,-16022,-6067,-13396,,-1787295,67506,,-9631,6651,-5278,31017,,,2014年01月01日至2014年06月30日,2316323,820747,,-1495576,588740,,687788,759663,,-447505,99204,-31272,-396872,683103,,-39310,141843,102533,964,,5427,41448,4861,,,,,170923,-7254,820747,-71875,,,17794,,5689,,2454
2014-10-27,3,2014,,90919,-94363,-28761,41022,-326874,-89288,-97146,26114,,-190153,232717,-385,-43937,8940,566,-1854508,,0,-148118,-11923,,1344,30698,-41709,-418,18052,167116,,-4120,-50906,-731,,-1902,428063,1166,-602,,-1842418,98066,,-11756,10570,-8766,44177,25339,,2014年01月01日至2014年09月30日,2316323,1215246,,-1101077,1038555,,1050513,1200036,,-447505,142068,-32142,-309738,1132918,,-146348,216910,70562,969,0,5422,41448,4861,0,,,,161481,-6120,1215246,-149523,,49520,17794,,11215,0,414
2015-01-27,4,2014,28,105204,-94363,23873,38855,-319960,-104801,-85004,25224,,-2280134,446443,,-58124,10041,7469,-1871754,-60000,-1293724,-148118,-12212,,2972,39778,-57747,-2982,18095,190354,,230302,-37803,-1483,,-2508,438019,2141,150,-634,-5078139,128957,,-24167,14913,-10273,58174,25340,,2014年度,2316323,1958210,,-358113,1415387,,1787455,1939482,3262971,-447505,146379,-255823,2925102,1509750,2840,170671,248220,418891,1285,0,5088,41448,4862,0,0,0,0,524095,-6120,1958210,-152027,,249830,17794,,17093,,8685
2015-04-27,1,2015,0,,0,-175423,3426,3193,36487,-15208,4339,,-16730,45000,2389,-21810,12,-971,-12305,,,,-1048,,636,8742,-8729,-252,151,16948,,-120107,-5766,0,,-548,515,-2210,0,,35903,30054,,-5470,3597,-12,,,9408,2015年01月01日至2015年03月31日,1958210,2075326,,117116,320447,-527,82731,83138,,,0,,-547,320447,,-308516,61799,-246717,0,,0,,,,,,,-237309,0,2075326,-505,,,0,0,2527,,5089
2015-07-28,2,2015,0,,0,-58110,3551,-26032,17629,7370,-15703,,-16730,1372000,-100,-44665,19,-1591,-27028,,,-603403,-5160,,1872,17031,-15685,-9047,151,1067,,-172926,-11670,0,106,-1047,9745,-5332,0,,1757267,59911,,-20607,8102,-19,,,2151,2015年01月01日至2015年06月30日,1958210,2719335,279,761125,636101,-905,209720,402692,,-1204657,0,0,-1204271,636101,,-218282,-17278,-235560,0,1002660,0,0,0,-2660,,,,-233409,0,2719335,-193173,,,0,,1348,,14408
2015-10-26,3,2015,0,,0,-48016,-5433,-144862,90063,26135,-14891,,-474701,1559551,-543,-65702,23,-2261,-40705,,,-670448,-5896,-79980,3153,26182,-22534,-11853,818,-23364,,-156272,-12424,0,23,-1279,10667,-3548,0,,1551344,89709,,-39372,12685,-23,,18582,-13813,2015年01月01日至2015年09月30日,1958210,2631476,-4375,673266,937611,-1267,326471,658357,,-1204657,0,0,-1202288,937611,,-190319,-75122,-265441,0,1192504,3209,0,0,-12634,,,,-279254,0,2631476,-332188,34,0,0,,10813,,6958
2016-01-27,4,2015,,,0,-9191,-1743,-89974,26403,175368,-2671,,-1199201,2259551,-690,-83675,239,-318,-57036,0,0,-670448,-8546,-79980,3689,37792,-30733,-12295,26533,-19570,-397175,168846,-16030,0,25,-1413,20008,-12497,0,,1565304,115051,1478,-68147,16943,-67,,31407,-15729,2015年度,1958210,3128081,-4094,1169871,1236059,-1495,1130175,1463314,0,-1204657,70938,0,-1525290,1236059,0,313255,-70271,242984,997,1192504,18925,0,0,-12437,,,,227255,0,3128081,-333562,-1533,0,0,,6552,,-2500
2016-04-19,1,2016,,,,-135544,-3982,22441,11350,-95178,4309,,-449000,474500,-147,-15738,866,249,-118988,,-200000,,-2131,,-146,6600,-12835,-2832,5861,7086,,-36985,-125,,1,-85,6432,5728,,,-276133,23929,,-25434,2597,-868,,,-13522,2016年01月01日至2016年03月31日,3128081,3019854,-5,-108227,408748,-477,165062,165286,,,9782,,2595,408748,,-272007,42067,-229940,511,,556,,,,,,,-243462,,3019854,-319,,,,,-15279,,284
2016-07-22,2,2016,,,,-79724,-1799,26317,12585,-43204,1255,,-447000,1624900,-295,-31846,1806,227,-294609,,-200000,0,-7151,,108,14980,-18764,-8578,5760,-6543,,-82426,2285,,1,-120,-4604,8050,,,733426,44944,,-40592,4948,-1918,,27666,-20171,2016年01月01日至2016年06月30日,3128081,3334936,205,206855,760447,-824,459942,559883,,-980410,83145,-83654,-986740,760447,,-204114,23721,-180393,497,0,551,,,0,,,,-200564,,3334936,-100141,,,,,-13339,,1578
