date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應收款增加,其他應收款減少,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他籌資活動,其他金融負債增加（減少）,其他非流動資產增加,其他項目,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得採用權益法之投資,存貨（增加）減少,應付帳款增加（減少）,應收帳款（增加）減少,投資活動之淨現金流入（流出）,折舊費用,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,逾期未領股利及董監酬勞轉列其他收入,金融資產減損損失,非控制權益變動,預付款項（增加）減少
2013-05-10,1,2013,28084.0,0,,-7522.0,-11375.0,0,5842,30931.0,155,887,3.0,-21786,-439.0,,4553,36737,-49471,,,249007,-46547,3746,-57182,50607,,-12650,1786,-1800,0.0,,2013年01月01日至2013年03月31日,2042305,2400876,358571,141808,378931,380752,,-12542.0,,85,141808,-62336,273196,210860,12624.0,250,,,,,238944,2400876,-21,0.0,-16212.0,,,
2013-08-09,2,2013,79129.0,-14858,-17462.0,,,-2254,-41436,25106.0,180,-1558,2.0,-70345,,-15398.0,7099,17515,-132304,,-72240.0,281489,146615,-13101,-164676,101681,,-32990,3814,-3509,0.0,,2013年01月01日至2013年06月30日,2042305,1834356,-207949,281721,684205,687800,-777597.0,-7221.0,,-744993,281721,35014,291936,326950,54881.0,5746,370.0,12134.0,53838.0,-24911.0,406079,1834356,-86,-12670.0,,40000.0,-200.0,
2013-11-07,3,2013,140347.0,-13298,-23628.0,0.0,,-4396,-100927,26154.0,-8,-34,0.0,-53994,,-14972.0,9089,-45835,-152273,0.0,-72240.0,398942,-68601,220557,-133157,151644,53237.0,-54399,5820,-5346,4741.0,,2013年01月01日至2013年09月30日,2042305,2136565,94260,485136,1038596,1047572,-777597.0,-27492.0,,-765344,485136,-223530,645619,422089,53243.0,12305,1219.0,12134.0,53838.0,-24911.0,562436,2136565,-8371,-12277.0,,67000.0,-200.0,
2014-03-28,4,2013,202573.0,-15117,-32668.0,,26380.0,-4204,-73472,23146.0,62,379,0.0,-27776,,-28952.0,10988,-62865,-182262,0.0,-72240.0,343062,231736,49540,-170469,201541,53237.0,-85954,7333,-7491,4741.0,,2013年01月01日至2013年12月31日,2042305,2449122,406817,727406,1457925,1503036,-777597.0,-79860.0,,-817774,727406,130550,442507,573057,55000.0,13830,1671.0,12134.0,53838.0,-24911.0,775630,2449122,-42361,-12277.0,,121000.0,-200.0,
2014-05-08,1,2014,71360.0,-57,-7430.0,,13998.0,-1296,16724,-22704.0,2604,-44,0.0,-22446,,4785.0,1728,48450,-29895,,,-67375,-21080,80951,-37218,49383,,-24850,1314,-1728,,,2014年01月01日至2014年03月31日,2449122,2654769,205647,217681,234809,269669,,-40337.0,,-40394,217681,-24198,4826,-19372,0.0,1403,,,,,51988,2654769,-33132,,,39000.0,,
2014-08-08,2,2014,120473.0,-137,-12496.0,,-11036.0,-2835,26093,,2518,-5,0.0,24461,,-572.0,3274,32373,-61426,,0.0,-103818,-84139,109127,-74435,97621,,-82660,2810,-3290,,,2014年01月01日至2014年06月30日,2449122,2647303,198181,366033,299944,415969,0.0,,-59564.0,-59701,366033,-31067,-39470,-70537,0.0,2322,,0.0,0.0,0.0,49936,2647303,-112735,0.0,,100000.0,0.0,-33738.0
2014-11-07,3,2014,103289.0,-1761,-8632.0,,,-4531,52685,-14089.0,2577,-42,,12512,,-4822.0,4794,33450,-95338,,0.0,-188129,-7789,-133462,-103724,145440,0.0,-157354,4394,-4810,62440.0,,2014年01月01日至2014年09月30日,2449122,2352232,-96890,673607,400533,501159,-365824.0,,-59564.0,-427149,673607,59985,-335722,-275737,0.0,4777,,0.0,0.0,158.0,-172448,2352232,-158256,0.0,,110679.0,0.0,
2015-03-23,4,2014,156246.0,-5796,-10137.0,,17443.0,-6409,28053,-17023.0,3815,415,,83590,,12600.0,6012,14061,-152590,,0.0,-269835,50035,-275032,-158711,196501,0.0,-193462,5519,-6017,62440.0,,2014年度,2449122,2520739,71617,1002745,647451,780452,-365824.0,,-59564.0,-431184,1002745,165493,-544032,-378539,0.0,10425,-1894.0,0.0,0.0,158.0,-222293,2520739,-189424,0.0,,130812.0,0.0,
2015-05-11,1,2015,,-5929,3285.0,,4116.0,-5523,-14294,-6828.0,508,23,,-42013,,3690.0,1395,-118060,-215416,,,-52024,-170389,17483,-214214,48939,,-57112,1204,-1403,,-1884.0,2015年01月01日至2015年03月31日,2520739,2216098,-304641,327108,33562,61806,,,0.0,-5929,327108,-226188,-37230,-263418,,3440,,,,,-265302,2216098,-26841,,,0.0,,
2015-08-10,2,2015,,-12483,45643.0,,69230.0,-12568,-90202,,370,55,,-22834,,21973.0,2736,-193752,-310331,,,-254634,201662,113117,-272941,100074,,-92409,2287,-2767,,34661.0,2015年01月01日至2015年06月30日,2520739,2559197,38458,513492,515754,552150,,1880.0,0.0,-10603,513492,88996,-84999,3997,,4315,,,,,38658,2559197,-33629,,,0.0,,-12767.0
